Rank,category,lower_Pi_alters,upper_Pi_alters,mean_Pi_alters,lower_Pi_ego_alters,upper_Pi_ego_alters,mean_Pi_ego_alters,lower_Pi_alters_ratio,upper_Pi_alters_ratio,mean_Pi_alters_ratio,lower_Pi_ego_alters_ratio,upper_Pi_ego_alters_ratio,mean_Pi_ego_alters_ratio,lower_CCE_alters,upper_CCE_alters,mean_CCE_alters,lower_CCE_ego_alters,upper_CCE_ego_alters,mean_CCE_ego_alters,lower_ODLR,upper_ODLR,mean_ODLR,lower_CODLR,upper_CODLR,mean_CODLR
1,non-social co-location network,0.6140250019887667,0.6483495670133426,0.6312756876031465,0.8061106511874453,0.8192304933231788,0.8128230586843733,0.7553957640817632,0.7905058937560137,0.7730463103949167,1.0115508379265592,1.014070105086399,1.0127972969583297,2.6908633776643156,2.91443700949558,2.8012396534456965,1.6118490512185244,1.7212505014287682,1.6655782278225657,0.22265717214140485,0.2520760602185483,0.23718656227096455,0.22227773294061792,0.25210256965944405,0.23718656227096455
1,social network,0.6793892863366142,0.7065857274963788,0.6931260816073656,0.8082991826813326,0.8212144836741282,0.8147970262186169,0.8428357148917804,0.8678125155729178,0.8554718074290888,1.014295969773681,1.017180794902759,1.0157204944162919,2.368998047059061,2.566269618379396,2.4657742810319627,1.5998628959837322,1.7070963801186199,1.652760876693966,0.3889411465899305,0.42038071645520536,0.4044306889372471,0.3887171876192148,0.42019389690386616,0.4044306889372471
2,non-social co-location network,0.687098374842648,0.7129718583419149,0.7001633641572829,0.8128607509617741,0.825506037309233,0.819148470830958,0.8520832690470659,0.8755325609370903,0.8642604743252431,1.0194974420169207,1.0226971206483995,1.021099099018114,2.322360785986869,2.5161819728713453,2.419167214234083,1.5674958958177427,1.6755930955021128,1.620143971762708,0.22709748727455817,0.25596398090216865,0.24114160508978819,0.32677968691241194,0.35876366907272855,0.34270036857674463
2,social network,0.7387920288841229,0.7585432396459018,0.7488566323589525,0.8163115217813123,0.8285617046926907,0.8223313088758404,0.9216426471833908,0.9371439873477501,0.9294643752503239,1.023995704477885,1.02763925906761,1.025806116028715,2.043143111740638,2.1967782466894454,2.120039936433091,1.5472500163116492,1.6521726150345222,1.5991575729000131,0.36977715702117,0.39936739382907843,0.38441734351822143,0.5096888731819434,0.5406017774074439,0.5252665162141641
3,non-social co-location network,0.7187074202182951,0.7415937391795925,0.730266319713003,0.8175054975376437,0.8298697168962624,0.8237678623128264,0.8938681057926152,0.9137426777165946,0.9039314237052669,1.0255342059357886,1.0290606435780412,1.0272784861304514,2.14598487250824,2.323731826106834,2.2341752295477666,1.5341881118876586,1.6392127399142318,1.5869544675565133,0.24208222393763232,0.271064864235966,0.2563749850108149,0.40676345990999585,0.4381270878129975,0.42249997140654716
3,social network,0.7643876219678436,0.781341026764107,0.7728356758401393,0.8219557677608764,0.8334039770135564,0.827637651036925,0.9554587606351113,0.9671661663240362,0.9614106146233913,1.0308037727953043,1.035114824064721,1.0329371720251554,1.8882805270639371,2.0292868350064626,1.9597325772629313,1.5098156345434084,1.6100243906413805,1.5608534191729329,0.35697916889398745,0.3873219130728284,0.37220019799848203,0.5859977298600149,0.6158226074335115,0.6007716293899625
4,non-social co-location network,0.7414061403079804,0.7620104986390511,0.7516981416196198,0.821169430946017,0.8333733584752834,0.8273193225164343,0.9239382071696023,0.9400094557832613,0.9322807080399936,1.0300816317839374,1.0339758267506687,1.0320176053770067,2.017377221154096,2.179320449598908,2.097853606173995,1.508648886687773,1.61409176385211,1.561031427561654,0.24720872360029153,0.2754976864095305,0.26104387528541156,0.47206130286205833,0.503496404382028,0.4876374145153687
4,social network,0.7797030319859882,0.7952088699691799,0.7875188536027142,0.8257778249348521,0.8373094090315035,0.8315457790345598,0.9755311769104209,0.9856570406752049,0.9808101051952707,1.0358425113573837,1.040633149121015,1.0381493083873976,1.793605366451945,1.923357202917679,1.858216375567249,1.4828449355633235,1.5808701441913973,1.532097802129816,0.3547031743752553,0.3852451287946751,0.3700726052688451,0.6387651390620985,0.666463678993847,0.6524940312855948
5,non-social co-location network,0.7548596283953387,0.7740583853861328,0.7643615865358376,0.8241672502768543,0.836079015411362,0.830220222514876,0.941746197022496,0.956131303787469,0.9491158722380615,1.0338534884426558,1.037953101265139,1.0358744765785088,1.9394345875796395,2.0917563874439096,2.0152089421168076,1.488733487648226,1.591059591262127,1.5399862341899364,0.24679925932237737,0.27535756663892785,0.2608087535913192,0.515957116000409,0.5479584368993718,0.5318585924680364
5,social network,0.7912256592136993,0.8053805442855542,0.7984261770361144,0.8294909922283143,0.8405801863415807,0.8350519179670463,0.9905702196797539,0.9994617755344393,0.9951438031949519,1.0401917598379455,1.0453542681024452,1.0428021197639896,1.7204625481021139,1.8426349612457589,1.7808840919075184,1.4582752201888052,1.5565900278850937,1.5061106686383434,0.3463008136440838,0.37537827025728565,0.3606486592642036,0.6792257021482131,0.7051118898708807,0.692377614857295
6,non-social co-location network,0.7646409942316638,0.7828471983948635,0.7738363070367364,0.8268304154224806,0.8386062123088914,0.8326062176464214,0.9546953545183577,0.9682451594401932,0.9616620159917183,1.036870234859429,1.04123087124966,1.0390423746145625,1.8777308871853622,2.025973434629519,1.9509417828543996,1.4725377523285075,1.5739894557297873,1.522412984529436,0.247837631628245,0.27569202324014586,0.26178556963714317,0.5515446023375123,0.5819623302084812,0.5671309677397982
6,social network,0.7983510921255957,0.8120815379461048,0.805222044688908,0.8323520462123205,0.8431713195279117,0.8377334331444899,0.9997489461838441,1.0082618115738837,1.0040621743208449,1.0436513269814474,1.0491619977337474,1.0463752142640876,1.6714232312328345,1.7897688059022607,1.7317515513461454,1.4388337819219423,1.5337213782944041,1.4861490122600285,0.3391064160217919,0.36707018641414324,0.35285354732490637,0.7089479584689331,0.7335250246537545,0.7213149840176978
7,non-social co-location network,0.7718948174609057,0.7896832486128383,0.7809091043380955,0.8284846594782047,0.8401556090803775,0.8343553180890726,0.9645436227164963,0.9771627467789626,0.9709452359259576,1.03908724275534,1.0436604811634573,1.0413525482940353,1.8303796738763105,1.9729997906804306,1.9013466784907256,1.4582845587224407,1.560529165257784,1.5092450732670626,0.2475958063828474,0.27674707034793716,0.26205761672101224,0.5824418325760946,0.6128712229548411,0.5977047774983113
