,Ego,Cross Entropy
80-20,00-a,-3.791771793
80-20,26,-5.071373834
80-20,29,-3.05364452
80-20,4280,-1.327176198
80-20,4sq-seoul,-2.618654622
80-20,826,-3.260911647
80-20,87,-3.317917869
80-20,890,-3.801862547
80-20,a-t,-2.150169529
80-20,aaron-bailey2,-5.196595982
80-20,aaron-chronister,-2.640349084
80-20,aaron-cruz,-6.278675745
80-20,aaron-landry,-4.784316902
80-20,aaron-palmer,-4.314716038
80-20,aaron-rutledge,-5.990416913
80-20,aaron-strout,-4.622338886
80-20,adam-brodowski,-4.003307393
80-20,adam-cohen,-3.395608635
80-20,adam-fullerton,-5.415513428
80-20,adam-holden-bache,-5.431778772
80-20,adam-jackson,-1.641870857
80-20,adam-okrasinski,-3.18246262
80-20,adam-ostrow,-3.779774565
80-20,akifumi-yamashita,-4.241602628
80-20,akira-puku,-4.984417955
80-20,akshay-dodeja,-4.158244227
80-20,alan-cordova,-2.782804166
80-20,alastair-green,-4.218964873
80-20,albert-lee4,-5.625691254
80-20,alex-rainert,-6.477018549
80-20,alex-white,-4.398941171
80-20,alexandr-blohin,-3.538362912
80-20,alexey-dolotov,-2.427859141
80-20,alexis-dorenter,-4.807950797
80-20,alicia-wong,-2.082682087
80-20,allan-m88,-2.653591106
80-20,allan-martinson,-7.40976624
80-20,alli,-3.217116189
80-20,amanda-spurlock,-3.443761081
80-20,amber-case,-2.674407776
80-20,amber-rae-lambke,-4.398031839
80-20,amir-cohen,-4.37920312
80-20,amish-shah,-3.328996076
80-20,ana-h,-4.673058775
80-20,andrea-rosen,-3.798504596
80-20,andrei-zmievski,-3.660813536
80-20,andrew-dumas,-5.202798726
80-20,andrew-grill,-5.870291325
80-20,andrew-mager,-3.733845502
80-20,andrew-nystrom,-1.881550682
80-20,andrew-pile,-3.700033235
80-20,andrew-shults,-4.177492003
80-20,andy-amendola,-5.604108886
80-20,andy-hadfield,-5.892313049
80-20,angela-baxley,-5.26379249
80-20,angela-chou,-6.136083033
80-20,angie-k,-3.643573721
80-20,angus-logan,-3.639298345
80-20,anita-brooklynbybike-singh,-4.720897897
80-20,anjelika-paranjpe,-6.090246786
80-20,anna-d,-5.583983304
80-20,anna-frenkel,-4.213492736
80-20,annie-lesser,-2.913252815
80-20,annie-sorensen,-3.614613243
80-20,anthony-cafaro,-5.819130503
80-20,april-underwood,-4.088975798
80-20,ari-greenberg,-5.919432823
80-20,armand-gaerlan,-4.267856229
80-20,asher-yanich,-4.707605106
80-20,atknktn,-2.041492939
80-20,atsushi-nakamura,-5.313984301
80-20,audrey-nieh,-4.889308298
80-20,ayumi-m,-4.029700572
80-20,barrett-lane,-7.693746408
80-20,barry-goldlist,-6.765486852
80-20,beau-lebens,-3.215512576
80-20,becky-jacobs,-1.506451923
80-20,ben-alter,-2.302353647
80-20,ben-fullerton,-3.416119673
80-20,ben-kessler,-4.474775689
80-20,ben-parr,-5.349953966
80-20,ben-roodman,-4.174375398
80-20,ben-tesch,-6.320766343
