placeid,mean,median,std,count,nunique,target,category
1,3.3060146645439557,3.5314974411280566,0.8902574820277207,2005,235,Entropy,Travel Spots
1,3.3060146645439557,3.5314974411280566,0.8902574820277207,2005,235,Entropy,Food
1,3.3060146645439557,3.5314974411280566,0.8902574820277207,2005,235,Entropy,Shops
1,3.3060146645439557,3.5314974411280566,0.8902574820277207,2005,235,Entropy,Nightlife Spots
1,3.3060146645439557,3.5314974411280566,0.8902574820277207,2005,235,Entropy,"Homes, Work, Others"
1,3.3060146645439557,3.5314974411280566,0.8902574820277207,2005,235,Entropy,Arts & Entertainment
1,3.3060146645439557,3.5314974411280566,0.8902574820277207,2005,235,Entropy,Parks & Outdoors
1,3.3060146645439557,3.5314974411280566,0.8902574820277207,2005,235,Entropy,College & Education
10-degrees-new-york,5.849812776989799,5.921693771974302,0.7305284670499635,177,124,Entropy,Nightlife Spots
10-downing-street-new-york,6.003721044170681,6.016117534238531,0.7873876587274472,67,58,Entropy,Food
100,3.6192071165847026,3.6633281785357292,0.9913518005893696,329,53,Entropy,Food
100,3.6192071165847026,3.6633281785357292,0.9913518005893696,329,53,Entropy,Shops
100,3.6192071165847026,3.6633281785357292,0.9913518005893696,329,53,Entropy,College & Education
100,3.6192071165847026,3.6633281785357292,0.9913518005893696,329,53,Entropy,Arts & Entertainment
1015-folsom-san-francisco,5.549346184397557,5.546833319999642,0.8887511353069814,93,83,Entropy,Nightlife Spots
111-minna-gallery-san-francisco,5.620674269712417,5.683668842104659,0.767667637713231,395,216,Entropy,Arts & Entertainment
111-minna-gallery-san-francisco,5.620674269712417,5.683668842104659,0.767667637713231,395,216,Entropy,Nightlife Spots
119-bar-new-york,5.641381905750267,5.739088684074156,0.888596134201403,90,62,Entropy,Nightlife Spots
11th-street-bar-new-york,6.112833690605536,6.212959273318626,0.5819644132767555,190,75,Entropy,Nightlife Spots
123-burger-shot-beer-new-york,5.628045198555214,5.617460043143131,0.8759536058115862,65,54,Entropy,Nightlife Spots
12th-st-oakland-city-center-bart-oakland,5.237170396258026,5.329366772376506,0.8006287532769694,106,55,Entropy,Travel Spots
12th-street-ale-house-new-york,5.302203184418713,5.277996145132838,0.7979418515267565,101,56,Entropy,Nightlife Spots
13th-step-new-york,5.5788984758215525,5.723968305295098,0.8799625895905039,103,63,Entropy,Nightlife Spots
15-romolo-san-francisco,5.590256106153875,5.733470457750446,0.865988364011766,216,113,Entropy,Nightlife Spots
151-new-york,5.809263206682999,5.956479470054937,0.6768512734693557,127,91,Entropy,Nightlife Spots
16-handles-new-york,5.692300274737757,5.739088684074156,0.7264189024200999,162,95,Entropy,Food
169-bar-new-york,5.728178300441609,5.519606670505045,0.8669780495299902,153,84,Entropy,Nightlife Spots
16th-st-mission-bart-san-francisco,5.404807254703214,5.53635161396218,0.8042968504592067,435,218,Entropy,Travel Spots
1849-new-york,5.437825528444183,5.353953947537738,0.8924051913671203,106,63,Entropy,Nightlife Spots
19th-st-oakland-bart-oakland,5.3591855288274015,5.40676961822957,0.7968383131663236,84,59,Entropy,Travel Spots
2,3.2511811574631926,3.0706371245081625,1.1339495456541162,1641,241,Entropy,Nightlife Spots
