userid_x,userid_y,meetup,percent
andrew-whitfield,547,1,0.01
andrew-whitfield,aaron-cruz,1,0.01
andrew-whitfield,aaron-friedman9,1,0.01
andrew-whitfield,alex-brooks,1,0.01
andrew-whitfield,amber-rinehard,1,0.01
andrew-whitfield,amy-young,1,0.01
andrew-whitfield,andy-tyler,1,0.01
andrew-whitfield,ashley-randazzo,1,0.01
andrew-whitfield,barry-goldlist,1,0.01
andrew-whitfield,bill-graney,1,0.01
andrew-whitfield,brian-detweiler,1,0.01
andrew-whitfield,brian-gioielli,1,0.01
andrew-whitfield,brian-moore3,1,0.01
andrew-whitfield,brittany-deterding,1,0.01
andrew-whitfield,carl-gibson,1,0.01
andrew-whitfield,chelsea-naftelberg,1,0.01
andrew-whitfield,chris-burner,1,0.01
andrew-whitfield,chris-h5,1,0.01
andrew-whitfield,chris-iversen,1,0.01
andrew-whitfield,claudio-baram,1,0.01
andrew-whitfield,clinton-gillette,1,0.01
andrew-whitfield,colin-mccabe,1,0.01
andrew-whitfield,corbin-kappler,1,0.01
andrew-whitfield,courtney-harris,1,0.01
andrew-whitfield,daniel-pinto,1,0.01
andrew-whitfield,daniel-wanderman,1,0.01
andrew-whitfield,david-villarreal,1,0.01
andrew-whitfield,dennis-p,1,0.01
andrew-whitfield,detavio-samuels,1,0.01
andrew-whitfield,dimitry-hennart,1,0.01
andrew-whitfield,douglas-strinz,1,0.01
andrew-whitfield,drew-austin,1,0.01
andrew-whitfield,dudu-magalhaes,1,0.01
andrew-whitfield,elan-miller,1,0.01
andrew-whitfield,enrico-gatti,1,0.01
andrew-whitfield,eric-miltsch,1,0.01
andrew-whitfield,erik-michaels-ober,1,0.01
andrew-whitfield,francois-jean,1,0.01
andrew-whitfield,greg-wilson,1,0.01
andrew-whitfield,hyunwoo-yi,1,0.01
andrew-whitfield,jeff-lombardo,1,0.01
andrew-whitfield,jenn-ng,1,0.01
andrew-whitfield,jennifer-macleod,1,0.01
andrew-whitfield,john-sanchez2,1,0.01
