included,category,dataset,mean,lower,upper,LR
1,24H-MFN,BrightKite,0.09176870459760866,0.06613854936674338,0.12380265615847814,USLR
1,24H-MFN,Gowalla,0.19121079614550135,0.17071400319036212,0.21290868795021298,USLR
1,24H-MFN,Weeplace,0.16435334051761874,0.15084915145395383,0.1780293343107196,USLR
1,All-MFN,BrightKite,0.1668856054873451,0.13657051719452265,0.20026476444851155,USLR
1,All-MFN,Gowalla,0.0870639663575122,0.07637560405063165,0.09862363106357527,USLR
1,All-MFN,Weeplace,0.057843840513607366,0.05233662312005214,0.06383831093017346,USLR
1,D-MFN,BrightKite,0.10430393170878817,0.07668379579810038,0.13764921766826607,USLR
1,D-MFN,Gowalla,0.20184709345957552,0.1810910082368981,0.22364330245574118,USLR
1,D-MFN,Weeplace,0.1695726948419556,0.15620935792053142,0.18323954632919331,USLR
1,H-MFN,BrightKite,0.12132666535797444,0.0922935457656397,0.15585903211927735,USLR
1,H-MFN,Gowalla,0.19341499498973594,0.17248777970690382,0.21532426659548956,USLR
1,H-MFN,Weeplace,0.16695002099125522,0.153856434587896,0.18095012523624857,USLR
1,TFN,BrightKite,0.06072114893286545,0.03912887595473935,0.09050731057197615,USLR
1,TFN,Gowalla,0.10871513451762554,0.08989233889577175,0.12990017785994798,USLR
1,TFN,Weeplace,0.07983295747629139,0.06778727338023033,0.09273465442860467,USLR
2,24H-MFN,BrightKite,0.06988410743049606,0.0563637973860998,0.08432210684392064,USLR
2,24H-MFN,Gowalla,0.1306512096185023,0.11750242568783884,0.14445872815217592,USLR
2,24H-MFN,Weeplace,0.12105319473628738,0.11240303680524322,0.12960406382526768,USLR
2,All-MFN,BrightKite,0.1008519320581095,0.08671096709337194,0.11572125353535065,USLR
2,All-MFN,Gowalla,0.06261574719901565,0.054781236052906516,0.07144886510068485,USLR
2,All-MFN,Weeplace,0.041495338194157794,0.03754483874874927,0.045812143720818856,USLR
2,D-MFN,BrightKite,0.0703923674374605,0.0583799602833194,0.0828882194178061,USLR
2,D-MFN,Gowalla,0.13625357194405896,0.12342237751945768,0.1493226291788179,USLR
2,D-MFN,Weeplace,0.12782802065157534,0.11949849781892644,0.13638583345116032,USLR
2,H-MFN,BrightKite,0.08159315518997512,0.06632824764479098,0.09883442068801132,USLR
2,H-MFN,Gowalla,0.13326091199639836,0.11906319030299428,0.14767582769393273,USLR
2,H-MFN,Weeplace,0.1256670985282668,0.11764212640951979,0.13391175878059772,USLR
2,TFN,BrightKite,0.058963758521047474,0.04203428357180671,0.07813098779520397,USLR
2,TFN,Gowalla,0.08598196417613933,0.07375462354721658,0.09856457124675734,USLR
2,TFN,Weeplace,0.06901101029831479,0.06032808460973505,0.07849190444766041,USLR
3,24H-MFN,BrightKite,0.062202428483264356,0.044924177300933336,0.0838654093127614,USLR
3,24H-MFN,Gowalla,0.11413949233765835,0.10177987654549836,0.12668043690531972,USLR
3,24H-MFN,Weeplace,0.1049641726738451,0.09719963130795592,0.11319443888468109,USLR
3,All-MFN,BrightKite,0.08769865904979983,0.07467999623276557,0.10161891880483602,USLR
3,All-MFN,Gowalla,0.0516961930337699,0.045087413206526705,0.059063552485418634,USLR
3,All-MFN,Weeplace,0.03134626594892073,0.02805376558864264,0.03486182693174293,USLR
3,D-MFN,BrightKite,0.06001697657200665,0.04810991957766108,0.07237630532506174,USLR
3,D-MFN,Gowalla,0.11857239501768671,0.10671351258497656,0.13074523326222873,USLR
3,D-MFN,Weeplace,0.11196999192389154,0.1041137039507891,0.1199171248512296,USLR
3,H-MFN,BrightKite,0.06141270714720034,0.04964365638772266,0.07441182282954065,USLR
3,H-MFN,Gowalla,0.11662648339159835,0.10420753577495882,0.12986380358468377,USLR
3,H-MFN,Weeplace,0.109950988104766,0.10244583446672657,0.11787250110195975,USLR
3,TFN,BrightKite,0.054009880458163746,0.0388371539250975,0.0730066795678188,USLR
3,TFN,Gowalla,0.07475855769142928,0.06360649788596012,0.08674148372628562,USLR
3,TFN,Weeplace,0.07070527236671632,0.06319708590920414,0.07867930885499035,USLR
4,24H-MFN,BrightKite,0.055886910828141616,0.04390376503481438,0.06932905414880727,USLR
4,24H-MFN,Gowalla,0.10296046203445122,0.09138428402729354,0.11524074486212903,USLR
4,24H-MFN,Weeplace,0.09861274793858096,0.09145843732282256,0.1058942129559473,USLR
