included,category,dataset,mean,lower,upper,LR
1,CB-1D-MFN,BrightKite,0.057382658522396095,0.03529140413824909,0.08667317273409236,USLR
1,CB-1D-MFN,Gowalla,0.1061905416410643,0.08738457526157181,0.12670721398880358,USLR
1,CB-1D-MFN,Weeplace,0.06385601207873333,0.05369363342324726,0.07514199399494396,USLR
1,CB-1H-MFN,BrightKite,0.06099058033180709,0.038518390991440436,0.0903681825186475,USLR
1,CB-1H-MFN,Gowalla,0.11544774517757773,0.09598553026364146,0.13665277004728837,USLR
1,CB-1H-MFN,Weeplace,0.0806910925626988,0.06899589644464169,0.09336154039085642,USLR
1,SW-24H-MFN,BrightKite,0.05740806672004972,0.03511334963965772,0.08810164487372074,USLR
1,SW-24H-MFN,Gowalla,0.10605620091760164,0.08740130489580057,0.1261138891791797,USLR
1,SW-24H-MFN,Weeplace,0.06301481310295819,0.05281711939249016,0.074562132414726,USLR
1,TFN,BrightKite,0.06072114893286545,0.03935648009405204,0.09017963496952743,USLR
1,TFN,Gowalla,0.10871513451762554,0.08975260512929126,0.1291786273363433,USLR
1,TFN,Weeplace,0.07983295747629139,0.0681077441595585,0.09285562109924161,USLR
2,CB-1D-MFN,BrightKite,0.03916893201919781,0.0268648682705398,0.05479041150288238,USLR
2,CB-1D-MFN,Gowalla,0.07162568118516789,0.06159226877211985,0.08244605899860269,USLR
2,CB-1D-MFN,Weeplace,0.05262734239577274,0.044332735538758376,0.061920141775980125,USLR
2,CB-1H-MFN,BrightKite,0.04702082133915191,0.03307696543780006,0.06387512568126885,USLR
2,CB-1H-MFN,Gowalla,0.07449651836653316,0.06433504445225671,0.08525823855948962,USLR
2,CB-1H-MFN,Weeplace,0.0680362387389394,0.05959121618823688,0.07727067114006853,USLR
2,SW-24H-MFN,BrightKite,0.03779568919474963,0.025529987571685214,0.053948011623089015,USLR
2,SW-24H-MFN,Gowalla,0.07180016759977122,0.06161525080692644,0.08252012800562813,USLR
2,SW-24H-MFN,Weeplace,0.051456318190556384,0.04337633286922056,0.06067000864035301,USLR
2,TFN,BrightKite,0.058963758521047474,0.0423329401407928,0.0784243991594423,USLR
2,TFN,Gowalla,0.08598196417613933,0.07374307204802132,0.09928482840794299,USLR
2,TFN,Weeplace,0.06901101029831479,0.06042748848452164,0.07837715288348797,USLR
3,CB-1D-MFN,BrightKite,0.03351530660811827,0.025035753243712055,0.042715729865178693,USLR
3,CB-1D-MFN,Gowalla,0.06800491911927428,0.05829618650216545,0.07833739962031536,USLR
3,CB-1D-MFN,Weeplace,0.04369571241466427,0.03890690714133506,0.049046593285949756,USLR
3,CB-1H-MFN,BrightKite,0.04263073230203441,0.0329608446815375,0.0529678039884383,USLR
3,CB-1H-MFN,Gowalla,0.07439076433322057,0.06309143558977577,0.08617704328500467,USLR
3,CB-1H-MFN,Weeplace,0.06861924890881714,0.060911250162518464,0.07666337192750668,USLR
3,SW-24H-MFN,BrightKite,0.030570237682301982,0.022343333063004362,0.03949114872030098,USLR
3,SW-24H-MFN,Gowalla,0.06798731417945136,0.058319793294334225,0.07812124331284517,USLR
3,SW-24H-MFN,Weeplace,0.04043426837404437,0.03557449398290363,0.04585719983675808,USLR
3,TFN,BrightKite,0.054009880458163746,0.038823587398907844,0.07334573488477697,USLR
3,TFN,Gowalla,0.07475855769142928,0.06376124088339252,0.08647861298850308,USLR
3,TFN,Weeplace,0.07070527236671632,0.06309240800743744,0.07863361980526846,USLR
4,CB-1D-MFN,BrightKite,0.03866157559522052,0.028947628962050748,0.04926567193249758,USLR
4,CB-1D-MFN,Gowalla,0.06203326528297962,0.05206076007439366,0.0735772407466362,USLR
4,CB-1D-MFN,Weeplace,0.04260371894115675,0.03652295049696057,0.04930579841416177,USLR
4,CB-1H-MFN,BrightKite,0.04064198034443579,0.03218007638628863,0.04930066014062827,USLR
4,CB-1H-MFN,Gowalla,0.0698077297141157,0.05697019982371502,0.08414797682611475,USLR
4,CB-1H-MFN,Weeplace,0.06932900196669077,0.06228319535332207,0.07688692827424597,USLR
4,SW-24H-MFN,BrightKite,0.03608104326333524,0.026245012659677554,0.04668418336289754,USLR
4,SW-24H-MFN,Gowalla,0.06279561703925887,0.053184095808472526,0.07367058867305097,USLR
4,SW-24H-MFN,Weeplace,0.040084862426222,0.03425019208683379,0.04667873547115465,USLR
4,TFN,BrightKite,0.03774513760735066,0.02934478435991711,0.04702327457712419,USLR
4,TFN,Gowalla,0.0753443327896438,0.06371312946155255,0.08841510879724773,USLR
4,TFN,Weeplace,0.06693573694425271,0.05981267759309393,0.07441908698100186,USLR
5,CB-1D-MFN,BrightKite,0.03578458034364936,0.025423188293887428,0.04714895368970668,USLR
5,CB-1D-MFN,Gowalla,0.06432730792247923,0.054458424073336245,0.07497116001238847,USLR
5,CB-1D-MFN,Weeplace,0.040217030103633186,0.035097915698444074,0.045716781733757324,USLR
5,CB-1H-MFN,BrightKite,0.0567682237420686,0.039697072412226315,0.07758737437690935,USLR
5,CB-1H-MFN,Gowalla,0.06937206438330937,0.0584562731416776,0.08121152046950585,USLR
5,CB-1H-MFN,Weeplace,0.0646283530491638,0.05754240401958129,0.0720191700800318,USLR
5,SW-24H-MFN,BrightKite,0.03677530777116428,0.0272728337542375,0.04763875939202696,USLR
5,SW-24H-MFN,Gowalla,0.057870428650240696,0.048879430337696345,0.06761397546112898,USLR
5,SW-24H-MFN,Weeplace,0.03725014218165103,0.032151513847851504,0.04264370764029289,USLR
5,TFN,BrightKite,0.046613203840371646,0.03603645349245344,0.05793579012350046,USLR
5,TFN,Gowalla,0.07588696773579472,0.06369103168916969,0.0891872658593119,USLR
5,TFN,Weeplace,0.07135021652049732,0.06416790482229832,0.07871830703550842,USLR
6,CB-1D-MFN,BrightKite,0.04134632035106823,0.02568290303759003,0.06182257520002531,USLR
6,CB-1D-MFN,Gowalla,0.06206805012726456,0.0509046132995545,0.07471530974988358,USLR
6,CB-1D-MFN,Weeplace,0.04042055663571854,0.03522196873630702,0.0459034998716905,USLR
6,CB-1H-MFN,BrightKite,0.047689020259254915,0.036637652539509714,0.05975669427670311,USLR
6,CB-1H-MFN,Gowalla,0.06691351464802325,0.055534755730126145,0.07937446492468195,USLR
6,CB-1H-MFN,Weeplace,0.06571806450507664,0.05894803608297927,0.07289854440286142,USLR
6,SW-24H-MFN,BrightKite,0.04115711802775744,0.025175251570585866,0.06256764082371957,USLR
6,SW-24H-MFN,Gowalla,0.062039212436965856,0.05086232697811519,0.0749808467467204,USLR
6,SW-24H-MFN,Weeplace,0.035700515668909666,0.03127562454593241,0.04044110298686512,USLR
