included,dataset,mean,lower,upper
1,BrightKite,0.7373763766733793,0.7004906817628451,0.7725956956102215
1,Gowalla,0.7300641887631389,0.6738043264987216,0.7956951368589589
1,Weeplace,0.5092735253882243,0.493586986472634,0.5251769132988291
2,BrightKite,0.8005436660209532,0.7688087355076456,0.832559368226375
2,Gowalla,0.8187623244596264,0.7611187481616625,0.8848775108196966
2,Weeplace,0.5772653844525435,0.5626091882147242,0.5916521747702818
3,BrightKite,0.8273490894316813,0.7965808002770491,0.8570377342205298
3,Gowalla,0.861222394957808,0.8031349928554926,0.9292121437267422
3,Weeplace,0.6220581647436192,0.6076903692394156,0.6368829863664979
4,BrightKite,0.8450117831186131,0.8168459749452203,0.8736325109344194
4,Gowalla,0.8973749937545455,0.8411303960378836,0.9646649421870472
4,Weeplace,0.6548685413708887,0.6403763184817832,0.6693427533247409
5,BrightKite,0.8528815861145811,0.8248660714655388,0.8802613374896456
5,Gowalla,0.925705208112182,0.8700890783823053,0.9892978994276235
5,Weeplace,0.6799160558663689,0.6652378662614374,0.6947845718821555
6,BrightKite,0.8602273888644747,0.8315011277285691,0.8875888503686263
6,Gowalla,0.9501291067071952,0.8954709267666963,1.0146428950687856
6,Weeplace,0.7006372222391941,0.685988979076317,0.7154952800889496
7,BrightKite,0.8617558648619071,0.8330925165064665,0.889223980988969
7,Gowalla,0.9657671228893573,0.9123382356841807,1.0255877092288415
7,Weeplace,0.7190921048502561,0.7043111970875696,0.7336441742294525
8,BrightKite,0.8666205471769887,0.8389676745083103,0.8932195371778976
8,Gowalla,0.9793059804116324,0.9284153175496167,1.0370861243351452
8,Weeplace,0.7360860106508759,0.7213608093362212,0.7508515721513818
9,BrightKite,0.8727558418623904,0.8452578991764372,0.8984699619926773
9,Gowalla,0.9855692531107617,0.940687496538413,1.0337434339133298
9,Weeplace,0.7514468525321601,0.7363558090615155,0.7661712245169304
10,BrightKite,0.8749069973362219,0.8477111740774586,0.900583549170207
10,Gowalla,0.9932210222956551,0.9494870522380549,1.0394286375710957
10,Weeplace,0.7629894462393166,0.7482240412859785,0.7776200722705416
