included,category,dataset,mean,lower,upper,LR
1,CB-1D-MFN,BrightKite,0.07111223589262562,0.0449228072575224,0.10396952337818281,USLR
1,CB-1D-MFN,Gowalla,0.13816102159792254,0.11976765833286233,0.1589456496604301,USLR
1,CB-1D-MFN,Weeplace,0.1261226889432823,0.11246443417963768,0.14115939092924784,USLR
1,CB-1H-MFN,BrightKite,0.09713310558325589,0.06892857924456887,0.1308198692744181,USLR
1,CB-1H-MFN,Gowalla,0.1489781232305451,0.12942252953605454,0.17017093141518233,USLR
1,CB-1H-MFN,Weeplace,0.13365973689947994,0.12011621380980067,0.14811254344626343,USLR
1,SW-24H-MFN,BrightKite,0.07090420338700869,0.04443657735289558,0.10342574349952567,USLR
1,SW-24H-MFN,Gowalla,0.13677956445800227,0.1165728676813141,0.1579705310339785,USLR
1,SW-24H-MFN,Weeplace,0.11522898376148079,0.10154826115313996,0.12966170014779035,USLR
1,TFN,BrightKite,0.1159221876194947,0.0847436428632677,0.15228704060755305,USLR
1,TFN,Gowalla,0.14889421291633909,0.12900183082580682,0.17053179740950583,USLR
1,TFN,Weeplace,0.1418122709031505,0.12867086156101826,0.15560994718302656,USLR
2,CB-1D-MFN,BrightKite,0.04643746125417633,0.035450330927702105,0.058706738258376946,USLR
2,CB-1D-MFN,Gowalla,0.09601427029909322,0.0829621287694703,0.10905634256268217,USLR
2,CB-1D-MFN,Weeplace,0.09111079936316524,0.08311866123066913,0.09944217932750458,USLR
2,CB-1H-MFN,BrightKite,0.06336070393719599,0.04621714341013913,0.08353570514701786,USLR
2,CB-1H-MFN,Gowalla,0.10079461167427814,0.08629725741321334,0.11655655594991668,USLR
2,CB-1H-MFN,Weeplace,0.09301383470740147,0.08454643948768722,0.10203039730125853,USLR
2,SW-24H-MFN,BrightKite,0.03698002863416116,0.0278914609997621,0.04682444130488864,USLR
2,SW-24H-MFN,Gowalla,0.09658747629839824,0.0830295345017909,0.11102648579401958,USLR
2,SW-24H-MFN,Weeplace,0.08458618890953422,0.07641843257937471,0.09319216892416489,USLR
2,TFN,BrightKite,0.06039363786501503,0.04725723149060931,0.07563248055638497,USLR
2,TFN,Gowalla,0.10739485344330807,0.09318594710993199,0.12295341535262903,USLR
2,TFN,Weeplace,0.10602824111658075,0.09742736178067662,0.11467057884581598,USLR
3,CB-1D-MFN,BrightKite,0.042083727256372945,0.031215206583237332,0.05365719074521374,USLR
3,CB-1D-MFN,Gowalla,0.08320608954721141,0.07025091536679681,0.09679718701341342,USLR
3,CB-1D-MFN,Weeplace,0.08039922396539836,0.07315374548592866,0.08765559956185141,USLR
3,CB-1H-MFN,BrightKite,0.0459108444202091,0.035691288657594016,0.05734667959919074,USLR
3,CB-1H-MFN,Gowalla,0.08850773923227773,0.07510926585512602,0.10245980234490629,USLR
3,CB-1H-MFN,Weeplace,0.08472499600437841,0.0768321942390794,0.09276417591434896,USLR
3,SW-24H-MFN,BrightKite,0.04363015503013669,0.032520461896955594,0.056247808456819,USLR
3,SW-24H-MFN,Gowalla,0.07311957030270241,0.0626763367066781,0.08402609666243673,USLR
3,SW-24H-MFN,Weeplace,0.07624204644935695,0.06823910606241965,0.0844274191211729,USLR
3,TFN,BrightKite,0.06240299708144538,0.05039657658213707,0.07540326501874624,USLR
3,TFN,Gowalla,0.10109079950115617,0.08714853157261078,0.11570511101066439,USLR
3,TFN,Weeplace,0.09781203631302662,0.09018919852376256,0.10576169110245448,USLR
4,CB-1D-MFN,BrightKite,0.041465626762680494,0.031365245397169936,0.05302895360257393,USLR
4,CB-1D-MFN,Gowalla,0.07895639892890316,0.06743721136302677,0.09139489844610933,USLR
4,CB-1D-MFN,Weeplace,0.0768668615645252,0.06985853960740213,0.08421948858166349,USLR
4,CB-1H-MFN,BrightKite,0.050821746123240176,0.039858640974011365,0.06222422582622495,USLR
4,CB-1H-MFN,Gowalla,0.07365840910605395,0.0632537923643086,0.08523010837186122,USLR
4,CB-1H-MFN,Weeplace,0.08033502108498355,0.07267721133329838,0.08849816870879432,USLR
4,SW-24H-MFN,BrightKite,0.04907156569634738,0.034316855557775125,0.067950738838319,USLR
4,SW-24H-MFN,Gowalla,0.0761864410596802,0.0645213104266218,0.08953167118122737,USLR
4,SW-24H-MFN,Weeplace,0.07453197460030156,0.06652456070189007,0.08293148108681607,USLR
4,TFN,BrightKite,0.05361751865180676,0.043832135287215704,0.06402987564047932,USLR
4,TFN,Gowalla,0.0876834141330436,0.07682538609246851,0.09892345955012105,USLR
4,TFN,Weeplace,0.09154456027804937,0.08393764779316237,0.09954108314118412,USLR
5,CB-1D-MFN,BrightKite,0.04825955491557709,0.03584437513956484,0.06316058219526366,USLR
5,CB-1D-MFN,Gowalla,0.07492905995341112,0.06334740314563185,0.08786936729936787,USLR
5,CB-1D-MFN,Weeplace,0.07336472234440096,0.0659820082921634,0.0809192775983403,USLR
5,CB-1H-MFN,BrightKite,0.03578133588571011,0.027712973344233262,0.04489954449432824,USLR
5,CB-1H-MFN,Gowalla,0.07246279010520741,0.062020615091938514,0.08377614249602017,USLR
5,CB-1H-MFN,Weeplace,0.07199892364196187,0.06477666880059688,0.07950037494437737,USLR
5,SW-24H-MFN,BrightKite,0.03568049065411621,0.02652836910652695,0.04589861181381117,USLR
5,SW-24H-MFN,Gowalla,0.07117795616568269,0.059564217923483265,0.08403872970298266,USLR
5,SW-24H-MFN,Weeplace,0.06473207566882515,0.058268409145566705,0.0716452513974792,USLR
5,TFN,BrightKite,0.05041555674579309,0.04153042474513827,0.059524409938835544,USLR
5,TFN,Gowalla,0.08388780603221895,0.0728304369521236,0.09551478003072782,USLR
5,TFN,Weeplace,0.09046629067413485,0.08304119370739614,0.09827873727515932,USLR
6,CB-1D-MFN,BrightKite,0.04397459185556405,0.034260141166446954,0.05456129217718402,USLR
6,CB-1D-MFN,Gowalla,0.07042417602222587,0.05983495034155813,0.08223493237381176,USLR
6,CB-1D-MFN,Weeplace,0.07339911140101905,0.06598807952121606,0.08123966745859679,USLR
6,CB-1H-MFN,BrightKite,0.04390145373443733,0.03404684988555327,0.05446441909036465,USLR
6,CB-1H-MFN,Gowalla,0.07186407144837444,0.06097762681164881,0.08364812423821061,USLR
6,CB-1H-MFN,Weeplace,0.0666897330526196,0.060099657378531096,0.07338960693791201,USLR
6,SW-24H-MFN,BrightKite,0.045273527089858816,0.034588515096838766,0.057147888012145105,USLR
6,SW-24H-MFN,Gowalla,0.07053463800630887,0.06001794995562126,0.08200907515015221,USLR
6,SW-24H-MFN,Weeplace,0.06525908848729199,0.05771965886406396,0.07323200108946543,USLR
6,TFN,BrightKite,0.047295332783386115,0.0384876967042021,0.05668899545347927,USLR
6,TFN,Gowalla,0.07601324707994543,0.06526996412269734,0.08768987766769508,USLR
6,TFN,Weeplace,0.08196935549924758,0.074910346736113,0.08916418059283894,USLR
7,CB-1D-MFN,BrightKite,0.041186848286964284,0.03160542725593097,0.05281936854756022,USLR
7,CB-1D-MFN,Gowalla,0.06835219897519325,0.05795576776677744,0.07938272307119978,USLR
7,CB-1D-MFN,Weeplace,0.06169241244704344,0.05570777837568951,0.06785476366075327,USLR
7,CB-1H-MFN,BrightKite,0.04942713754488612,0.03891694380826272,0.059956265217055354,USLR
7,CB-1H-MFN,Gowalla,0.06484070514986183,0.053950222919529785,0.07698998216623969,USLR
7,CB-1H-MFN,Weeplace,0.06389278789901344,0.05710661708854086,0.07093603571582725,USLR
7,SW-24H-MFN,BrightKite,0.04596720114611636,0.033653581005413366,0.06072466553856048,USLR
7,SW-24H-MFN,Gowalla,0.07220211420543451,0.060113657638724526,0.08512047509237919,USLR
7,SW-24H-MFN,Weeplace,0.06269117155764795,0.05594873941338232,0.07004042499507415,USLR
7,TFN,BrightKite,0.04610047168918149,0.0366887488417734,0.05676724687469329,USLR
7,TFN,Gowalla,0.07763667465239903,0.06621055376244941,0.08959860046579643,USLR
7,TFN,Weeplace,0.0808208075248254,0.07367091614003404,0.08817522584250309,USLR
8,CB-1D-MFN,BrightKite,0.0387632626789691,0.030387647624775048,0.04780631234571243,USLR
8,CB-1D-MFN,Gowalla,0.07035335684691725,0.058764916050800226,0.08294293892840675,USLR
8,CB-1D-MFN,Weeplace,0.06294762993424344,0.0566040676940094,0.06933442383608356,USLR
8,CB-1H-MFN,BrightKite,0.0442655468471485,0.03319778761789907,0.057349296751876354,USLR
8,CB-1H-MFN,Gowalla,0.06584724083171606,0.05413128493022291,0.07873785050424524,USLR
8,CB-1H-MFN,Weeplace,0.06430401153534583,0.057907182876195784,0.07117951170427762,USLR
8,SW-24H-MFN,BrightKite,0.03968789070236656,0.030538038675264362,0.049594956959387426,USLR
8,SW-24H-MFN,Gowalla,0.06876997476965108,0.057815493075861375,0.08100971410873141,USLR
8,SW-24H-MFN,Weeplace,0.057905367948951465,0.0516426219023755,0.06431308943973157,USLR
8,TFN,BrightKite,0.0516148365782384,0.03912922393191009,0.06681518776059091,USLR
8,TFN,Gowalla,0.06914950877202324,0.05840567462669971,0.08076069780223157,USLR
8,TFN,Weeplace,0.08423105458085507,0.07641418577447245,0.09241281564898184,USLR
9,CB-1D-MFN,BrightKite,0.038675823883280405,0.030192319621099983,0.04786210627011448,USLR
9,CB-1D-MFN,Gowalla,0.06448233088573822,0.05343510914348642,0.0771291022897608,USLR
9,CB-1D-MFN,Weeplace,0.057224832623658024,0.05094642182607481,0.06361844720191612,USLR
9,CB-1H-MFN,BrightKite,0.03945508050178667,0.03111697208494209,0.04916672707302077,USLR
9,CB-1H-MFN,Gowalla,0.06089965295896372,0.05045552390222102,0.07248609176932799,USLR
9,CB-1H-MFN,Weeplace,0.06053029468176661,0.054506340864373275,0.06684726674534387,USLR
9,SW-24H-MFN,BrightKite,0.03800199259471306,0.02746864710724278,0.05057080683710569,USLR
9,SW-24H-MFN,Gowalla,0.05486490871561601,0.0462831505230485,0.06426875049258157,USLR
9,SW-24H-MFN,Weeplace,0.0561990768509739,0.04964356327428552,0.0631100508823132,USLR
9,TFN,BrightKite,0.044331567323569056,0.03386151090301094,0.05558605568588651,USLR
9,TFN,Gowalla,0.07503893777083795,0.06372958198863467,0.08746575304961655,USLR
9,TFN,Weeplace,0.0680416402821077,0.061501627015245294,0.07473310518467512,USLR
10,CB-1D-MFN,BrightKite,0.03656777289704203,0.027453149025594443,0.04667980733339805,USLR
10,CB-1D-MFN,Gowalla,0.0648861626319836,0.05585101489068654,0.07456741226697261,USLR
10,CB-1D-MFN,Weeplace,0.05719117654398497,0.051072036734811456,0.0635740506876033,USLR
10,CB-1H-MFN,BrightKite,0.033055652078257995,0.024070666483060082,0.04476695668145231,USLR
10,CB-1H-MFN,Gowalla,0.06088495454180066,0.05122987112857396,0.0711682720858253,USLR
10,CB-1H-MFN,Weeplace,0.0651790121229327,0.05883945679986455,0.07198643539769609,USLR
10,SW-24H-MFN,BrightKite,0.03536696577317915,0.027184877070450173,0.044227855580306216,USLR
10,SW-24H-MFN,Gowalla,0.06374886256764685,0.05225166813070472,0.0766259762529549,USLR
10,SW-24H-MFN,Weeplace,0.05410452321724356,0.04811560523021728,0.060401772832158966,USLR
10,TFN,BrightKite,0.04362104955850419,0.03427722841904207,0.053830414353081696,USLR
10,TFN,Gowalla,0.0705883304494923,0.05993742977632287,0.08236470375022377,USLR
10,TFN,Weeplace,0.0676513614436822,0.06108077219155956,0.07449212631633038,USLR
1,CB-1D-MFN,BrightKite,0.15618221785665876,0.12337716561078224,0.19132883225665984,SLR
1,CB-1D-MFN,Gowalla,0.1499269010495084,0.12881830305024042,0.17215346122138483,SLR
1,CB-1D-MFN,Weeplace,0.12361611638713957,0.11126237418608334,0.13695579830961918,SLR
1,CB-1H-MFN,BrightKite,0.15211283481118984,0.12218707326611704,0.18566089112446896,SLR
1,CB-1H-MFN,Gowalla,0.15002629687286545,0.12907993875014817,0.17226657267401083,SLR
1,CB-1H-MFN,Weeplace,0.12522094645092585,0.11273147444931793,0.1387912842437976,SLR
1,SW-24H-MFN,BrightKite,0.1756427480145407,0.13536157520575548,0.22088928623662102,SLR
1,SW-24H-MFN,Gowalla,0.15287403412151304,0.13038075920761238,0.17725510976259173,SLR
1,SW-24H-MFN,Weeplace,0.12082456934717636,0.10784939877977379,0.13443895112811474,SLR
1,TFN,BrightKite,0.17376228406836902,0.1315312378623197,0.22078393539406482,SLR
1,TFN,Gowalla,0.14921040388913068,0.12814884072090366,0.17144185739869228,SLR
1,TFN,Weeplace,0.12974266151665598,0.11727545460284522,0.14287698214141797,SLR
2,CB-1D-MFN,BrightKite,0.14130493979666747,0.10615928169400869,0.1820683066692077,SLR
2,CB-1D-MFN,Gowalla,0.10904573201385391,0.09270783400903121,0.12570409773410726,SLR
2,CB-1D-MFN,Weeplace,0.09504110223320217,0.086221909053713,0.10431023546091098,SLR
2,CB-1H-MFN,BrightKite,0.14882919977687165,0.10966896955246433,0.19208527442511086,SLR
2,CB-1H-MFN,Gowalla,0.1108183105187029,0.09285664391024953,0.13021098060579855,SLR
2,CB-1H-MFN,Weeplace,0.09176270956831113,0.08246375391500103,0.1013542386223089,SLR
2,SW-24H-MFN,BrightKite,0.14119578805668512,0.10331832332920383,0.18538498639193182,SLR
2,SW-24H-MFN,Gowalla,0.10964795744082924,0.09262788100354509,0.12811769873421672,SLR
2,SW-24H-MFN,Weeplace,0.09147944792631073,0.08201936393866348,0.10158070293771702,SLR
2,TFN,BrightKite,0.13905102258321006,0.10479625666853311,0.177182609869446,SLR
2,TFN,Gowalla,0.11908145802295197,0.10140123791500863,0.13859027165923138,SLR
2,TFN,Weeplace,0.09802644000283035,0.08879236694916141,0.1075562584582954,SLR
3,CB-1D-MFN,BrightKite,0.14897216975119307,0.11434948026123133,0.18809741155367127,SLR
3,CB-1D-MFN,Gowalla,0.09556249465505161,0.07819045896651004,0.11404698053059398,SLR
3,CB-1D-MFN,Weeplace,0.07951253004519279,0.07168140634495439,0.08759331357286734,SLR
3,CB-1H-MFN,BrightKite,0.13777724912802863,0.10253251745395392,0.1781386157552423,SLR
3,CB-1H-MFN,Gowalla,0.09830817594194789,0.08058913178339949,0.11729954991627853,SLR
3,CB-1H-MFN,Weeplace,0.07911957387509735,0.07007200871273304,0.08851482765979649,SLR
3,SW-24H-MFN,BrightKite,0.14319252989850706,0.1077872820888204,0.1829936297359696,SLR
3,SW-24H-MFN,Gowalla,0.08976400301537762,0.07388824517418482,0.10698989692880313,SLR
3,SW-24H-MFN,Weeplace,0.07802078244039429,0.06903907057602121,0.08756912362373692,SLR
3,TFN,BrightKite,0.10448320433991902,0.0788396652538712,0.13237103961433536,SLR
3,TFN,Gowalla,0.1116434646925287,0.09327279506016094,0.13170900395075133,SLR
3,TFN,Weeplace,0.08752330081006122,0.07883378689032125,0.09642211656613961,SLR
4,CB-1D-MFN,BrightKite,0.1187636007796489,0.09272779495158957,0.1481599425990551,SLR
4,CB-1D-MFN,Gowalla,0.08897878791290349,0.07312445868956748,0.10571041609691495,SLR
4,CB-1D-MFN,Weeplace,0.07760607932546171,0.06906229288223469,0.0867765788671432,SLR
4,CB-1H-MFN,BrightKite,0.11584317217421004,0.0908608028672401,0.14214568599593316,SLR
4,CB-1H-MFN,Gowalla,0.07941881485748767,0.06429879833502924,0.09648040856812513,SLR
4,CB-1H-MFN,Weeplace,0.07550009127882086,0.0666967716639196,0.08485676762277557,SLR
4,SW-24H-MFN,BrightKite,0.13292472443453512,0.10155219679351539,0.16812254146145622,SLR
4,SW-24H-MFN,Gowalla,0.08453619060682063,0.06926446405768756,0.10077642162977715,SLR
4,SW-24H-MFN,Weeplace,0.07594174442599765,0.06700347925174227,0.08548527516125125,SLR
4,TFN,BrightKite,0.09023443413325864,0.06530576458479069,0.11863780946675787,SLR
4,TFN,Gowalla,0.09558121086654174,0.08006748387902272,0.11230339666591901,SLR
4,TFN,Weeplace,0.07963065860838359,0.07144841795707851,0.08821377269753021,SLR
5,CB-1D-MFN,BrightKite,0.1269405644410353,0.09371946131361192,0.16755405093763892,SLR
5,CB-1D-MFN,Gowalla,0.08253794478911144,0.06763543388425115,0.09875623572608577,SLR
5,CB-1D-MFN,Weeplace,0.06910459352034722,0.06080489703013945,0.07824140585424293,SLR
5,CB-1H-MFN,BrightKite,0.11845672498020164,0.08455559185976542,0.15608374375687165,SLR
5,CB-1H-MFN,Gowalla,0.08361821251738451,0.06734439425632567,0.10081788504907946,SLR
5,CB-1H-MFN,Weeplace,0.06640874954093283,0.05855204796532819,0.07454448955127795,SLR
5,SW-24H-MFN,BrightKite,0.14203307337864213,0.10403850883456454,0.18544730858284883,SLR
5,SW-24H-MFN,Gowalla,0.07778792354734237,0.0626717173528512,0.09401644920440506,SLR
5,SW-24H-MFN,Weeplace,0.06518849805613434,0.0570317997943157,0.07395818412889255,SLR
5,TFN,BrightKite,0.08600581232975865,0.061222529389156476,0.11624896174529181,SLR
5,TFN,Gowalla,0.09145226877920712,0.07629069470102656,0.10792709916489393,SLR
5,TFN,Weeplace,0.07612968913683363,0.06884970713886827,0.08373691104010283,SLR
6,CB-1D-MFN,BrightKite,0.12393069976558417,0.08814726166608683,0.16467653758698406,SLR
6,CB-1D-MFN,Gowalla,0.0762829352420998,0.06169668686118213,0.09246664970083984,SLR
6,CB-1D-MFN,Weeplace,0.07040217897473715,0.061752226141397124,0.07925178102006968,SLR
6,CB-1H-MFN,BrightKite,0.11609329302875177,0.08567657902496838,0.1524541423919793,SLR
6,CB-1H-MFN,Gowalla,0.07433695362522925,0.06037325471920935,0.08935967812926972,SLR
6,CB-1H-MFN,Weeplace,0.06136407056168008,0.0538617552817089,0.0692751348277964,SLR
6,SW-24H-MFN,BrightKite,0.13832824148291928,0.10268608224785869,0.17796874150631098,SLR
6,SW-24H-MFN,Gowalla,0.07465334420772371,0.061722504104067336,0.08846843310556643,SLR
6,SW-24H-MFN,Weeplace,0.06520876861179029,0.0569865726219978,0.07372599726382821,SLR
6,TFN,BrightKite,0.07640011290954665,0.050375115071974355,0.10856270721400743,SLR
6,TFN,Gowalla,0.08105579477906304,0.06700938896402742,0.09598307767005622,SLR
