included,category,dataset,mean,lower,upper
1,CB-1D-MFN,BrightKite,0.7037152185651505,0.6455669438431383,0.7609978686483483
1,CB-1D-MFN,Gowalla,0.8024647875844564,0.7285775952541338,0.8900048921981621
1,CB-1D-MFN,Weeplace,0.5675811078833597,0.5439103696445539,0.5920710787915797
1,CB-1H-MFN,BrightKite,0.6689456630651589,0.6114095117502217,0.7256650613381964
1,CB-1H-MFN,Gowalla,0.7711674575377535,0.7019392926717283,0.8544687909824051
1,CB-1H-MFN,Weeplace,0.5427297701572591,0.5178422978439732,0.5686954847031628
1,SW-24H-MFN,BrightKite,0.6664963864655205,0.6029390481711046,0.7297726542016881
1,SW-24H-MFN,Gowalla,0.8087929150260369,0.7339278411210531,0.8964735283901851
1,SW-24H-MFN,Weeplace,0.5538000254666162,0.5297365522938492,0.5783098205780601
1,TFN,BrightKite,0.628908000034097,0.5699052153502662,0.6876764845282609
1,TFN,Gowalla,0.7878065405739928,0.7143387812924225,0.8741085473398458
1,TFN,Weeplace,0.5134018614840061,0.48652213218434975,0.5401539203062694
2,CB-1D-MFN,BrightKite,0.7468693787071257,0.6907997531367537,0.8000229072697196
2,CB-1D-MFN,Gowalla,0.8892965556031678,0.818870537451305,0.9756153720792462
2,CB-1D-MFN,Weeplace,0.63796522746555,0.6150384245096543,0.6611553275101372
2,CB-1H-MFN,BrightKite,0.7301737422628979,0.6780318464040122,0.7801719656127333
2,CB-1H-MFN,Gowalla,0.857492721920882,0.7905206963616432,0.9358704115246148
2,CB-1H-MFN,Weeplace,0.6150894742466012,0.5919546735618733,0.6390446428735199
2,SW-24H-MFN,BrightKite,0.7356558472054407,0.682273837834243,0.7879371696193568
2,SW-24H-MFN,Gowalla,0.8812395661071689,0.8108061733076906,0.9648704428143348
2,SW-24H-MFN,Weeplace,0.617732223611167,0.5940803635851536,0.6413440422370198
2,TFN,BrightKite,0.719503460071063,0.6684110783328594,0.7689577434836872
