included,category,dataset,mean,lower,upper,LR
1,CB-1D-MFN,BrightKite,0.07111223589262562,0.04457810005290222,0.10353438299251783,USLR
1,CB-1D-MFN,Gowalla,0.13816102159792254,0.11949675716756057,0.15908400317615007,USLR
1,CB-1D-MFN,Weeplace,0.1261226889432823,0.11251995150162218,0.1410955492172407,USLR
1,CB-1H-MFN,BrightKite,0.09713310558325589,0.06841981057008024,0.13132361925421718,USLR
1,CB-1H-MFN,Gowalla,0.1489781232305451,0.1297980430377745,0.17003617662075485,USLR
1,CB-1H-MFN,Weeplace,0.13365973689947994,0.12041453507208075,0.1477399841066437,USLR
1,SW-24H-MFN,BrightKite,0.07090420338700869,0.04414442851732403,0.10353611856877555,USLR
1,SW-24H-MFN,Gowalla,0.13677956445800227,0.11687735710223579,0.15825216529088781,USLR
1,SW-24H-MFN,Weeplace,0.11522898376148079,0.10139996115306288,0.12951764094939838,USLR
1,TFN,BrightKite,0.1159221876194947,0.08523088925211325,0.15135303401229153,USLR
1,TFN,Gowalla,0.14889421291633909,0.1291189043725091,0.1698863008730968,USLR
1,TFN,Weeplace,0.1418122709031505,0.12860428598588317,0.15558735657963327,USLR
2,CB-1D-MFN,BrightKite,0.10027567342817136,0.07195693114724412,0.13368654616394826,USLR
2,CB-1D-MFN,Gowalla,0.19673806955951506,0.17565961119925047,0.2187911896335155,USLR
2,CB-1D-MFN,Weeplace,0.18499172516106877,0.16987555447823446,0.20119814684826803,USLR
2,CB-1H-MFN,BrightKite,0.14041588422839416,0.1086523498995938,0.1768669441440916,USLR
2,CB-1H-MFN,Gowalla,0.2094762011747115,0.18660184517020623,0.2333542570582706,USLR
2,CB-1H-MFN,Weeplace,0.19271073970999308,0.17702079829766798,0.2087295724706303,USLR
2,SW-24H-MFN,BrightKite,0.09223102574201188,0.06424332004090735,0.12631833275219548,USLR
2,SW-24H-MFN,Gowalla,0.19795674191766427,0.1762638350354828,0.22128020284471683,USLR
2,SW-24H-MFN,Weeplace,0.17107541260410786,0.15530530897467829,0.18740383967764246,USLR
2,TFN,BrightKite,0.15249801581819453,0.1194455166949178,0.18929107063944411,USLR
2,TFN,Gowalla,0.21304638576894772,0.19064211220782634,0.23684228680283376,USLR
2,TFN,Weeplace,0.2082351942903669,0.19307041331598546,0.22366396101426533,USLR
3,CB-1D-MFN,BrightKite,0.12217033856058075,0.09306733548633737,0.15596752302574782,USLR
3,CB-1D-MFN,Gowalla,0.2317902392926452,0.20896459381280658,0.25552815340941615,USLR
3,CB-1D-MFN,Weeplace,0.22418687187315106,0.20790693564295035,0.24070449346356074,USLR
3,CB-1H-MFN,BrightKite,0.16303056828206097,0.1311119004828549,0.19943877746066474,USLR
3,CB-1H-MFN,Gowalla,0.24647250272631452,0.22201078252914416,0.2713248462900795,USLR
3,CB-1H-MFN,Weeplace,0.2329333363959229,0.21649105957347176,0.2499911975805025,USLR
3,SW-24H-MFN,BrightKite,0.11409637440589694,0.08464694696114124,0.14857540320104498,USLR
3,SW-24H-MFN,Gowalla,0.22693150708989998,0.20372295820684327,0.25106450681444176,USLR
3,SW-24H-MFN,Weeplace,0.2096453613115709,0.1930590188782194,0.2267133155217649,USLR
3,TFN,BrightKite,0.18429483139891756,0.15124299389185958,0.22062263978789268,USLR
3,TFN,Gowalla,0.25809472190522503,0.233521899309067,0.2824243899791198,USLR
3,TFN,Weeplace,0.2530932178448043,0.2375384295464457,0.2688185855049642,USLR
4,CB-1D-MFN,BrightKite,0.13873108041848042,0.10810660662472842,0.17200987124333672,USLR
4,CB-1D-MFN,Gowalla,0.2587737483311671,0.23514579634853974,0.28289134288909334,USLR
4,CB-1D-MFN,Weeplace,0.25539492042221906,0.2387323428041615,0.2719639780991009,USLR
4,CB-1H-MFN,BrightKite,0.18482697984705398,0.15183902544796218,0.22187931171953248,USLR
4,CB-1H-MFN,Gowalla,0.27142833204031214,0.24647142746259879,0.29743586815144024,USLR
4,CB-1H-MFN,Weeplace,0.26490185433125124,0.24818560855027905,0.28253956874654496,USLR
4,SW-24H-MFN,BrightKite,0.1408592976152497,0.10913903959229386,0.1766891947018754,USLR
4,SW-24H-MFN,Gowalla,0.25397817731244393,0.2294452783535954,0.2791987896660163,USLR
4,SW-24H-MFN,Weeplace,0.24255200917365147,0.22523203961476682,0.26021309236122253,USLR
4,TFN,BrightKite,0.20463513087028457,0.17077718323071933,0.24216166743415235,USLR
4,TFN,Gowalla,0.28863427310463796,0.26405545748205833,0.3136632309424422,USLR
4,TFN,Weeplace,0.28722981471938946,0.27149913871182885,0.3038690287212978,USLR
5,CB-1D-MFN,BrightKite,0.15975218853812065,0.12789116443497484,0.19574951051744113,USLR
5,CB-1D-MFN,Gowalla,0.2813198358214672,0.2569158814635906,0.30707557337858093,USLR
5,CB-1D-MFN,Weeplace,0.2802455943374773,0.26253004476439246,0.2980024320805644,USLR
5,CB-1H-MFN,BrightKite,0.1960271694657799,0.16239498684622689,0.23259752765417377,USLR
5,CB-1H-MFN,Gowalla,0.29144562832044296,0.26629195145864865,0.31712501676997656,USLR
5,CB-1H-MFN,Weeplace,0.2890291995471066,0.27170101998273444,0.3070552557798223,USLR
