included,category,dataset,mean,lower,upper
1,CB-1H-CN,BrightKite,0.501587322889426,0.4803116402952684,0.5222730840575301
1,CB-1H-CN,Gowalla,0.5437497755655047,0.5233605209778828,0.5647139529124099
1,CB-1H-CN,Weeplace,0.34977978773915525,0.3423033619694234,0.35724563358899053
1,Friendship,BrightKite,0.44988054509113523,0.43101228383661294,0.4684805880076814
1,Friendship,Gowalla,0.5854533578984871,0.5643111153283158,0.6071776250946719
1,Friendship,Weeplace,0.37420889041882405,0.36666126067066257,0.3817936323669212
2,CB-1H-CN,BrightKite,0.6060150885667518,0.5972926112870854,0.6147824622185818
2,CB-1H-CN,Gowalla,0.64035441951703,0.6320739213584063,0.6486099935664963
2,CB-1H-CN,Weeplace,0.46598113031594446,0.46273656851413664,0.4691851688016786
2,Friendship,BrightKite,0.5665284341582166,0.5584871691870243,0.5748368517041831
2,Friendship,Gowalla,0.6795423915096782,0.6710177905730864,0.6882849221877392
2,Friendship,Weeplace,0.4813905251924302,0.4781979149679442,0.4845073426528402
3,CB-1H-CN,BrightKite,0.6635714604080272,0.658512231902395,0.6686775458142485
3,CB-1H-CN,Gowalla,0.7160762779199363,0.7113832072326309,0.720931328828891
3,CB-1H-CN,Weeplace,0.5528501982586908,0.5508665339173981,0.5548240928729125
3,Friendship,BrightKite,0.6318695808822796,0.6271811973726625,0.6366035146680215
3,Friendship,Gowalla,0.7529976839421942,0.7481051049557139,0.7579685984321536
3,Friendship,Weeplace,0.5648503627498475,0.5628882954244575,0.5668077734023674
4,CB-1H-CN,BrightKite,0.7030406300145159,0.6995204388632053,0.7066065269078283
4,CB-1H-CN,Gowalla,0.7774305542947013,0.7738489778084804,0.7809917004901689
4,CB-1H-CN,Weeplace,0.6197904392696502,0.6182015230554146,0.6212992479651217
4,Friendship,BrightKite,0.6766391833868928,0.67322870943413,0.6800556656003973
4,Friendship,Gowalla,0.8123526232953484,0.8087487645832457,0.8159672793595448
4,Friendship,Weeplace,0.6303068453713246,0.6287798619275122,0.6318251994835483
5,CB-1H-CN,BrightKite,0.7331303524877892,0.7300310911050132,0.7363093761017646
5,CB-1H-CN,Gowalla,0.8287712037577836,0.8255629109768754,0.832070103551025
5,CB-1H-CN,Weeplace,0.673271828813075,0.6718122076521384,0.6747118990004606
5,Friendship,BrightKite,0.71046380151903,0.7075212794000822,0.7134079803721585
5,Friendship,Gowalla,0.8619819168004024,0.8587480755019598,0.8652695985435753
5,Friendship,Weeplace,0.6831175374107551,0.6817160325247298,0.6845049602952746
6,CB-1H-CN,BrightKite,0.7573895880657373,0.7540955081297327,0.7606468548873678
6,CB-1H-CN,Gowalla,0.8727693143621812,0.8692157956664398,0.8763544494547613
6,CB-1H-CN,Weeplace,0.717286275298197,0.7156769300145375,0.7188450862040212
6,Friendship,BrightKite,0.7374359640892582,0.7343211380152262,0.7405139723053084
6,Friendship,Gowalla,0.9045542617691841,0.9009356276948115,0.9081886032078782
6,Friendship,Weeplace,0.7268099141608859,0.7252417901938517,0.7283536466225684
7,CB-1H-CN,BrightKite,0.7776304314505761,0.7734055618955133,0.7817590860773084
7,CB-1H-CN,Gowalla,0.9111620481873692,0.906346131511477,0.9159798895988853
7,CB-1H-CN,Weeplace,0.7543862330900561,0.752296893078251,0.7564477015446852
7,Friendship,BrightKite,0.7596747711154501,0.7556684136088208,0.7636350054769497
7,Friendship,Gowalla,0.9417651942414198,0.936875886121409,0.9466445279877218
7,Friendship,Weeplace,0.7636947715677429,0.7615958618700981,0.765790250319641
8,CB-1H-CN,BrightKite,0.7949155072615435,0.7883458395173096,0.8015314647213552
8,CB-1H-CN,Gowalla,0.9451393181621259,0.9372760778593413,0.9532873312264454
8,CB-1H-CN,Weeplace,0.7862661561871085,0.7828368247174027,0.7896754277555238
8,Friendship,BrightKite,0.7784154663714142,0.7721322992643106,0.7847304265970835
8,Friendship,Gowalla,0.9747566644813905,0.9668094895886798,0.9829863601493593
8,Friendship,Weeplace,0.7953372112559389,0.7918640798714114,0.7987777351437059
9,CB-1H-CN,BrightKite,0.8099244242496987,0.7962825156584696,0.8237702654007681
9,CB-1H-CN,Gowalla,0.9755537400721549,0.9590364213197085,0.9928709204011374
9,CB-1H-CN,Weeplace,0.8140883257181211,0.8065111541773136,0.8214452907613762
9,Friendship,BrightKite,0.7944452433530227,0.7811359977059982,0.8074503573975802
9,Friendship,Gowalla,1.0043365724741142,0.9872544810670496,1.0224813463927098
9,Friendship,Weeplace,0.8228364045799118,0.8156138988874485,0.830120155757494
10,CB-1H-CN,BrightKite,0.8231194739149007,0.7809685325884035,0.8628414976589304
10,CB-1H-CN,Gowalla,1.0030393973435083,0.9489851118600225,1.0605458681948303
10,CB-1H-CN,Weeplace,0.8386723206314232,0.8148498693008052,0.8622055280094433
10,Friendship,BrightKite,0.8083038311502221,0.7672991708585872,0.8493556156713876
10,Friendship,Gowalla,1.0310999586209049,0.9787889311685853,1.0909711281190255
10,Friendship,Weeplace,0.8469874067538082,0.8237477144457684,0.8708216309369282
