Included,userid,userid_y,category,Pi_alters_ratio,USLR,SLR,dataset
1,0.0,2.0,CB-1H-MFN,0.618957147786566,0.2090032154340836,0.2258992805755396,BrightKite
2,0.0,30.0,CB-1H-MFN,0.7932775804165121,0.3279742765273312,0.4925659472422063,BrightKite
3,0.0,35.0,CB-1H-MFN,0.8202662180765846,0.3617363344051447,0.6709832134292566,BrightKite
4,0.0,29.0,CB-1H-MFN,0.8278544541951117,0.37138263665594856,0.7942446043165468,BrightKite
5,0.0,40.0,CB-1H-MFN,0.8379251936237062,0.37138263665594856,0.9088729016786572,BrightKite
6,0.0,61.0,CB-1H-MFN,0.8791448063475547,0.3858520900321543,0.9515587529976021,BrightKite
7,0.0,42.0,CB-1H-MFN,0.8987303498602829,0.4019292604501608,0.9875299760191848,BrightKite
8,0.0,55.0,CB-1H-MFN,0.9229934713193271,0.40836012861736337,1.015347721822542,BrightKite
9,0.0,1087.0,CB-1H-MFN,0.9224355356579681,0.4147909967845659,1.1016786570743404,BrightKite
10,0.0,34.0,CB-1H-MFN,0.930159269560646,0.4180064308681672,1.1247002398081534,BrightKite
1,2.0,947.0,CB-1H-MFN,0.2836258731870625,0.004048582995951417,0.11815150071462603,BrightKite
2,2.0,969.0,CB-1H-MFN,0.1302170133895454,0.032388663967611336,0.24535493091948546,BrightKite
3,2.0,987.0,CB-1H-MFN,0.2563512784653952,0.034412955465587036,0.3635064316341115,BrightKite
4,2.0,86.0,CB-1H-MFN,0.3050193055059379,0.044534412955465584,0.4535493091948547,BrightKite
5,2.0,66.0,CB-1H-MFN,0.28746434034869645,0.06072874493927125,0.5998094330633635,BrightKite
6,2.0,1309.0,CB-1H-MFN,0.3172823512677432,0.0708502024291498,0.6426869938065746,BrightKite
7,2.0,41.0,CB-1H-MFN,0.3424116215460611,0.08704453441295547,0.7384468794664126,BrightKite
8,2.0,900.0,CB-1H-MFN,0.3502896209782741,0.09109311740890688,0.8580276322058122,BrightKite
