included,category,dataset,mean,lower,upper,mean_CCE,lower_CCE,upper_CCE
1,CB-1D-MFN,BrightKite,0.577530478722837,0.5056460653883433,0.6492079980590294,1.7631272947710814,1.589403423098975,1.9825175203166276
1,CB-1D-MFN,Gowalla,0.608505255381156,0.5511698620486573,0.6674902925237788,1.1987724808414062,1.1732797553286163,1.2245947716892407
1,CB-1D-MFN,Weeplace,0.39456364897635876,0.367198077195702,0.4222434910745385,1.4128988810678975,1.3832416248696593,1.4434170540686857
1,CB-1H-MFN,BrightKite,0.5878388271945306,0.5182806647486083,0.6572745346592488,1.859757141092275,1.6081979402625375,2.180677494464755
1,CB-1H-MFN,Gowalla,0.6603669480907242,0.5900766411622271,0.7427329122620892,1.1938495772652324,1.164898735080558,1.2237803475223392
1,CB-1H-MFN,Weeplace,0.42688559494406386,0.39959281447742606,0.4552829665051922,1.3984250861852499,1.36857448603311,1.4301881405010968
1,SW-24H-MFN,BrightKite,0.5527859729032912,0.47357847758721455,0.6311459599781098,1.7486762406909182,1.5875590802923532,1.9519319454587891
1,SW-24H-MFN,Gowalla,0.6096248695227678,0.5509633024276841,0.6725351278033543,1.2013119195885895,1.1742393630754495,1.2289272155693276
1,SW-24H-MFN,Weeplace,0.37868358386144435,0.35111254807502634,0.4070649046167446,1.4248700098193283,1.3933911611929182,1.4582230472907793
1,TFN,BrightKite,0.590470588482866,0.5249484367922285,0.6540203002487978,1.8994714283540277,1.653598495266016,2.190883569525522
1,TFN,Gowalla,0.7029741516146614,0.6284801203490118,0.7904427287659238,1.183387618417443,1.153793910441216,1.213859811960522
1,TFN,Weeplace,0.4311971925680193,0.4040937548421158,0.4585765780852791,1.3934294275893293,1.36414422907174,1.4241687916502188
2,CB-1D-MFN,BrightKite,0.6614299928845333,0.5998648386809293,0.7213465093558671,1.6043379027955593,1.460261601690759,1.7941461754240933
2,CB-1D-MFN,Gowalla,0.7262166155221648,0.6792839975693656,0.7738367338428037,1.151530674274906,1.127192112282796,1.1762596875031923
2,CB-1D-MFN,Weeplace,0.5532006262313857,0.5287683687753497,0.5774290089676756,1.3254318185262215,1.2985801423498347,1.3548804500728762
2,CB-1H-MFN,BrightKite,0.6812455754540443,0.6212979922929314,0.7382829020289791,1.6094691531317482,1.4689490802597875,1.8036557149555656
2,CB-1H-MFN,Gowalla,0.76812859747496,0.7055278249867304,0.845043149653967,1.144085246306432,1.1190510785893857,1.17091167025211
2,CB-1H-MFN,Weeplace,0.5630818278697445,0.5393308455034007,0.5877192992573221,1.3218400643025803,1.2941965243721587,1.3518231293274736
2,SW-24H-MFN,BrightKite,0.634589419224194,0.5640877612550294,0.7018624475121039,1.5994898062083176,1.4647649872914215,1.7728865409093069
2,SW-24H-MFN,Gowalla,0.7218763776907586,0.671368477459315,0.7745322655157408,1.1555096300364414,1.1315365764098844,1.18005069763914
2,SW-24H-MFN,Weeplace,0.5403161823471411,0.5153055917322904,0.5648060713035007,1.33582432120869,1.3074572423291992,1.3657145278242417
2,TFN,BrightKite,0.684640298925108,0.6311269776947044,0.7373586400510512,1.6667420299907674,1.5010999837036152,1.8673393328490728
2,TFN,Gowalla,0.789928130105951,0.7410893884879591,0.8392694670059958,1.1290048530045256,1.1056783678118327,1.1530429708851133
2,TFN,Weeplace,0.5637776684001106,0.5402531414629038,0.5874627648129849,1.3174659576906955,1.2919062595310575,1.3451499045809794
3,CB-1D-MFN,BrightKite,0.6981670823131962,0.6410268343400325,0.7547951979741471,1.51805540442331,1.4079241979726802,1.6552797137181456
3,CB-1D-MFN,Gowalla,0.8025605841646292,0.7581563357309029,0.8493455924530208,1.117113202809022,1.0946166205189676,1.1401513386625637
3,CB-1D-MFN,Weeplace,0.6355279947071831,0.6120932786694091,0.6589463575368345,1.2766551758524574,1.2514661606837525,1.3042724771435066
3,CB-1H-MFN,BrightKite,0.7266482099256195,0.6744699091676188,0.7788509388530066,1.4827396460948923,1.3606510358843125,1.6633541115200596
3,CB-1H-MFN,Gowalla,0.8366726206446004,0.7740381249005917,0.9101012969604431,1.1137555172027473,1.0887306890349049,1.1399431870238836
3,CB-1H-MFN,Weeplace,0.6442500193163483,0.6207460787198255,0.6674416889308893,1.2720960127296692,1.2466297096718402,1.299708331813198
3,SW-24H-MFN,BrightKite,0.6962893048738883,0.6366296649756398,0.7544975418638802,1.4828429602216453,1.3879087599914277,1.599008667150969
3,SW-24H-MFN,Gowalla,0.7954119651620127,0.7448502926580547,0.8467525601420862,1.1226042375467007,1.0989626385955653,1.1475153755028853
