included,category,dataset,mean,lower,upper,LR
1,CB-1D-MFN,BrightKite,0.10545760037514719,0.07834741455610016,0.1372848362490113,USLR
1,CB-1D-MFN,Gowalla,0.1969227160726255,0.17635678569414884,0.21859949503103254,USLR
1,CB-1D-MFN,Weeplace,0.167739378472761,0.1544146226835163,0.18151839211602247,USLR
1,CB-1H-MFN,BrightKite,0.1192989125465226,0.08984921525394492,0.1539604567660435,USLR
1,CB-1H-MFN,Gowalla,0.19077754850525316,0.16915713912832908,0.21302801281378375,USLR
1,CB-1H-MFN,Weeplace,0.1639870304519068,0.15043768627006215,0.17802094504184104,USLR
1,SW-24H-MFN,BrightKite,0.09176870459760866,0.06564959330359486,0.12402624629964219,USLR
1,SW-24H-MFN,Gowalla,0.18895565318116034,0.1687161095408997,0.21094289038352923,USLR
1,SW-24H-MFN,Weeplace,0.163094423480475,0.1495782844809984,0.17714376688904637,USLR
1,TFN,BrightKite,0.1257792374277834,0.09627955687887058,0.15913668727595545,USLR
1,TFN,Gowalla,0.1866632645787696,0.16471567853690197,0.20949201569731052,USLR
1,TFN,Weeplace,0.16655439282145332,0.15299039500180955,0.18056319835648765,USLR
2,CB-1D-MFN,BrightKite,0.14631033256773734,0.11713208845277685,0.17873723434006786,USLR
2,CB-1D-MFN,Gowalla,0.26257983110290595,0.24011396693521272,0.28609084126965056,USLR
2,CB-1D-MFN,Weeplace,0.2418094886051274,0.2263732625645496,0.2574441003295506,USLR
2,CB-1H-MFN,BrightKite,0.16857876958000895,0.1363838717810071,0.20416881669982206,USLR
2,CB-1H-MFN,Gowalla,0.25690640140878535,0.23358992898109462,0.28155501764167623,USLR
2,CB-1H-MFN,Weeplace,0.23325686959075964,0.21747175610083797,0.24933577142810115,USLR
2,SW-24H-MFN,BrightKite,0.13453951083217527,0.10561204284761669,0.16719934450406662,USLR
2,SW-24H-MFN,Gowalla,0.2528725364665398,0.23008429610818787,0.27606102004016886,USLR
2,SW-24H-MFN,Weeplace,0.2314103981669415,0.21590138108613555,0.24717525805771545,USLR
2,TFN,BrightKite,0.17870920769328094,0.14568157320138345,0.21524612227240453,USLR
2,TFN,Gowalla,0.2529699316827258,0.22876702094265108,0.2781470625884496,USLR
2,TFN,Weeplace,0.2363305850294575,0.2214550835437521,0.2519849393860511,USLR
3,CB-1D-MFN,BrightKite,0.1692987414695672,0.1381081073236011,0.20341976196018313,USLR
3,CB-1D-MFN,Gowalla,0.3041964255548389,0.28012749415845933,0.3284933687623228,USLR
3,CB-1D-MFN,Weeplace,0.2857508971878168,0.26946472962823537,0.3019011396650916,USLR
3,CB-1H-MFN,BrightKite,0.1940871962531288,0.16148058942627444,0.22997456054098098,USLR
3,CB-1H-MFN,Gowalla,0.2932612754421694,0.2682144000175658,0.31914698438621353,USLR
3,CB-1H-MFN,Weeplace,0.27734953357007014,0.2612573831037208,0.2939589963192777,USLR
3,SW-24H-MFN,BrightKite,0.1672622690165504,0.13487909938667733,0.2029663218535244,USLR
3,SW-24H-MFN,Gowalla,0.29284105058762083,0.26892451661446054,0.31729133000327514,USLR
3,SW-24H-MFN,Weeplace,0.2735481483881575,0.25700084423842373,0.2902172637189304,USLR
3,TFN,BrightKite,0.20716616187081935,0.17354000063417668,0.24352240485348006,USLR
3,TFN,Gowalla,0.289424629875958,0.2644531051941617,0.31492452462552234,USLR
3,TFN,Weeplace,0.281845467498135,0.26605155954132037,0.2980189413304034,USLR
4,CB-1D-MFN,BrightKite,0.19475657815749378,0.1624947337084111,0.23180343458345953,USLR
4,CB-1D-MFN,Gowalla,0.3302494791122902,0.30635371297498576,0.3547698673145053,USLR
4,CB-1D-MFN,Weeplace,0.32063250661820686,0.3042120446850216,0.3376957862222717,USLR
4,CB-1H-MFN,BrightKite,0.21359362474515564,0.18021954675274934,0.24911950928095256,USLR
4,CB-1H-MFN,Gowalla,0.3211521073945528,0.29537290738017924,0.34789791220042493,USLR
4,CB-1H-MFN,Weeplace,0.30892555410352324,0.29227768746298194,0.3262634869254395,USLR
4,SW-24H-MFN,BrightKite,0.1864208301462818,0.15248554226355857,0.22397683080308792,USLR
4,SW-24H-MFN,Gowalla,0.31957525188173797,0.29537992924604506,0.34450838881295265,USLR
4,SW-24H-MFN,Weeplace,0.30567757134324325,0.2890899956730393,0.3227497621022714,USLR
4,TFN,BrightKite,0.2266557579708063,0.19281711537426532,0.2631770836570686,USLR
4,TFN,Gowalla,0.3169414382634866,0.29175194789048037,0.34237082693035475,USLR
4,TFN,Weeplace,0.31371859730784607,0.29733763675286107,0.33043405519270036,USLR
5,CB-1D-MFN,BrightKite,0.2109101132650472,0.17790865059568506,0.246399258301047,USLR
5,CB-1D-MFN,Gowalla,0.34938211275015485,0.3246031151382282,0.37467813960021357,USLR
5,CB-1D-MFN,Weeplace,0.3453018140448778,0.3279693259304495,0.3625887759423903,USLR
5,CB-1H-MFN,BrightKite,0.2322969471948858,0.19738282617342023,0.2692766719029131,USLR
5,CB-1H-MFN,Gowalla,0.340446346950019,0.3136018182947833,0.36617520365767897,USLR
5,CB-1H-MFN,Weeplace,0.33537940074785166,0.3177282068283544,0.35360619093410367,USLR
5,SW-24H-MFN,BrightKite,0.20159957777235432,0.1674454997097688,0.23760083838707924,USLR
5,SW-24H-MFN,Gowalla,0.34023086325725693,0.31572511898453554,0.3657577779205705,USLR
5,SW-24H-MFN,Weeplace,0.33407170293049393,0.31663860177416464,0.35189662279006306,USLR
5,TFN,BrightKite,0.23827103725875606,0.2052233887440675,0.2744511915843005,USLR
5,TFN,Gowalla,0.3373360585465064,0.31044969503414394,0.36395720548160887,USLR
5,TFN,Weeplace,0.3396276285941663,0.3224037814359102,0.35708304025878573,USLR
6,CB-1D-MFN,BrightKite,0.22147524695066104,0.1886162768532666,0.25767635467803796,USLR
6,CB-1D-MFN,Gowalla,0.365844402646914,0.3403643026427513,0.3911140723264351,USLR
6,CB-1D-MFN,Weeplace,0.36709225499901793,0.3506027979816695,0.3844241714958147,USLR
6,CB-1H-MFN,BrightKite,0.24423400428243286,0.20937807161806327,0.280795033494696,USLR
6,CB-1H-MFN,Gowalla,0.35796698633013396,0.3310187805759084,0.3849408807060375,USLR
6,CB-1H-MFN,Weeplace,0.3556238345846386,0.33806552747141305,0.37378677550228884,USLR
6,SW-24H-MFN,BrightKite,0.2157157866850921,0.18087553451399588,0.2522743095020885,USLR
6,SW-24H-MFN,Gowalla,0.356048466923852,0.33033003585792614,0.38222585554722793,USLR
6,SW-24H-MFN,Weeplace,0.35558810117743106,0.33791696557045425,0.3732077539035185,USLR
6,TFN,BrightKite,0.25596947293921246,0.2213253411871536,0.29240962129411413,USLR
6,TFN,Gowalla,0.35333514854318593,0.3264178982445004,0.38078626369608864,USLR
6,TFN,Weeplace,0.3593525474772859,0.3422322943066137,0.37671336996589055,USLR
7,CB-1D-MFN,BrightKite,0.2335915909707243,0.199372378094327,0.2700910764766519,USLR
7,CB-1D-MFN,Gowalla,0.383073603662952,0.35669686562221475,0.40925267948741734,USLR
7,CB-1D-MFN,Weeplace,0.3837750173536614,0.3667114593134036,0.4007605221687375,USLR
7,CB-1H-MFN,BrightKite,0.2547930865689643,0.21931947752311343,0.29291364063194597,USLR
7,CB-1H-MFN,Gowalla,0.36870271287693435,0.34211577462983805,0.39587035849260443,USLR
7,CB-1H-MFN,Weeplace,0.37073258148175603,0.3526420501358113,0.38870037875794494,USLR
7,SW-24H-MFN,BrightKite,0.22892557787745244,0.19295685679300692,0.2679401522642096,USLR
7,SW-24H-MFN,Gowalla,0.3734115014700737,0.34673541671560426,0.40055139619101043,USLR
7,SW-24H-MFN,Weeplace,0.3733218144601572,0.3556793095834112,0.3911059434413607,USLR
7,TFN,BrightKite,0.2650850806967214,0.22965652370098438,0.3009692858016857,USLR
7,TFN,Gowalla,0.36830496220803727,0.3420755090733143,0.39522456718788296,USLR
7,TFN,Weeplace,0.3759036483398987,0.358039535453125,0.3935920529938855,USLR
8,CB-1D-MFN,BrightKite,0.24264138755575043,0.20785451929741905,0.27999033452507693,USLR
8,CB-1D-MFN,Gowalla,0.3952326971491468,0.36804394459495243,0.4221641422893052,USLR
8,CB-1D-MFN,Weeplace,0.39969090202375435,0.38271267545963555,0.4169736942761053,USLR
8,CB-1H-MFN,BrightKite,0.2662056691583891,0.23004450227139345,0.3049132187950284,USLR
8,CB-1H-MFN,Gowalla,0.3791366554631329,0.3513738597469488,0.4064803352857855,USLR
8,CB-1H-MFN,Weeplace,0.3846216413920605,0.36604339337751807,0.4031127209400191,USLR
8,SW-24H-MFN,BrightKite,0.2437644248558114,0.20890615404260857,0.2822866847921435,USLR
8,SW-24H-MFN,Gowalla,0.3864220698111232,0.3594469189778222,0.4139134865020486,USLR
8,SW-24H-MFN,Weeplace,0.3880247440840549,0.37035810874946357,0.4060221889771375,USLR
8,TFN,BrightKite,0.2740359251467801,0.2381241209720912,0.3108490506830418,USLR
8,TFN,Gowalla,0.3789618526829619,0.35145088216932985,0.4061580712705037,USLR
8,TFN,Weeplace,0.389883540536197,0.3724666442423815,0.40772765852188747,USLR
9,CB-1D-MFN,BrightKite,0.2579271118236933,0.2210340031732776,0.2967678027017742,USLR
9,CB-1D-MFN,Gowalla,0.40510613691203023,0.378040963871283,0.43191741435112624,USLR
9,CB-1D-MFN,Weeplace,0.41347214880591954,0.3963192533613342,0.4307220191522556,USLR
9,CB-1H-MFN,BrightKite,0.27516677826282376,0.23732717028616895,0.3134809970498776,USLR
9,CB-1H-MFN,Gowalla,0.3889147500504032,0.3611589877469675,0.41695807561788095,USLR
9,CB-1H-MFN,Weeplace,0.396792776829071,0.37848473698719387,0.41468556583510624,USLR
9,SW-24H-MFN,BrightKite,0.2511810251555193,0.21533810381196075,0.28863274870532063,USLR
9,SW-24H-MFN,Gowalla,0.3964500930836033,0.3689727970412453,0.424350248294742,USLR
9,SW-24H-MFN,Weeplace,0.40120190422619756,0.3837969473527391,0.41920323424801925,USLR
9,TFN,BrightKite,0.2806320868576165,0.24567687664271393,0.3179288534103498,USLR
9,TFN,Gowalla,0.38993001633063434,0.36282758792988007,0.4167831817442185,USLR
9,TFN,Weeplace,0.4011182129070248,0.38328250418560256,0.4189385218280503,USLR
10,CB-1D-MFN,BrightKite,0.2669067404610583,0.2298547410003662,0.30561988322195904,USLR
10,CB-1D-MFN,Gowalla,0.4152140552289248,0.38812124736643333,0.44207030798383895,USLR
10,CB-1D-MFN,Weeplace,0.4246215839140165,0.40726178910766725,0.44180473135849513,USLR
10,CB-1H-MFN,BrightKite,0.2819343929992792,0.24511267404810824,0.32125847971008914,USLR
10,CB-1H-MFN,Gowalla,0.3979473771485172,0.37093506090433276,0.4253695640153682,USLR
10,CB-1H-MFN,Weeplace,0.4085469129498363,0.3899174940782385,0.4266749421144329,USLR
10,SW-24H-MFN,BrightKite,0.25942724545735407,0.22312633393839826,0.29783100158910447,USLR
