included,category,dataset,mean,lower,upper
1,CB-1H-MFN,BrightKite,0.48371182243835775,0.46247469933861496,0.5054421044480221
1,CB-1H-MFN,Gowalla,0.4863831437988446,0.46762680101827875,0.5064780219424937
1,CB-1H-MFN,Weeplace,0.3131924502196308,0.30583174270762675,0.32051403524639677
1,TFN,BrightKite,0.5755680527340838,0.5607410515913008,0.5901544669912133
1,TFN,Gowalla,0.7253761875568662,0.7017409154722952,0.7497662079696052
1,TFN,Weeplace,0.4806715858426235,0.4735777541825811,0.4877606698784973
2,CB-1H-MFN,BrightKite,0.5943716698211277,0.5852717720255726,0.6034132196295287
2,CB-1H-MFN,Gowalla,0.6009496342936239,0.5934453222441973,0.6085069535535561
2,CB-1H-MFN,Weeplace,0.4513180741377874,0.4480766781374103,0.45452377277023115
2,TFN,BrightKite,0.6607615551021527,0.6541174694934387,0.6674172561887612
2,TFN,Gowalla,0.8118494985984942,0.8007950117153129,0.8229279465164051
2,TFN,Weeplace,0.5577196665651744,0.5546127162727467,0.560825827994828
3,CB-1H-MFN,BrightKite,0.6543883585745502,0.6491298557350136,0.6594340935268903
3,CB-1H-MFN,Gowalla,0.6874657646065438,0.6830557597574038,0.6918931736415912
3,CB-1H-MFN,Weeplace,0.5471269795302913,0.5451718162774457,0.5491026949406835
3,TFN,BrightKite,0.7087159992073541,0.7046759588571991,0.7127472967438067
3,TFN,Gowalla,0.8765181159059825,0.869956953691489,0.8832538613729489
3,TFN,Weeplace,0.6232415523521865,0.621305317380078,0.6251337120653788
4,CB-1H-MFN,BrightKite,0.6955217413981616,0.6917128172822249,0.6990964363110949
4,CB-1H-MFN,Gowalla,0.756222479963491,0.7529163722707047,0.7594698357516345
4,CB-1H-MFN,Weeplace,0.6184523082794137,0.616953473557547,0.6199986814273574
4,TFN,BrightKite,0.7421996063719258,0.7392382987088388,0.745179549654649
4,TFN,Gowalla,0.9281097372690515,0.9231987074729161,0.9329836078098721
4,TFN,Weeplace,0.677079406805738,0.6756443014493525,0.6785024242726998
5,CB-1H-MFN,BrightKite,0.7267503171799616,0.7236375562051539,0.7299043152913443
5,CB-1H-MFN,Gowalla,0.8127887683719945,0.8097868082661677,0.8157874681212934
5,CB-1H-MFN,Weeplace,0.6742976496260069,0.6728698378199376,0.6757240964789106
5,TFN,BrightKite,0.7679563205401302,0.7653905194421933,0.7705564137912944
5,TFN,Gowalla,0.9708951956804818,0.966457298977399,0.9752670244652268
5,TFN,Weeplace,0.7219421557354601,0.7206481992252023,0.7232925965159851
6,CB-1H-MFN,BrightKite,0.7518104821224437,0.7484434585841443,0.7551319253310665
6,CB-1H-MFN,Gowalla,0.8604964927836549,0.8571912907517525,0.8637742849643485
6,CB-1H-MFN,Weeplace,0.7196646507845229,0.7181196015528769,0.7212259520998788
6,TFN,BrightKite,0.7888495651125687,0.7860995194265935,0.7916036714147086
6,TFN,Gowalla,1.007373679006877,1.0025348489629715,1.0123373962582396
6,TFN,Weeplace,0.7599935561156751,0.7585088131751007,0.7614715712577654
7,CB-1H-MFN,BrightKite,0.7726214770300555,0.7684257872322825,0.7767946054796858
7,CB-1H-MFN,Gowalla,0.9014961195273419,0.8969693302910055,0.9060262558941043
7,CB-1H-MFN,Weeplace,0.757556065664954,0.755487210845084,0.7596698223116373
7,TFN,BrightKite,0.8063803089127016,0.8028109849722219,0.8098925548281405
7,TFN,Gowalla,1.0390992223456321,1.032735338950619,1.0456705129379174
7,TFN,Weeplace,0.7927715517016823,0.7908105085489612,0.7947160306110215
8,CB-1H-MFN,BrightKite,0.7902989404732632,0.7836855441236045,0.7968779944580934
8,CB-1H-MFN,Gowalla,0.9372613933252154,0.9298907061393777,0.9446795734049516
8,CB-1H-MFN,Weeplace,0.7898837149004175,0.7864608124493496,0.7932968882630339
8,TFN,BrightKite,0.821424187591826,0.8156562134568484,0.8271350837294357
8,TFN,Gowalla,1.0670948083667309,1.0570649745794294,1.0777538243238378
8,TFN,Weeplace,0.8213683976873755,0.8181362909313861,0.8245266188016979
9,CB-1H-MFN,BrightKite,0.8055548987816389,0.7919557295542717,0.8188750848319476
9,CB-1H-MFN,Gowalla,0.9688394711110656,0.9529743262503941,0.9850776453261525
9,CB-1H-MFN,Weeplace,0.8179223509922247,0.810431059763222,0.8253825979516971
9,TFN,BrightKite,0.8345293119580797,0.8223809576339267,0.8463472720852884
9,TFN,Gowalla,1.092068764358831,1.070650423198251,1.1152999797786287
9,TFN,Weeplace,0.8465781921148303,0.8396446132158443,0.8534458447973569
10,CB-1H-MFN,BrightKite,0.8188730642298077,0.7745171960361115,0.8598727404597877
10,CB-1H-MFN,Gowalla,0.9969950088578251,0.947622295544244,1.050021932533125
10,CB-1H-MFN,Weeplace,0.8425554391709897,0.819290905021429,0.8655633678229472
10,TFN,BrightKite,0.8460567808933657,0.8076245509157871,0.8818890951156552
10,TFN,Gowalla,1.1145357806755603,1.050905717022899,1.1924708678380946
10,TFN,Weeplace,0.8689920681307909,0.8473989898457797,0.8911935296506833
