included,dataset,mean,lower,upper
1,BrightKite,0.6753981569007586,0.6319821112802579,0.7175989185273782
1,Gowalla,0.5678481154143579,0.5195663771516917,0.6218001804636726
1,Weeplace,0.3905995970955984,0.37389219586154476,0.4066966323374184
2,BrightKite,0.7496665024981968,0.7115533814296424,0.7870452208623636
2,Gowalla,0.6733115786845396,0.6375865632622153,0.7107435088782452
2,Weeplace,0.5143735621169532,0.4996675398949334,0.5295598919149836
3,BrightKite,0.7855254136126903,0.7505893206517746,0.8191411448677197
3,Gowalla,0.7428522427493229,0.7062962608461032,0.779805969458643
3,Weeplace,0.5798730776046727,0.5647507360712698,0.5948092413646676
4,BrightKite,0.8054061595018147,0.7740334224515026,0.8366071337265678
4,Gowalla,0.7860329654174724,0.7486096169715678,0.8230961779096224
4,Weeplace,0.6264641794141788,0.6111780652100445,0.6414829194397214
5,BrightKite,0.8181957983491623,0.7881522881139473,0.8474770314665258
5,Gowalla,0.8251577351639342,0.7871896579195263,0.8637580096914488
5,Weeplace,0.6622708635799925,0.6474452938436867,0.676881072442227
6,BrightKite,0.8297336285552847,0.7988002504293414,0.859063122283245
6,Gowalla,0.8598278025599785,0.8220074163489777,0.8992524012158238
6,Weeplace,0.6905289127390942,0.6756822690961878,0.7053272027691471
7,BrightKite,0.8375666612823071,0.8091178865844727,0.8666848668317336
7,Gowalla,0.8880445367292578,0.8492416776583148,0.9285645739194353
7,Weeplace,0.7133077319255898,0.6985454183227313,0.7282399432032989
8,BrightKite,0.8450476695048529,0.8167793177300862,0.8732563448193771
8,Gowalla,0.9113132879653264,0.871855988912459,0.9523414131834425
8,Weeplace,0.7323619923774486,0.7174125814540725,0.7474723246854653
9,BrightKite,0.851462780614125,0.8222964816479058,0.8783369501230468
9,Gowalla,0.929729272733653,0.8884543670279577,0.9716952974200067
9,Weeplace,0.7496244826646394,0.7347784008154553,0.7645559982571132
10,BrightKite,0.8566453437936877,0.8287543143832048,0.8836639953489916
10,Gowalla,0.9478205320009967,0.9073765082709712,0.989671218196379
10,Weeplace,0.7646488584698503,0.7492633788848887,0.7796766762886884
