included,category,dataset,mean,lower,upper
1,CB-1D-MFN,BrightKite,0.5714365153568284,0.4973045846108664,0.6437366950277568
1,CB-1D-MFN,Gowalla,0.5911344591665872,0.5345611295062562,0.651628504519864
1,CB-1D-MFN,Weeplace,0.3892579654602414,0.36215356346420435,0.41710010024555305
1,CB-1H-MFN,BrightKite,0.5752825053642828,0.5051909620335348,0.6439974326126395
1,CB-1H-MFN,Gowalla,0.6457826263096352,0.5744271325270596,0.727213183300919
1,CB-1H-MFN,Weeplace,0.40806770557945554,0.38063116261126945,0.43503659597774935
1,SW-24H-MFN,BrightKite,0.5527859729032912,0.47498853996021106,0.6302188078892208
1,SW-24H-MFN,Gowalla,0.6125155442360756,0.5541049277896329,0.6751077335267319
1,SW-24H-MFN,Weeplace,0.37341098454250066,0.3463633899750248,0.40069692639195686
1,TFN,BrightKite,0.769278038454673,0.7263357064281706,0.8111727727058683
1,TFN,Gowalla,0.9286315218540886,0.8600476573425676,1.009416028472519
1,TFN,Weeplace,0.7073909083565003,0.6905809532839777,0.7243907691381767
1,WT-MFN,BrightKite,0.4291820443148214,0.3661709380046131,0.4942212822542063
1,WT-MFN,Gowalla,0.45135365701434854,0.39475126590391707,0.5140895646417436
1,WT-MFN,Weeplace,0.3328463614711516,0.3123955763030162,0.3531496939323808
2,CB-1D-MFN,BrightKite,0.6614129974937485,0.6013391418888385,0.7208240664051913
2,CB-1D-MFN,Gowalla,0.7198043338167738,0.6734861241011086,0.7684883526479307
2,CB-1D-MFN,Weeplace,0.554346399694185,0.5305550368529286,0.5781020467484923
2,CB-1H-MFN,BrightKite,0.6669334136420739,0.6068449405784285,0.7265374005275828
2,CB-1H-MFN,Gowalla,0.7311194776527857,0.6840016471616615,0.779027953884305
2,CB-1H-MFN,Weeplace,0.5548706818572882,0.5317887911076554,0.5783752465611177
2,SW-24H-MFN,BrightKite,0.6357309316611951,0.5673896150352836,0.7028712438400573
2,SW-24H-MFN,Gowalla,0.7126831870311202,0.6648207038099044,0.7621211030243937
2,SW-24H-MFN,Weeplace,0.5401581027139888,0.5146801683105336,0.565213889961032
2,TFN,BrightKite,0.7952634293579338,0.7539031853423596,0.8345916412335564
2,TFN,Gowalla,0.989335781866521,0.9231178269012174,1.067350446078675
2,TFN,Weeplace,0.7403234701640466,0.7222460435465625,0.7585007917504578
2,WT-MFN,BrightKite,0.566254950818795,0.5079185007710267,0.6266286712139129
2,WT-MFN,Gowalla,0.5611430061142891,0.5102176518966439,0.6158837219008422
2,WT-MFN,Weeplace,0.3659336665441231,0.34902907003811456,0.3831793294791362
3,CB-1D-MFN,BrightKite,0.6965620978909042,0.6385471309628065,0.7540000418078919
3,CB-1D-MFN,Gowalla,0.7952502610906979,0.7503692878712285,0.8417672499054505
3,CB-1D-MFN,Weeplace,0.6368002130705237,0.6135428295326127,0.6601923234533016
3,CB-1H-MFN,BrightKite,0.720672680876982,0.6685425801128148,0.7736155614901399
3,CB-1H-MFN,Gowalla,0.8077941045504203,0.7607266040820692,0.8537384350425632
3,CB-1H-MFN,Weeplace,0.6405705157395376,0.6173421839994558,0.6641163857479502
3,SW-24H-MFN,BrightKite,0.6955280392620867,0.6352254880589048,0.754931922358739
3,SW-24H-MFN,Gowalla,0.7917934300493461,0.7423658186189085,0.8413241490309809
3,SW-24H-MFN,Weeplace,0.6206541677544302,0.5959790484847511,0.6450930165878492
3,TFN,BrightKite,0.807579397029285,0.7672832039556151,0.8457589143652327
3,TFN,Gowalla,1.0276457646585548,0.9598347212741437,1.109269164661343
3,TFN,Weeplace,0.7616487732332278,0.7415367169252745,0.7811074415235184
