Included,userid,userid_y,category,USLR,SLR
1,0.0,35.0,24H-MFN,0.10289389067524116,0.17841726618705037
2,0.0,2.0,24H-MFN,0.2090032154340836,0.22589928057553957
3,0.0,30.0,24H-MFN,0.15594855305466238,0.26666666666666666
4,0.0,1087.0,24H-MFN,0.04662379421221865,0.08633093525179857
5,0.0,40.0,24H-MFN,0.003215434083601286,0.11462829736211032
6,0.0,29.0,24H-MFN,0.04019292604501608,0.12326139088729017
7,0.0,39235.0,24H-MFN,0.003215434083601286,0.06091127098321343
8,0.0,42.0,24H-MFN,0.05144694533762058,0.03597122302158273
9,0.0,61.0,24H-MFN,0.04180064308681672,0.04268585131894485
10,0.0,900.0,24H-MFN,0.012861736334405145,0.06906474820143885
1,2.0,947.0,24H-MFN,0.004048582995951417,0.11815150071462602
2,2.0,969.0,24H-MFN,0.030364372469635626,0.12720343020485947
3,2.0,39235.0,24H-MFN,0.006072874493927126,0.11910433539780849
4,2.0,900.0,24H-MFN,0.008097165991902834,0.11958075273939972
5,2.0,41.0,24H-MFN,0.024291497975708502,0.09575988565983802
6,2.0,987.0,24H-MFN,0.004048582995951417,0.11815150071462602
7,2.0,882.0,24H-MFN,0.006072874493927126,0.11767508337303478
8,2.0,66.0,24H-MFN,0.030364372469635626,0.1462601238685088
9,2.0,86.0,24H-MFN,0.012145748987854251,0.09004287756074321
10,2.0,19552.0,24H-MFN,0.0020242914979757085,0.07527393997141496
1,3.0,123.0,24H-MFN,0.033816425120772944,0.08715083798882682
2,3.0,1.0,24H-MFN,0.021739130434782608,0.08491620111731843
3,3.0,11.0,24H-MFN,0.036231884057971016,0.056424581005586595
4,3.0,7.0,24H-MFN,0.03260869565217391,0.09497206703910614
5,3.0,46.0,24H-MFN,0.016908212560386472,0.044134078212290505
6,3.0,23.0,24H-MFN,0.049516908212560384,0.08491620111731843
7,3.0,4.0,24H-MFN,0.013285024154589372,0.043016759776536316
8,3.0,124.0,24H-MFN,0.022946859903381644,0.057541899441340784
9,3.0,40.0,24H-MFN,0.0012077294685990338,0.026256983240223464
10,3.0,42.0,24H-MFN,0.016908212560386472,0.04860335195530726
1,7.0,1.0,24H-MFN,0.03763440860215054,0.3228004956629492
2,7.0,11.0,24H-MFN,0.08064516129032258,0.16852540272614622
3,7.0,42.0,24H-MFN,0.08422939068100359,0.1536555142503098
4,7.0,35.0,24H-MFN,0.03942652329749104,0.03469640644361834
5,7.0,124.0,24H-MFN,0.06989247311827956,0.1970260223048327
6,7.0,5.0,24H-MFN,0.023297491039426525,0.09541511771995044
7,7.0,23.0,24H-MFN,0.09498207885304659,0.18587360594795538
8,7.0,0.0,24H-MFN,0.06989247311827956,0.061957868649318466
9,7.0,123.0,24H-MFN,0.06272401433691756,0.0762081784386617
10,7.0,10145.0,24H-MFN,0.0017921146953405018,0.017967781908302356
1,11.0,7.0,24H-MFN,0.10204081632653061,0.12970910824988077
2,11.0,1.0,24H-MFN,0.061224489795918366,0.0910824988078207
3,11.0,42.0,24H-MFN,0.06802721088435375,0.08631378159275155
4,11.0,124.0,24H-MFN,0.08843537414965986,0.09251311397234144
5,11.0,35.0,24H-MFN,0.031746031746031744,0.023366714353838816
6,11.0,40.0,24H-MFN,0.011337868480725623,0.039103481163567
7,11.0,23.0,24H-MFN,0.09070294784580499,0.07773009060562709
8,11.0,30.0,24H-MFN,0.06802721088435375,0.055793991416309016
9,11.0,123.0,24H-MFN,0.06349206349206349,0.044349070100143065
10,11.0,4.0,24H-MFN,0.024943310657596373,0.026227944682880304
1,12.0,1087.0,24H-MFN,0.02823529411764706,0.1396011396011396
2,12.0,30.0,24H-MFN,0.17647058823529413,0.1794871794871795
3,12.0,1083.0,24H-MFN,0.023529411764705882,0.13846153846153847
4,12.0,39235.0,24H-MFN,0.007058823529411765,0.12991452991452992
5,12.0,900.0,24H-MFN,0.05647058823529412,0.1623931623931624
6,12.0,41.0,24H-MFN,0.02588235294117647,0.11737891737891738
7,12.0,45.0,24H-MFN,0.07764705882352942,0.1475783475783476
8,12.0,947.0,24H-MFN,0.002352941176470588,0.12877492877492877
9,12.0,987.0,24H-MFN,0.009411764705882352,0.13048433048433047
10,12.0,61.0,24H-MFN,0.06352941176470588,0.06153846153846154
1,13.0,1087.0,24H-MFN,0.0391566265060241,0.12475442043222004
