Rank,interval,lower,upper,mean,type
1,1.0,0.6299230112833688,0.651170962436606,0.6405904842642131,Pi
1,2.0,0.6300407103639912,0.6513393544880991,0.6407139046334149,Pi
1,3.0,0.6303694488462072,0.651535600641293,0.6409710910971785,Pi
1,4.0,0.6291474103651298,0.6502505843201787,0.6399066722071312,Pi
1,5.0,0.631692069935096,0.652388306748934,0.6422336183896331,Pi
1,6.0,0.6335510476888805,0.6544035763763872,0.643866436213556,Pi
1,7.0,0.6314814737008443,0.6526065549254703,0.6420867427419836,Pi
1,8.0,0.6348843539482849,0.6557502919619064,0.6452562417955952,Pi
1,9.0,0.6313308538172901,0.6525751151472226,0.6419440512473303,Pi
1,10.0,0.6352374619177389,0.6562509086761998,0.645612081066289,Pi
1,11.0,0.6319944575659228,0.6533352681787773,0.6427497622711095,Pi
1,12.0,0.6317274698151539,0.6525384239454226,0.6421595538856286,Pi
1,13.0,0.6324520456140553,0.6534089341972255,0.6429997371390105,Pi
1,14.0,0.6312076810395713,0.6522395163924082,0.641970589994003,Pi
1,15.0,0.6322424640389985,0.6531315255287647,0.6427620096721143,Pi
1,16.0,0.6301673240032439,0.6515810935642022,0.6408303447886402,Pi
1,17.0,0.6309210691992038,0.651770070390606,0.641276144864468,Pi
1,18.0,0.6275436833584016,0.6489446247328274,0.6382113917388805,Pi
1,19.0,0.6242310774258838,0.6455328236687664,0.6349523766422007,Pi
1,20.0,0.6200551684967611,0.641463162952402,0.6307534812793617,Pi
1,21.0,0.614943624723787,0.6367959042690439,0.6258673010742417,Pi
1,22.0,0.6113972534477008,0.6327355820646514,0.6221791189367051,Pi
1,23.0,0.6027028351807873,0.6244985852695963,0.6136445205331783,Pi
1,24.0,0.6005983250500925,0.6223155649701954,0.6114737018697961,Pi
2,1.0,0.7003391572520148,0.7169278775809812,0.7087026870558782,Pi
2,2.0,0.7013924765327176,0.7181610070511344,0.709768616775596,Pi
2,3.0,0.7010809932681611,0.7179449181793711,0.7095937150976976,Pi
2,4.0,0.7013836012295284,0.7181536321825429,0.7098029876341566,Pi
2,5.0,0.7032889251551264,0.7198046973847988,0.7114603581927966,Pi
2,6.0,0.701196633553071,0.7183687631194016,0.7099891323907414,Pi
2,7.0,0.7048152528639908,0.7214167679793004,0.7130985306912337,Pi
2,8.0,0.7047776083565915,0.7210419885692629,0.7129319270748314,Pi
2,9.0,0.7008254066011345,0.7179910923443706,0.7096249927207315,Pi
2,10.0,0.7013694658539956,0.718127216580189,0.7097185617128321,Pi
2,11.0,0.7030556283886692,0.7195319181514545,0.7113382530973461,Pi
2,12.0,0.7021100164852027,0.7187597722837696,0.7103068499967327,Pi
2,13.0,0.7010750238434612,0.718088531914103,0.7097169682793746,Pi
2,14.0,0.702483762880284,0.7190781373302153,0.7108699448602844,Pi
2,15.0,0.7015572852936511,0.7183189476719325,0.709889732193111,Pi
2,16.0,0.700352297125146,0.7170912192018579,0.7087258651162167,Pi
2,17.0,0.7020282072639015,0.7184641166659415,0.7104212392709284,Pi
2,18.0,0.6997160782284458,0.7166802020701665,0.7083616191478203,Pi
2,19.0,0.6997263801194851,0.7165469954014624,0.7082179236260546,Pi
2,20.0,0.6965563955406412,0.7136931788462152,0.7051632239072909,Pi
2,21.0,0.694297274652133,0.7112950272936479,0.702745957309823,Pi
2,22.0,0.691838427791994,0.7089163705447095,0.7003449896462937,Pi
2,23.0,0.6878424648014534,0.7045399063463369,0.6962053894710865,Pi
2,24.0,0.6872529858693919,0.7044408608815337,0.6957544300308639,Pi
3,1.0,0.7314528179128008,0.7462787383396177,0.738985834837416,Pi
3,2.0,0.7309381996833343,0.7456311455389677,0.7384119915653826,Pi
3,3.0,0.7294443062070848,0.7445159892144249,0.7370930403748117,Pi
3,4.0,0.7316395080787246,0.7466046421253093,0.7390197277260783,Pi
3,5.0,0.7313203378061857,0.746497399059145,0.7388385158065236,Pi
3,6.0,0.7321541730739085,0.7471107077359068,0.7397038377706869,Pi
3,7.0,0.7322918507143804,0.7471185919824306,0.7397034850075598,Pi
3,8.0,0.7317856685416771,0.7467563390536313,0.7392811780393008,Pi
3,9.0,0.7315592721620933,0.7466696835773504,0.7391518362803553,Pi
3,10.0,0.7302305844937365,0.7451579505496669,0.7379008593422434,Pi
3,11.0,0.7334852413349457,0.7481397668310613,0.7407751989472248,Pi
3,12.0,0.731582306677225,0.7465101479647677,0.7390997341182333,Pi
3,13.0,0.7313935202813783,0.7462694765091127,0.7388101092120446,Pi
3,14.0,0.731733950479637,0.7465596710733701,0.7391658254787532,Pi
3,15.0,0.7307554297863514,0.7457919372271651,0.7382432000804005,Pi
3,16.0,0.7301489573641406,0.7451843081246716,0.7376441216355424,Pi
3,17.0,0.7299163217986286,0.7452271029483836,0.7375985388378841,Pi
3,18.0,0.7303162434068524,0.7449916466780211,0.7378248983880701,Pi
