Rank,category,Total Points,Points with non-zero CCP,pct
1,non-social co-location network,1103,933,0.15412511332728918
1,social network,1103,985,0.10698096101541255
2,non-social co-location network,1103,1018,0.07706255666364459
2,social network,1103,1034,0.06255666364460566
3,non-social co-location network,1103,1056,0.04261106074342702
3,social network,1103,1043,0.054397098821396206
4,non-social co-location network,1103,1069,0.030825022665457835
4,social network,1103,1051,0.04714415231187674
5,non-social co-location network,1103,1077,0.02357207615593837
5,social network,1103,1053,0.045330915684496875
6,non-social co-location network,1103,1082,0.01903898458748865
6,social network,1103,1056,0.04261106074342702
7,non-social co-location network,1103,1082,0.01903898458748865
7,social network,1103,1057,0.04170444242973703
8,non-social co-location network,1103,1083,0.018132366273798772
8,social network,1103,1059,0.039891205802357166
9,non-social co-location network,1103,1087,0.01450589301903904
9,social network,1103,1061,0.0380779691749773
10,non-social co-location network,1103,1087,0.01450589301903904
10,social network,1103,1061,0.0380779691749773
