Rank,trajectory,lower_Pi_alters,upper_Pi_alters,mean_Pi_alters,lower_Pi_ego_alters,upper_Pi_ego_alters,mean_Pi_ego_alters,lower_CCE_alters,upper_CCE_alters,mean_CCE_alters,lower_CCE_ego_alters,upper_CCE_ego_alters,mean_CCE_ego_alters,lower_Pi_alters_ratio,upper_Pi_alters_ratio,mean_Pi_alters_ratio,lower_Pi_ego_alters_ratio,upper_Pi_ego_alters_ratio,mean_Pi_ego_alters_ratio
1,Random Trajectory of Alter,0.5754521591217269,0.5796590059407041,0.5775936249280355,0.8186258107876484,0.8200663623703671,0.8193504643879457,3.0904139344137684,3.1174215132074723,3.1038239354883363,1.6164622849276424,1.6283507736824008,1.6222863024375789,0.694006002118192,0.6985765033581948,0.6963413442094452,1.0062459245084328,1.0065083546716358,1.0063774806552022
1,Real Trajectory of Alter,0.6216016427639176,0.6601133220066884,0.6408619925858035,0.8165457935277227,0.8303914684911466,0.8234759801850915,2.6249016676281762,2.881914922608115,2.7547688560952404,1.5333900222304817,1.6522751934706308,1.5923542979613614,0.7558229097252436,0.7946084272371363,0.7752180119782016,1.010426781649766,1.013077322109822,1.0117454942542956
2,Random Trajectory of Alter,0.6557355611896857,0.6591462757965321,0.6574302173688948,0.8232156407402677,0.8246217134225519,0.8239150114209021,2.674894784920882,2.698796813497494,2.6869039357125795,1.5835255853928556,1.5953933737956985,1.5895432787150414,0.7974590684644655,0.8008667068783096,0.7991853772983925,1.0120973172095549,1.012406125442932,1.0122505273590654
2,Real Trajectory of Alter,0.6940450611439046,0.7232067635716959,0.7084870624584254,0.8225409990340682,0.8361185023567502,0.8292943689440381,2.2635323271381735,2.4815625171585562,2.373079542720969,1.4920862730477704,1.6079207623494798,1.5499718708869108,0.849279935301491,0.8769512089759869,0.863232295277749,1.0176006161532491,1.0208847305902458,1.0192379394187212
3,Random Trajectory of Alter,0.6897599742014948,0.6927030160061954,0.6912208062847379,0.8264730563904777,0.8278448516882602,0.8271694893580332,2.481851257671318,2.5035365022332132,2.492540924231646,1.560455397936471,1.5721704166284896,1.5663380195532324,0.8411817387878143,0.8439809110872046,0.8426052945659117,1.0163605738170853,1.0166834528552873,1.0165223642563541
3,Real Trajectory of Alter,0.7253205239533951,0.7512539075672164,0.7384495665447812,0.8266671065809476,0.8400844286072392,0.8333532024218114,2.0876988449361926,2.284072562118129,2.1856724505334117,1.4634005347216625,1.5785423309791418,1.5202167845734245,0.8899163850129961,0.9129934649555527,0.9017742555133194,1.0227895462559387,1.0263483643849216,1.0245444839708717
4,Random Trajectory of Alter,0.7146398639566534,0.7172364679724367,0.715927907030546,0.8291661097794654,0.8305100859230107,0.8298417426868272,2.333835648235389,2.35376744399104,2.3438897698789085,1.5409652948849,1.5524852136963119,1.546851540493332,0.8730815930389295,0.8754723601474173,0.8742791479000697,1.0198558505735038,1.0202041635565302,1.0200309003096792
4,Real Trajectory of Alter,0.7480716275865784,0.7709330154483143,0.7596607605745499,0.8303210572903101,0.8430778959234436,0.8366320307779449,1.9602488720832505,2.143600074961287,2.050232745530857,1.4402848224181604,1.55228404375854,1.4959662186027503,0.9196436547962968,0.9382193497514674,0.9291477053961988,1.0268696516218039,1.0308300178057743,1.0288532124618377
5,Random Trajectory of Alter,0.7279612400800654,0.730370002732647,0.7291604972873018,0.8312934736841018,0.832610361478385,0.8319545846607979,2.2508873223593087,2.270390884057694,2.2606193146321987,1.525880819184975,1.5374449947802533,1.5315618044166164,0.8902650081141592,0.8925283165936548,0.8914178578672105,1.022614871453499,1.022975097686444,1.022796147766785
5,Real Trajectory of Alter,0.7604587994351701,0.7820216776155193,0.7714075532056016,0.8327414261348207,0.8453430562280081,0.8391433768761343,1.8855115114973642,2.059995851231789,1.9720280399827965,1.4222313333301013,1.5320970791709143,1.4774367543520037,0.935871024181339,0.9528476606421755,0.9444532224466209,1.0300789572814424,1.034234300003025,1.0321218413208908
6,Random Trajectory of Alter,0.7389546770758475,0.7412805535838208,0.7401121853160694,0.8330525068221245,0.8343461676450373,0.8336955002841083,2.1812033560805184,2.199673189365184,2.1905234682749715,1.5129214363064325,1.524324244461866,1.5187151105297527,0.9045271534267283,0.9065767597526574,0.9055604692674069,1.0248827144522346,1.0252554067716433,1.0250672989048855
6,Real Trajectory of Alter,0.7707620610294816,0.7911293367059721,0.7812061962649719,0.8350536191168617,0.8476342971112368,0.841331483011456,1.822938826032808,1.989283734830054,1.9051635327315712,1.405436689048627,1.5161825708284487,1.461101109979515,0.9491119758324945,0.9649216308948103,0.9572579874271088,1.0327829480686295,1.0372555319011412,1.0349865591432024
7,Random Trajectory of Alter,0.7471180476737558,0.7493506643919102,0.7482523670762986,0.8344388818720763,0.8357183854540684,0.8350862905811511,2.1266069343375387,2.1443412451696524,2.135514171106101,1.5026516082594994,1.5139416345330148,1.5082874424103645,0.9149958864510799,0.9169038653085728,0.9159480789487361,1.026689547519387,1.0270834926015318,1.0268855081106936
7,Real Trajectory of Alter,0.7786386405007231,0.7981440674237541,0.7883634977789654,0.8366461146056811,0.8492305848219064,0.8430589889593262,1.7720038867239127,1.9349216047870328,1.8538212481925886,1.3951951777535552,1.5028251092074891,1.4479457578693078,0.9588215023981236,0.9736108024991217,0.9664386852643023,1.0349199907590825,1.039554617896297,1.0372301645572433
8,Random Trajectory of Alter,0.7544457866327385,0.7566109312809876,0.7555281967739591,0.8359501630571832,0.8372154724488641,0.8365797710814935,2.078390685177779,2.095745883251074,2.0869626483689627,1.491775272233736,1.5029528493815063,1.4973863272490422,0.9245660509627408,0.9263749965903282,0.925476208300295,1.0286698253552604,1.0290753788108158,1.0288678984008375
8,Real Trajectory of Alter,0.7854160987229727,0.8039760192023061,0.7950142696849788,0.8389017716788701,0.850977163932655,0.8448992012294833,1.731865044872676,1.884118757506021,1.8071715817116694,1.3809820570491769,1.4877613993806937,1.4341443496823194,0.9679996189959879,0.981902163385572,0.975181658822684,1.037216135441892,1.0421502767886837,1.0396483151655012
9,Random Trajectory of Alter,0.7602538697020882,0.7622707895035443,0.761256614896407,0.8371783310380818,0.8384345974142984,0.8378007901050516,2.0400949177562477,2.0567614984965576,2.048440150377888,1.4826703746703305,1.493907762599217,1.4883495044448254,0.9320843542149838,0.933833436360122,0.9329568232847337,1.030290660929624,1.030726749743277,1.0305097888443902
