Rank,trajectory,lower_Pi_alters,upper_Pi_alters,mean_Pi_alters,lower_Pi_ego_alters,upper_Pi_ego_alters,mean_Pi_ego_alters,lower_CCE_alters,upper_CCE_alters,mean_CCE_alters,lower_CCE_ego_alters,upper_CCE_ego_alters,mean_CCE_ego_alters,lower_Pi_alters_ratio,upper_Pi_alters_ratio,mean_Pi_alters_ratio,lower_Pi_ego_alters_ratio,upper_Pi_ego_alters_ratio,mean_Pi_ego_alters_ratio
1,KO-Random Trajectory of Alter,0.6028753813386802,0.606360588285722,0.6046031589531566,0.8178421628154947,0.8192398433540113,0.8185406989982854,2.9950681962767662,3.0189871964024895,3.007059598095659,1.623389838592648,1.6352939834264308,1.6293460241003346,0.732446532878565,0.7361544426329499,0.7342825738443286,1.0055152311361302,1.0057635667540359,1.005637859864797
1,KO-Real Trajectory of Alter,0.6027404640605561,0.6062278027632004,0.6044695323725622,0.8178399357204326,0.8192245968182147,0.818528532602614,2.9956870329941943,3.0193728275302925,3.007647405434619,1.6234541483750784,1.63531520995711,1.6294227455876749,0.7323165747393076,0.7359360731128253,0.7341486963688749,1.0054943113572794,1.00574665692719,1.0056203938030297
2,KO-Random Trajectory of Alter,0.6728504737033837,0.6754616370476876,0.674148282885526,0.8222270748437253,0.8235633045605826,0.8228970918568035,2.612013740808111,2.6321215523521633,2.6220706487528305,1.5936724346894275,1.6051576488386285,1.5993624812328695,0.8225406753847144,0.8251207621415968,0.8238303716068152,1.0112311087653978,1.0115281759169374,1.0113784030154263
2,KO-Real Trajectory of Alter,0.6729800994893075,0.6756425209837784,0.6742996197932098,0.8222010069486415,0.8235688151475741,0.8228815813053723,2.6110301490914702,2.631334331414674,2.621194304455129,1.5936750197625447,1.605235688996324,1.5994677175223584,0.8227656584816455,0.8253468694107495,0.8240524645574943,1.0112084267279486,1.0115016436442796,1.0113575180900212
3,KO-Random Trajectory of Alter,0.7048131271798205,0.7070701022816351,0.705932557411647,0.8258128713360632,0.827130841967717,0.8264824131041494,2.418045513571042,2.4361231413552664,2.427077454059603,1.5679872718025705,1.5795477472887791,1.573786938772908,0.8637629791533181,0.865828088466722,0.8647994891238201,1.0159330702036855,1.0162876100638985,1.0161099260884185
3,KO-Real Trajectory of Alter,0.70477804926948,0.7070343250487681,0.705920270445708,0.8257975823074805,0.8271076273118217,0.8264705872135796,2.418176526401497,2.435956691353687,2.4271349235628303,1.5682122771405351,1.5795034385161102,1.573865840095401,0.8637681176642501,0.8658242725545904,0.8648045308053843,1.0159186844680417,1.0162652238767431,1.016092941092616
4,KO-Random Trajectory of Alter,0.7235716042188514,0.7256237813295688,0.724593610598576,0.8286043388295549,0.829901258687351,0.8292621985599545,2.297317825864674,2.3144053248549024,2.3059456956867925,1.548084207280459,1.5593051314843487,1.553665317337456,0.8876306284103834,0.8894858322235621,0.888558163496644,1.019555317183738,1.0199482022337423,1.0197521565446548
4,KO-Real Trajectory of Alter,0.7234692399013818,0.725559068664613,0.7245128269762314,0.8286145687035675,0.8298939773455449,0.8292509402775833,2.2978569329779064,2.315073139927288,2.3064263603938087,1.548108562705452,1.5592949384729122,1.5537340057482492,0.887537715177355,0.8893915357269083,0.8884745261085283,1.0195401585535662,1.0199343275824486,1.0197362009473097
5,KO-Random Trajectory of Alter,0.7374160726763405,0.7393688179785988,0.7383891374193478,0.8310652761254049,0.8323167273433074,0.8316914011893608,2.2065584661640996,2.222882069658515,2.214677089727909,1.5303554357221814,1.5414888718865527,1.5359735140850683,0.9052897892963062,0.9069718495101257,0.906127402841409,1.0227194824643449,1.0231360625218002,1.0229280072250464
5,KO-Real Trajectory of Alter,0.7373662412763357,0.7393292937013591,0.7383420833015543,0.8310350129634261,0.8323322747675996,0.8316852394962335,2.2067932418830374,2.2230237513856066,2.214945570251936,1.5305470432318282,1.5416190808910875,1.5360170335521095,0.9052440381120498,0.9069257304987369,0.9060836542503868,1.022710943450437,1.0231320076794996,1.0229199367423223
