Rank,trajectory,lower_Pi_alters,upper_Pi_alters,mean_Pi_alters,lower_Pi_ego_alters,upper_Pi_ego_alters,mean_Pi_ego_alters,lower_CCE_alters,upper_CCE_alters,mean_CCE_alters,lower_CCE_ego_alters,upper_CCE_ego_alters,mean_CCE_ego_alters,lower_Pi_alters_ratio,upper_Pi_alters_ratio,mean_Pi_alters_ratio,lower_Pi_ego_alters_ratio,upper_Pi_ego_alters_ratio,mean_Pi_ego_alters_ratio
1,Random Trajectory of Alter,0.4106464793229625,0.4277395630657917,0.4191177190958555,0.7351909591083634,0.744935021033964,0.7400663415448981,5.3660411092374565,5.519818174771714,5.44120576723994,2.865043647800726,2.9744392727384663,2.9198191183401803,0.5388422433098558,0.5579399329280801,0.5484677755602231,1.0113440952081252,1.0130723354308797,1.0122038671902966
1,Real Trajectory of Alter,0.41665001533885926,0.603151864936055,0.509758455236532,0.6909058360791007,0.7905513610482402,0.7415969504381966,3.960415690501888,5.743880679760879,4.8409765545088,2.3435972336302147,3.462569372782272,2.9052139328698274,0.5603642179754064,0.7444059408262396,0.6548338807621235,1.0081012341054008,1.019942924090816,1.0133243205452098
2,Random Trajectory of Alter,0.4761756606064196,0.49093322446200355,0.48361512623576036,0.7368580944112759,0.746514057938963,0.7417884367208802,4.995434122968066,5.1453553512527215,5.070231315233715,2.848444209765401,2.9537360249986793,2.9015749089865923,0.6292499943740584,0.6431897822289264,0.6362667190420296,1.0143140744564558,1.0163704591632896,1.0153369909618462
2,Real Trajectory of Alter,0.47346269539124874,0.6385109146720822,0.5558271324368783,0.6961011479370133,0.7923337209960479,0.7443551296891737,3.685155725088922,5.306411655423271,4.499272381932848,2.3217063543890055,3.419654013230938,2.8777499637785193,0.6536429486839419,0.8002119732687296,0.7292411839444829,1.0110942824973534,1.0266149202324608,1.018110022612809
3,Random Trajectory of Alter,0.4997288540260121,0.5144911519229615,0.5071270332264418,0.7388529343705621,0.7483023146072856,0.7435616528028455,4.8210028119175306,4.968146584209791,4.893392802818446,2.8315056940752235,2.936804459399309,2.8842254621305674,0.6652073799002352,0.6787211459529305,0.6719692124252141,1.017717672619314,1.0200640677783297,1.0188836637366598
3,Real Trajectory of Alter,0.4944330519999649,0.6559038476485862,0.5763008032581136,0.6983545054944524,0.7943433454218737,0.746350768688787,3.5333776658169,5.163052289322501,4.339711196156728,2.322899515772198,3.40228724310076,2.8581630171156025,0.6881421050206377,0.8248741167609178,0.7592930293013374,1.0134384987798932,1.0315971513405346,1.0219204365172876
4,Random Trajectory of Alter,0.5176569039198434,0.5325917491800267,0.5252054926222219,0.7394998317893346,0.7490169524345472,0.7442601332729838,4.685074838526558,4.836067932035554,4.760514856794825,2.825252530417461,2.92972264188935,2.8766601311800732,0.689779878365066,0.7029268973008794,0.6963881509991313,1.0189055269004494,1.021397874577029,1.0201433403983076
4,Real Trajectory of Alter,0.5110352618856618,0.6700043221568266,0.591358515547047,0.700614247802249,0.7943645993883655,0.7478964524663836,3.42226531008173,5.022676650300511,4.217068491687008,2.319886117935609,3.3838373679712817,2.8424033777969644,0.7135842262536066,0.8451476515596413,0.78208602841178,1.0147894867766796,1.0359590541521992,1.024528454016265
5,Random Trajectory of Alter,0.5312775299416606,0.5455403101316915,0.5384371374629491,0.7418746876460993,0.7512210028672389,0.7465028091016235,4.584021302736993,4.732353484828374,4.656462551450341,2.8038047236276786,2.9072824224118308,2.855356326001401,0.7096513504068546,0.7224351630280436,0.7161228019487731,1.0224185923647446,1.0250710217176995,1.0237421623267655
5,Real Trajectory of Alter,0.5225029837096856,0.6800638092413572,0.6015156544082025,0.7047235798562712,0.7974386781491802,0.750239295436436,3.357770146477367,4.924824153279113,4.132998976004098,2.299531404653832,3.3497443465425287,2.8201706121369354,0.7298911723246662,0.8583990524650149,0.797579528049914,1.0176872002545208,1.0403684340613337,1.0283394326856656
6,Random Trajectory of Alter,0.5403102804522976,0.5541667407554893,0.5471515783279258,0.7432754951808203,0.7525531509426822,0.7479442041402496,4.515349660961228,4.659073695855151,4.587898487472195,2.7898247227645707,2.8937571476460584,2.841664742703173,0.7235860132563242,0.7354068813804873,0.7294547736517372,1.0246089858399077,1.0273526238059407,1.0259782348034177
6,Real Trajectory of Alter,0.532714418256609,0.6882536012978573,0.6091301710114576,0.7044950210069738,0.797300267535779,0.7518798780206037,3.2862351459394805,4.847517077242531,4.070643486128274,2.2735731747223293,3.328406166365855,2.80457741702525,0.7433267900713845,0.8690621623193485,0.8090464365705338,1.0196657622681031,1.0438189903731403,1.0309130108665094
7,Random Trajectory of Alter,0.5472596227547707,0.5607681014071948,0.5539200320894042,0.7449393692775544,0.7541092312982505,0.7495597703483402,4.465220928558048,4.608025344440888,4.536197238858218,2.7757577258211303,2.877838053653337,2.8264220112812897,0.7341098978939156,0.7457073059265422,0.7399546274722365,1.027190570544399,1.0300087338067503,1.028582948611023
7,Real Trajectory of Alter,0.543967356865115,0.6925023348275697,0.6172322813229555,0.7069032749122068,0.7983762903586298,0.7534692301371037,3.230783684183842,4.771830573480573,4.005616159925112,2.284527606483183,3.3139266136602914,2.7895288141942776,0.7610204113923998,0.8760922627091206,0.8212948761278627,1.0219847045015347,1.047170248782439,1.033458047774215
8,Random Trajectory of Alter,0.5539907108166198,0.5676857163683575,0.5608113028681294,0.7460142768682806,0.7551295079776289,0.7505183987139045,4.4073335033701175,4.54873789737291,4.477816344829072,2.765828626681895,2.868690745702715,2.81708212285223,0.7441541596480383,0.7555852855127868,0.7499242798356717,1.028715691630376,1.0317296729481122,1.0301989447508328
8,Real Trajectory of Alter,0.5502577508118802,0.6969784544224642,0.6238345451598601,0.7076605085902159,0.8002311181607394,0.7547608528792971,3.210140035077187,4.713540890212189,3.9493116979585627,2.23954467321051,3.2935661882312357,2.7768947553088177,0.7726592628689378,0.8841691790205095,0.8315073675491211,1.02367334443996,1.0497838147399583,1.0355438703000912
9,Random Trajectory of Alter,0.5576508054102628,0.5711330202062987,0.5644366465268562,0.7468915110233594,0.7559890599011441,0.7514158137921989,4.376606285344729,4.520618358432931,4.447582357336671,2.756697115136757,2.8594875249838476,2.8083478554847257,0.7500582049024408,0.7612163948866317,0.7556306762644741,1.0301533181081608,1.0332455851604183,1.0316844004437826
