Rank,Interval,lower,upper,mean,type,lower_CODLR,upper_CODLR,mean_CODLR
1,1,0.23875906860307733,0.31834825700885533,0.27829598247890586,Pi,,,
1,2,0.24083538496845056,0.3266662340650699,0.2833138998272995,Pi,,,
1,3,0.23987659735389807,0.3254525451483331,0.282403289676,Pi,,,
1,4,0.21797249488272508,0.2977156554963199,0.2574205248578751,Pi,,,
1,5,0.22539026413934146,0.30641097219810665,0.2647466840296206,Pi,,,
1,6,0.23225177886616755,0.30793843714401276,0.26897669762807763,Pi,,,
1,7,0.24708837037654974,0.321823726438346,0.2830558108939159,Pi,,,
1,8,0.22754821934653022,0.3076726512336867,0.2672102731152143,Pi,,,
1,9,0.2360705286518267,0.3152918564662448,0.27501581876160924,Pi,,,
1,10,0.2436654861111883,0.3168828582785541,0.2806655856539521,Pi,,,
1,11,0.22868319667389592,0.30097453836533683,0.26387276215143823,Pi,,,
1,12,0.22713313712305436,0.307600429797818,0.26661558657027706,Pi,,,
1,13,0.22670878773544548,0.29849658729721185,0.26164532873127355,Pi,,,
1,14,0.2500440350804765,0.32734241120168817,0.2886134167886578,Pi,,,
1,15,0.23437203748383775,0.3093955638071398,0.27113505044044356,Pi,,,
1,16,0.2330151652502531,0.3088401739332455,0.27100720122878796,Pi,,,
1,17,0.23218866919548417,0.30446379993422695,0.26763735286263035,Pi,,,
1,18,0.23452368327810605,0.31305738496773416,0.2740738755366323,Pi,,,
1,19,0.25287207562283315,0.32901781848723927,0.2905468482357441,Pi,,,
1,20,0.2399751707872941,0.3239081466721175,0.28152039788632255,Pi,,,
1,21,0.2305550332319907,0.31207918687330655,0.2707606817210622,Pi,,,
1,22,0.2504009923017875,0.3276840034798227,0.28819293869830265,Pi,,,
1,23,0.2487002103451803,0.32566221132652334,0.28679927686410056,Pi,,,
1,24,0.24293716230431722,0.32442551153084626,0.2830120103035781,Pi,,,
2,1,0.30858252181817514,0.38083125123477374,0.3438141112915896,Pi,,,
2,2,0.30406256289536276,0.38368033172238547,0.3433807646925722,Pi,,,
2,3,0.2988375963330609,0.3819634984915352,0.3399199641865314,Pi,,,
2,4,0.2983838924643807,0.378116080794393,0.33719787553794006,Pi,,,
2,5,0.29920126480036235,0.37482246656314666,0.33609770325191285,Pi,,,
2,6,0.3012398834786086,0.37506800995884276,0.3378104898509096,Pi,,,
2,7,0.3027889878303708,0.37629829083865407,0.3393231439697451,Pi,,,
2,8,0.29461731978611105,0.37233371057786563,0.33193649571678335,Pi,,,
2,9,0.3004069784561265,0.37573114874604796,0.33740989574606817,Pi,,,
2,10,0.3071684859326732,0.3820083321657673,0.3440476245081375,Pi,,,
2,11,0.29438512171965225,0.3677121515836906,0.33041575293199554,Pi,,,
2,12,0.30410729552745197,0.37984200898850395,0.34074658026727245,Pi,,,
2,13,0.3004461758232657,0.372588775718204,0.33559101979176376,Pi,,,
2,14,0.3114020828038521,0.3851664186897533,0.3477552293852466,Pi,,,
2,15,0.29324924984924944,0.3657736323514831,0.32891171055266727,Pi,,,
2,16,0.3008199167786038,0.37196655042965726,0.3357994346381076,Pi,,,
2,17,0.2999427158377606,0.3729718777179728,0.33585646392546326,Pi,,,
2,18,0.2955132681693346,0.3750528931710353,0.33517523265158045,Pi,,,
2,19,0.3009900726009192,0.3782949679149846,0.33894555378552266,Pi,,,
2,20,0.29705933572797905,0.37830587242312064,0.33745941296001725,Pi,,,
2,21,0.2951752674014507,0.37309279289691855,0.33398160291576473,Pi,,,
2,22,0.3061442566900278,0.3814259486381649,0.3436456574361734,Pi,,,
2,23,0.29815839990492815,0.3722911667897421,0.33445964954822827,Pi,,,
2,24,0.3015186720119046,0.3778465122287416,0.3391849817345817,Pi,,,
3,1,0.34308839496081306,0.4133226785325131,0.37782672524107086,Pi,,,
3,2,0.34470364983908486,0.41978285548909094,0.3815329539819186,Pi,,,
3,3,0.3385694591520468,0.4210607258278905,0.37994495809690354,Pi,,,
3,4,0.33431920576724045,0.4101878089622242,0.37234741910368657,Pi,,,
3,5,0.3377701098540957,0.41191510339371995,0.3750473300072214,Pi,,,
3,6,0.33646116148154076,0.4097249588157178,0.3735186588617081,Pi,,,
3,7,0.34119193997540503,0.4153983085774476,0.3776023770098809,Pi,,,
3,8,0.3356948578201908,0.41016466456469153,0.37244123524494915,Pi,,,
3,9,0.3384965291763643,0.4134114173112055,0.3757602736136778,Pi,,,
3,10,0.33279751998507023,0.4069031776349155,0.36936142249981635,Pi,,,
3,11,0.3375630897865817,0.4116847200781372,0.3740811195275517,Pi,,,
3,12,0.3343911036196331,0.40783003782325966,0.3708776149147393,Pi,,,
3,13,0.335482140121988,0.40636067659254393,0.3703978532508134,Pi,,,
3,14,0.34668222540311183,0.4187091904344926,0.382125348463123,Pi,,,
3,15,0.3391355421804603,0.4067929873091874,0.37301947711534034,Pi,,,
3,16,0.33654807953795146,0.4094444802293083,0.37201151740790955,Pi,,,
3,17,0.34000434358519693,0.4118884879544714,0.3762790765205774,Pi,,,
3,18,0.33602365822711705,0.4128912196752752,0.3738407941531717,Pi,,,
3,19,0.3365392446248179,0.41389258372227755,0.3742881774301997,Pi,,,
3,20,0.32725611004418836,0.40413700233718475,0.3659463410902583,Pi,,,
3,21,0.33265289457896235,0.4051072372340896,0.36896306503020865,Pi,,,
3,22,0.3457863545576257,0.41574632784031273,0.3802020880264995,Pi,,,
3,23,0.33772213110019844,0.4091382660800296,0.37353075454710305,Pi,,,
3,24,0.33833367895013045,0.4110100931748041,0.37413370499006715,Pi,,,
4,1,0.3713771565951653,0.44061346700813725,0.4060124985959895,Pi,,,
4,2,0.3719603443316637,0.445565637764942,0.40837253062436096,Pi,,,
4,3,0.36303279458622345,0.44298739520497593,0.4027892761799723,Pi,,,
4,4,0.36149174168104237,0.4374239111108205,0.39904172404579424,Pi,,,
4,5,0.36483342306309013,0.44022190302104386,0.40230077286787735,Pi,,,
4,6,0.36363264715343097,0.43664214640787447,0.3997810428162848,Pi,,,
4,7,0.3627763099756636,0.4372403073918264,0.39986178024581437,Pi,,,
4,8,0.3602936617811701,0.4360294192076061,0.3978408038643895,Pi,,,
4,9,0.3646464174081614,0.43753088427644504,0.40105752002649553,Pi,,,
4,10,0.3598588834414065,0.4321910905987562,0.39553028503707616,Pi,,,
4,11,0.3695891523628651,0.4431702750263605,0.40585477479783644,Pi,,,
4,12,0.36142397126301407,0.4335376622843495,0.39685562455557094,Pi,,,
4,13,0.3584330365887388,0.43055112066629364,0.39455045650828424,Pi,,,
4,14,0.36963322699778584,0.4387334597537515,0.403890537044616,Pi,,,
4,15,0.3643484311384333,0.4316482264852768,0.39764672330141604,Pi,,,
4,16,0.36127929555031385,0.43469980431194855,0.39814925132990203,Pi,,,
4,17,0.3657568594332073,0.4382064625101787,0.4014130025141201,Pi,,,
