Rank,category,Total Points,Points with non-zero CCP,pct
1,non-social co-location network,827,288,0.6517533252720678
1,social network,827,517,0.3748488512696493
2,non-social co-location network,827,357,0.5683192261185006
2,social network,827,599,0.2756952841596131
3,non-social co-location network,827,419,0.4933494558645707
3,social network,827,643,0.222490931076179
4,non-social co-location network,827,462,0.441354292623942
4,social network,827,681,0.17654171704957677
5,non-social co-location network,827,480,0.41958887545344614
5,social network,827,702,0.151148730350665
6,non-social co-location network,827,497,0.3990326481257558
6,social network,827,715,0.13542926239419584
7,non-social co-location network,827,531,0.35792019347037485
7,social network,827,733,0.1136638452237001
8,non-social co-location network,827,558,0.32527206771463124
8,social network,827,748,0.09552599758162028
9,non-social co-location network,827,572,0.3083434099153567
9,social network,827,758,0.08343409915356714
10,non-social co-location network,827,580,0.2986698911729141
10,social network,827,764,0.0761789600967352
