Rank,trajectory,lower_Pi_alters,upper_Pi_alters,mean_Pi_alters,lower_Pi_ego_alters,upper_Pi_ego_alters,mean_Pi_ego_alters,lower_CCE_alters,upper_CCE_alters,mean_CCE_alters,lower_CCE_ego_alters,upper_CCE_ego_alters,mean_CCE_ego_alters,lower_Pi_alters_ratio,upper_Pi_alters_ratio,mean_Pi_alters_ratio,lower_Pi_ego_alters_ratio,upper_Pi_ego_alters_ratio,mean_Pi_ego_alters_ratio
1,Random Trajectory of Alter,0.13902735431564645,0.14164618371001597,0.14034695238556927,0.4790029172917415,0.4814918864054056,0.4802447728473709,8.332637633745916,8.355928488703308,8.344277785383982,5.7001622548109925,5.725589682729515,5.7128419725792146,0.30252092302859895,0.3080294153855138,0.30531154580119835,1.0229307331564332,1.023559191248774,1.0232465543070672
1,Real Trajectory of Alter,0.12721761872094337,0.15293637534243404,0.13993479891283647,0.4678029153097838,0.49280444836421244,0.4801038929317977,8.236844247932599,8.466261157132328,8.3531925772459,5.586898694986603,5.84118332179637,5.714004951716067,0.27656458419504804,0.33105735748204307,0.3034983844684421,1.0198140266821907,1.0261087597940763,1.022900015453363
2,Random Trajectory of Alter,0.17752312621115984,0.17972431084464924,0.17862332242267606,0.4864193576842839,0.4888552234482872,0.48763477864003085,8.106950463150842,8.12912877683154,8.11811204744398,5.635188682649275,5.660052831924991,5.64777853398727,0.3879290184261781,0.39279635463308493,0.39033276917357396,1.0403040141810775,1.0412375289344968,1.0407620097125037
2,Real Trajectory of Alter,0.16873306109402555,0.19001119605775565,0.1792555433665453,0.47592936756170984,0.49991967726197584,0.4877021207333473,8.006524971145272,8.22788787868124,8.118741496296854,5.5207302415261115,5.76780408076404,5.647279620070295,0.36785806366691903,0.4160161940782968,0.391659792764977,1.0363123306073565,1.0456954700216212,1.0409355344594629
3,Random Trajectory of Alter,0.20250595989773995,0.20467777748080956,0.20361331974150734,0.4918069004644726,0.49415866667864644,0.4929799766636003,7.939957553130236,7.96192345510752,7.95080124085314,5.5874431406164735,5.6123306475072665,5.599997766246195,0.44271044665225034,0.44738001639154706,0.4450042447479236,1.052652756178362,1.0537837156089294,1.0532321041491146
3,Real Trajectory of Alter,0.19284310999974547,0.21444683842262702,0.20342833278797365,0.48128868836487926,0.5045207306290919,0.49293557123572723,7.840687323321783,8.06438092243421,7.955042716822379,5.471903711074707,5.721135471838355,5.600472656737225,0.42109673376209505,0.4673857927854633,0.4442127632765286,1.0476158033628409,1.0588665668231299,1.05311245118143
4,Random Trajectory of Alter,0.2225848265930684,0.22470050633056649,0.2236314368863364,0.49675547564544903,0.4990887344006327,0.497894528105431,7.800430485863121,7.82239217422421,7.811390408866978,5.543594493656104,5.5676672164029855,5.556008366467772,0.48638123640884345,0.4909780334539047,0.488718375706577,1.0641196717401207,1.0654236555958856,1.0647735308594328
4,Real Trajectory of Alter,0.21445431448161875,0.23536312512435933,0.224494316647515,0.4865313011274098,0.5098073145491973,0.4978938680666212,7.693700098282663,7.9140209272602275,7.807133388994381,5.432553394718916,5.676504635775723,5.5560142596821835,0.4676952605325616,0.5135798688457237,0.490321271737161,1.058533361257718,1.0712841929247319,1.0647403222231262
5,Random Trajectory of Alter,0.23751797941025374,0.23970250791865605,0.2385938213082356,0.5004828280155568,0.5028027161610131,0.5016583955618165,7.689582743147247,7.711615214465013,7.7005069809882105,5.50937913172565,5.5333700921956686,5.521666113290857,0.5190017537979326,0.5238846998242194,0.5213974489258721,1.0727926512144181,1.0742373204522568,1.0735267226010403
5,Real Trajectory of Alter,0.2296450497810825,0.2514542813884903,0.24037478740399065,0.49070942876299434,0.5134234160494001,0.5018322153820567,7.573673178987908,7.799705129964921,7.688840468796326,5.400293457621609,5.6376750037166214,5.520121322706513,0.5013229879511731,0.549447376497415,0.5252596058695862,1.067001896505068,1.0813074106802418,1.0739216191954186
