Rank,trajectory,lower_Pi_alters,upper_Pi_alters,mean_Pi_alters,lower_Pi_ego_alters,upper_Pi_ego_alters,mean_Pi_ego_alters,lower_CCE_alters,upper_CCE_alters,mean_CCE_alters,lower_CCE_ego_alters,upper_CCE_ego_alters,mean_CCE_ego_alters,lower_Pi_alters_ratio,upper_Pi_alters_ratio,mean_Pi_alters_ratio,lower_Pi_ego_alters_ratio,upper_Pi_ego_alters_ratio,mean_Pi_ego_alters_ratio
1,Random Trajectory of Alter,0.18526654658021283,0.1882379948395517,0.18674049465679327,0.4881778069750755,0.49057023648806714,0.48936434288246095,8.021336033971645,8.046608748034771,8.034130739604892,5.619639764245714,5.644518447952255,5.632381571714174,0.4009296717147076,0.4074056564151572,0.40414501753106197,1.0444632739941286,1.0457048674108977,1.045066544663267
1,Real Trajectory of Alter,0.17470910238241202,0.2052577369766332,0.1897524138090453,0.47760520040791465,0.5013471493874372,0.4890961696080404,7.884984149794976,8.146698532077137,8.014418921502516,5.507890279119221,5.754134379872487,5.6349258821005055,0.37787280299164067,0.4441272357223022,0.41053384278568217,1.0384550374277148,1.0510591438056198,1.0445563534192146
2,Random Trajectory of Alter,0.24889890256534425,0.25145929747330376,0.2501712616264339,0.4987464591492078,0.5010335534376776,0.49989339889542583,7.591025763491708,7.615967888658781,7.603487898030373,5.526184649531339,5.550069927955088,5.537935550000608,0.5389442494830231,0.5444564823203017,0.5416779803478456,1.0687351112915962,1.070252853865916,1.0694906330488596
2,Real Trajectory of Alter,0.23997546420125626,0.2668177631660804,0.25331836192462315,0.4884137020508794,0.511576236118216,0.4997432265778896,7.4502549968956036,7.710167661963067,7.581025607472361,5.421031593554398,5.656455531449874,5.539414081140704,0.5195516296453054,0.5785227064505737,0.5488320369048706,1.0619232312615003,1.077068075543186,1.069265007395711
3,Random Trajectory of Alter,0.2842297199028632,0.2866963919230504,0.2854832282982997,0.5056423486541204,0.5078831516608739,0.5067633514374426,7.328496778964688,7.3529599257533205,7.340745544450176,5.463921365235872,5.48794373236778,5.476105289820639,0.6173411290017263,0.6227012348381292,0.6200006706180756,1.0846220576558414,1.0863134323350847,1.0854616695370765
3,Real Trajectory of Alter,0.2775767937762563,0.3035706829635679,0.29040752907035183,0.49576666286381904,0.5185661313385678,0.5070239531055275,7.172051708711683,7.429960206434673,7.302328417527634,5.351979041407789,5.588269303387815,5.4739018023266315,0.6026903782896266,0.6588276173162576,0.6308918394831131,1.078023352033697,1.0949978947078045,1.0862370251162288
4,Random Trajectory of Alter,0.3082582316000226,0.3107068273376669,0.30947984995237066,0.5114941862482463,0.513765385971879,0.5126242857941361,7.144476481892185,7.168672438075284,7.156579835937389,5.4112039188013625,5.434733358573854,5.423026994090772,0.669488927471336,0.674748987275778,0.6720986251567603,1.0981222538532813,1.0999959559071169,1.099053808964921
4,Real Trajectory of Alter,0.30264028051595476,0.32734956706168344,0.3149176541608041,0.5021782576669597,0.5241662259035176,0.513085948361809,6.988964656937563,7.23863879978128,7.113330267231157,5.298284035502512,5.536972602257287,5.418984338552762,0.6572514337648065,0.7121564907556233,0.6844383935957554,1.0911570694542407,1.1098543224909294,1.1003152075504556
5,Random Trajectory of Alter,0.32650105118873196,0.3288451611123816,0.32767324684747184,0.5162509554012948,0.5184448922120078,0.5173494932938206,7.00248600749157,7.026553961234389,7.014698881559144,5.368610032423555,5.3916785308815935,5.38021425666533,0.7095388768396714,0.7147563763444122,0.7121274919692842,1.1090060096454726,1.110953583883181,1.1099771269892473
5,Real Trajectory of Alter,0.32091178650251256,0.3449197073673366,0.3329037512060302,0.5073057125768843,0.5292737638809046,0.5180114103417086,6.847856474287689,7.094622121719348,6.972643676125627,5.257602822698619,5.485715483684798,5.374380843442212,0.6968802207116254,0.7508435492761302,0.7237326477137488,1.1020212804051253,1.121631519657067,1.1117330461266708
6,Random Trajectory of Alter,0.3389151843379632,0.34119802367308577,0.3400702089809863,0.5203558692650628,0.5224896617886355,0.5214167566866339,6.904646519529191,6.928556680433402,6.916559898181242,5.33170872181045,5.355051206301513,5.343431288196584,0.7379697961910223,0.7433518515113637,0.740678257904593,1.1185589399668847,1.1206413360163254,1.119584855870739
