Rank,category,lower_Pi_alters_ratio,upper_Pi_alters_ratio,mean_Pi_alters_ratio,lower_Pi_ego_alters_ratio,upper_Pi_ego_alters_ratio,mean_Pi_ego_alters_ratio,lower_Pi_alters,upper_Pi_alters,mean_Pi_alters,lower_Pi_ego_alters,upper_Pi_ego_alters,mean_Pi_ego_alters,lower_CCE_alters,upper_CCE_alters,mean_CCE_alters,lower_CCE_ego_alters,upper_CCE_ego_alters,mean_CCE_ego_alters,lower_ODLR,upper_ODLR,mean_ODLR,lower_CODLR,upper_CODLR,mean_CODLR
1,non-social co-location network,0.2766262912254192,0.32163587000796984,0.298732723004792,0.9872788833074105,0.9982618647337728,0.9930818170810596,0.13218875382719342,0.1546539647837205,0.14329608485198855,0.46407130086349896,0.47803732092707796,0.4710395464337249,8.81119426299825,8.961336983541427,8.887735278611954,5.347562420652615,5.472435926767047,5.410635908493035,0.08231113368994517,0.09089922544653323,0.08660767254964928,0.08241653785265643,0.09110668034183916,0.08660767254964928
1,social network,0.42500046044944567,0.4661483565516923,0.44562262883982173,1.0112677993899104,1.0211216235108622,1.0163299807875317,0.1990704628642686,0.21793381332586462,0.20854671075752185,0.47368007814707486,0.48721224492895154,0.4804548007399686,7.989896339258733,8.151384720998026,8.071924471981413,5.275542122039,5.396039141410315,5.336745528734888,0.1573499274381115,0.17317973078502413,0.16521132312531617,0.15744471471311666,0.17309654210837416,0.16521132312531617
2,non-social co-location network,0.2977039899115119,0.33575235124694747,0.31678334937110375,0.9910854132369618,1.0019499011343451,0.9966394884178174,0.14196553543471463,0.1616331823672525,0.15158774098372133,0.46579772937079994,0.4799889059275462,0.47284715834765895,8.576466238930186,8.717659417523064,8.648237727679119,5.334724159781913,5.457779803622782,5.396512116275822,0.07219019097690935,0.07946686421494838,0.07577556968556325,0.13108462668973486,0.1419189098731504,0.13630685349047383
2,social network,0.48904947888015554,0.5274054953184142,0.5083426013893823,1.02335901859704,1.0350495560661919,1.029205703231324,0.22869537300143497,0.24701432083256555,0.2378430353983083,0.4792104932440912,0.49265378373655777,0.4859232594127938,7.610485702326486,7.7737748753721885,7.692228272583454,5.229606508465022,5.347058948542315,5.288247177631135,0.11649584106127311,0.12681799947249286,0.12166820111555054,0.2266577485291553,0.24413165884750881,0.23529848155031624
3,non-social co-location network,0.31886619676666195,0.35531198360288524,0.33678342266143396,0.9942996987087962,1.0065164665213886,1.000676587583583,0.1509180041149554,0.1695993933456374,0.1601493275760957,0.46746334580829074,0.4818445535075567,0.4745635984266989,8.390344297586857,8.531439925822411,8.462195445802312,5.314139340638475,5.43663074550796,5.376231469635653,0.06716526595095225,0.07397453051177373,0.07053226818861497,0.16534504304161765,0.17775375073508234,0.17152348282080251
3,social network,0.5311452447890959,0.5676782012537347,0.5497136239013646,1.0323874334646719,1.0444528113794593,1.038427557606388,0.24751010277953017,0.2651383195246167,0.2563539682297181,0.48317646390320956,0.4964595319193782,0.48985091055225255,7.389848518724862,7.546165782886228,7.468246512722245,5.194408213389955,5.312996651364237,5.254947683333138,0.10220267492940219,0.11179348768720032,0.10693925828547952,0.27136656989882335,0.2898304259128089,0.28060697768560955
4,non-social co-location network,0.3460017915762428,0.3807609880883452,0.3629384751320651,0.999884376959384,1.0117847276853345,1.0060549712178,0.1626235410133892,0.1803649854869684,0.1714070690817565,0.469545724042232,0.48385733296596434,0.47666866543685754,8.250610930451165,8.391930760648485,8.321480721433113,5.296579117752202,5.418844507973058,5.358828778987168,0.06614942770845895,0.07329800419075772,0.06972246658375265,0.19361263197474468,0.20745644079944003,0.2006657415557466
4,social network,0.5555793664179988,0.5928335089812399,0.5741714428021447,1.041058209195227,1.0533111014302825,1.0472965361367574,0.2587238364748215,0.276213718235354,0.26752757046674325,0.4868028736800927,0.5001874767784246,0.493583860244364,7.224164416035019,7.379283996294487,7.302678098178495,5.164643152909649,5.282277786751177,5.223513441315454,0.09145038497824985,0.10014490528606734,0.09573923649169232,0.3037590658588062,0.3225016989239976,0.313121019906368
5,non-social co-location network,0.3767345303242209,0.4113226618724063,0.3939345022315173,1.004884462973643,1.016510423024872,1.01088018557489,0.17632150992018555,0.19335574410594383,0.1847544828455792,0.4715491947229231,0.48564123689832694,0.4786594404906597,8.135527490363154,8.277311415294024,8.207241127446677,5.280631086715961,5.401900904871832,5.3425901028856515,0.06255197413472273,0.0692461650322235,0.06585884712130025,0.21623321379695015,0.23110180047125398,0.22364398399623336
5,social network,0.5787549954652709,0.6165594335503601,0.5976511592119871,1.0480179138192145,1.0608831553068663,1.0545365645080578,0.2689898905326516,0.286593626998246,0.2778494021434213,0.4901924023962783,0.5033100226030098,0.4967113598602376,7.099118676903909,7.25012978487877,7.176084703254703,5.138874781210466,5.255631818478823,5.197013633130939,0.08457469824276408,0.09301331853506917,0.08873491660273777,0.3287015597479872,0.3482924183682664,0.33854389009542496
