Included,userid,userid_y,category,USLR,SLR
1,0.0,267.0,24H-MFN,0.3333333333333333,0.49333333333333335
2,0.0,547.0,24H-MFN,0.11851851851851852,0.28
3,0.0,515.0,24H-MFN,0.2222222222222222,0.3688888888888889
4,0.0,66.0,24H-MFN,0.14074074074074075,0.28888888888888886
5,0.0,327.0,24H-MFN,0.08888888888888889,0.2311111111111111
6,0.0,88.0,24H-MFN,0.1111111111111111,0.24444444444444444
7,0.0,335.0,24H-MFN,0.1259259259259259,0.28444444444444444
8,0.0,256.0,24H-MFN,0.21481481481481482,0.19111111111111112
9,0.0,557.0,24H-MFN,0.13333333333333333,0.21777777777777776
10,0.0,138.0,24H-MFN,0.15555555555555556,0.3288888888888889
1,41.0,2241.0,24H-MFN,0.21359223300970873,0.23
2,41.0,5692.0,24H-MFN,0.10355987055016182,0.1425
3,41.0,5736.0,24H-MFN,0.1262135922330097,0.165
4,41.0,5235.0,24H-MFN,0.14563106796116504,0.1675
5,41.0,5717.0,24H-MFN,0.20064724919093851,0.215
6,41.0,334.0,24H-MFN,0.1262135922330097,0.13
7,41.0,5770.0,24H-MFN,0.05825242718446602,0.0475
8,41.0,5663.0,24H-MFN,0.1262135922330097,0.1225
9,41.0,212.0,24H-MFN,0.08737864077669903,0.0675
10,41.0,11220.0,24H-MFN,0.09061488673139159,0.0875
1,52.0,515.0,24H-MFN,0.323943661971831,0.41812865497076024
2,52.0,547.0,24H-MFN,0.14084507042253522,0.19883040935672514
3,52.0,535.0,24H-MFN,0.14553990610328638,0.19298245614035087
4,52.0,5235.0,24H-MFN,0.18779342723004694,0.1871345029239766
5,52.0,97.0,24H-MFN,0.14084507042253522,0.14035087719298245
6,52.0,66.0,24H-MFN,0.107981220657277,0.1871345029239766
7,52.0,6134.0,24H-MFN,0.1643192488262911,0.15789473684210525
8,52.0,6139.0,24H-MFN,0.1784037558685446,0.19883040935672514
9,52.0,557.0,24H-MFN,0.107981220657277,0.15789473684210525
10,52.0,456.0,24H-MFN,0.107981220657277,0.16374269005847952
1,66.0,535.0,24H-MFN,0.30666666666666664,0.3381818181818182
2,66.0,547.0,24H-MFN,0.22666666666666666,0.3054545454545455
3,66.0,327.0,24H-MFN,0.17333333333333334,0.3527272727272727
4,66.0,573.0,24H-MFN,0.3466666666666667,0.43636363636363634
5,66.0,267.0,24H-MFN,0.56,0.6981818181818182
6,66.0,350.0,24H-MFN,0.4,0.5345454545454545
7,66.0,515.0,24H-MFN,0.49333333333333335,0.5672727272727273
8,66.0,456.0,24H-MFN,0.3466666666666667,0.32727272727272727
9,66.0,375.0,24H-MFN,0.29333333333333333,0.2690909090909091
10,66.0,557.0,24H-MFN,0.21333333333333335,0.18181818181818182
1,88.0,547.0,24H-MFN,0.10365853658536585,0.26666666666666666
2,88.0,515.0,24H-MFN,0.17682926829268292,0.3466666666666667
3,88.0,335.0,24H-MFN,0.09146341463414634,0.26666666666666666
4,88.0,0.0,24H-MFN,0.09146341463414634,0.24444444444444444
5,88.0,138.0,24H-MFN,0.0975609756097561,0.28888888888888886
6,88.0,172.0,24H-MFN,0.07926829268292683,0.2577777777777778
7,88.0,282.0,24H-MFN,0.07926829268292683,0.22666666666666666
8,88.0,327.0,24H-MFN,0.054878048780487805,0.2222222222222222
9,88.0,8445.0,24H-MFN,0.04878048780487805,0.04
10,88.0,52.0,24H-MFN,0.14634146341463414,0.27555555555555555
1,89.0,533.0,24H-MFN,0.2696629213483146,0.34460887949260044
2,89.0,4867.0,24H-MFN,0.1797752808988764,0.25158562367864695
3,89.0,125.0,24H-MFN,0.20599250936329588,0.24312896405919662
4,89.0,6714.0,24H-MFN,0.06741573033707865,0.10782241014799154
5,89.0,5438.0,24H-MFN,0.0599250936329588,0.052854122621564484
6,89.0,236.0,24H-MFN,0.08239700374531835,0.08456659619450317
7,89.0,4840.0,24H-MFN,0.09363295880149813,0.15010570824524314
8,89.0,5144.0,24H-MFN,0.04119850187265917,0.09936575052854123
9,89.0,8092.0,24H-MFN,0.08614232209737828,0.07822410147991543
10,89.0,3661.0,24H-MFN,0.07116104868913857,0.1226215644820296
1,98.0,350.0,24H-MFN,0.19464285714285715,0.1726315789473684
2,98.0,97.0,24H-MFN,0.0875,0.06315789473684211
3,98.0,138.0,24H-MFN,0.08571428571428572,0.09789473684210526
4,98.0,335.0,24H-MFN,0.1125,0.13473684210526315
5,98.0,559.0,24H-MFN,0.10535714285714286,0.0863157894736842
6,98.0,6112.0,24H-MFN,0.04107142857142857,0.037894736842105266
7,98.0,535.0,24H-MFN,0.07321428571428572,0.08947368421052632
8,98.0,547.0,24H-MFN,0.0375,0.05052631578947368
9,98.0,2241.0,24H-MFN,0.06964285714285715,0.09157894736842105
10,98.0,4078.0,24H-MFN,0.05357142857142857,0.08210526315789474
1,107.0,406.0,24H-MFN,0.2012987012987013,0.21951219512195122
2,107.0,256.0,24H-MFN,0.19805194805194806,0.22138836772983114
3,107.0,2489.0,24H-MFN,0.045454545454545456,0.0300187617260788
4,107.0,213.0,24H-MFN,0.048701298701298704,0.03189493433395872
5,107.0,11601.0,24H-MFN,0.04220779220779221,0.028142589118198873
6,107.0,4198.0,24H-MFN,0.05519480519480519,0.04690431519699812
7,107.0,8615.0,24H-MFN,0.06818181818181818,0.04878048780487805
8,107.0,19061.0,24H-MFN,0.05194805194805195,0.0375234521575985
9,107.0,8154.0,24H-MFN,0.04220779220779221,0.0300187617260788
10,107.0,96.0,24H-MFN,0.03571428571428571,0.024390243902439025
1,112.0,438.0,24H-MFN,0.29411764705882354,0.19568567026194145
2,112.0,3817.0,24H-MFN,0.14878892733564014,0.2711864406779661
3,112.0,22142.0,24H-MFN,0.07612456747404844,0.18952234206471494
4,112.0,8738.0,24H-MFN,0.06920415224913495,0.14021571648690292
5,112.0,8736.0,24H-MFN,0.08304498269896193,0.08936825885978428
6,112.0,203.0,24H-MFN,0.0657439446366782,0.040061633281972264
7,112.0,153.0,24H-MFN,0.1314878892733564,0.07704160246533127
8,112.0,5269.0,24H-MFN,0.08304498269896193,0.04930662557781202
9,112.0,19.0,24H-MFN,0.07958477508650519,0.040061633281972264
10,112.0,162.0,24H-MFN,0.01730103806228374,0.007704160246533128
