userid,Shannon Entropy,Shannon Pi,LZ Entropy,LZ Pi
00-a,5.28230861272949,0.3071718039789371,3.9650209507318586,0.5318577929818399
01,6.624271868995986,0.2403014099451465,4.849463109800598,0.4982718559769704
0403,6.107152170970685,0.2278981713523776,4.9587970940351305,0.42443937819700256
062,2.990220909658134,0.5519555159453255,2.2613237597918756,0.692538714339621
08,6.956167376149662,0.3386352622637188,3.842486793633974,0.6781167242121676
12,3.503899973264523,0.6178611411119703,2.3561392349892945,0.7644217484231492
1od,5.42034391647364,0.39944908606862545,3.84477829100394,0.6112016972708265
26,4.493873996668304,0.5708340026904203,2.9812294396319072,0.73700163214678
29,2.9478884291233767,0.6041201857883727,1.7301683197923765,0.7988219324710347
3373,3.098538511483948,0.5567013616964936,2.1942676872565428,0.718781571715837
36_104k2,5.31298539121365,0.3148669497857792,4.1651454001721575,0.5087083677264467
4280,2.6286421089871057,0.750449338131825,1.8804795920702162,0.8316431380348276
4sq-seoul,5.539061543165533,0.3235102959243991,4.119787261793392,0.5434594420202645
547,5.285076866748471,0.38741412475817466,3.7767210391791837,0.6021372080072068
6-rokutan,3.3673255575847225,0.5962979912587917,2.319842745998837,0.7465504306767119
60,5.398783429572467,0.2678518313363365,4.228885064056262,0.4814623771760648
625,6.121404814714861,0.2304504138131059,4.330270826366792,0.5201390786966292
626024,3.6383381878388965,0.49725679437061643,2.2436619496477404,0.7322034436688639
735,5.263228181699087,0.3359482957184203,4.083584916417899,0.5280947165103411
750277,4.858059694232345,0.39105274776827414,3.5326588682229985,0.5993145299190008
826,4.337572978149746,0.5301146777708461,2.727110566973922,0.7339327027688665
87,4.578443587845012,0.3426927798999959,3.6194991915366588,0.5280005977244588
890,4.366937107257557,0.4369255065647196,3.0706371245081625,0.6446818382159429
__nicolasr__-r,4.6463928284141955,0.4594825041622858,3.20425221596004,0.6622319260665376
a-michael-d,6.171757718097792,0.3235713347171557,3.921089698155485,0.6192774680485715
a-t,3.1892262801579987,0.6098021738453491,1.636976199172994,0.8287224618449348
aalia-walker,4.974372591843781,0.33918233602223585,3.8774615816696967,0.5301115392384619
aaron-azza-sylvester,6.560853370804188,0.2074428491177215,5.197549137313846,0.4266881283263647
aaron-bailey2,6.693009180580236,0.19935200481615561,5.215544376497116,0.4331360220587938
aaron-balazs,4.932346086563916,0.33051813029271215,3.9683869761241657,0.5052555542467213
aaron-berlin,7.210254556280828,0.2486652429899033,5.516518366195064,0.46955547562482663
aaron-booth,4.330522493939677,0.43646078922772474,3.320991670114779,0.6034100520014364
aaron-c,6.43394441268854,0.29983043866286324,4.872384127875164,0.5116749814762922
aaron-chronister,5.4433832967099365,0.38127930475521815,3.8709875551038126,0.5998894415717387
aaron-cohen7,7.073147728169287,0.2454344589644881,5.5804461390774325,0.44774280449988363
aaron-crocco,4.565647870938746,0.4799032637513721,3.3107060860605415,0.653048073615177
aaron-cruz,8.544592164441076,0.1404554567287491,6.495186184403417,0.4036393541100482
aaron-friedman9,7.101307350890956,0.32962557979063145,4.700492114072026,0.596121861814402
aaron-gaul,5.852893936667223,0.24884256080251768,4.748586083466332,0.4401537557176544
aaron-goodwin,5.295175339205747,0.4231632119315216,3.946583247573257,0.601817558341042
aaron-gotwalt,7.287881587736353,0.12614919949803535,5.915678328979103,0.35477589401766396
aaron-grabein,5.869067850099395,0.373974820214764,4.369692259463114,0.5690763745445513
aaron-hape,6.205532722922191,0.2560860647686406,4.502621678524215,0.5160037416664442
aaron-kaczander,6.725822930068777,0.21646177524831522,5.412550971688443,0.41855888573846145
aaron-landry,8.506794768304156,0.17471744666550698,6.478684346762546,0.42127530545222625
aaron-laramore,6.320831040714486,0.30915671422514873,4.91498245469729,0.501781486301916
aaron-lassila,5.99468566983851,0.19629412922838974,4.7651362450153405,0.4243866534811167
aaron-magness,6.8325381819156465,0.08563842799028211,5.929914302671612,0.2753159409430797
aaron-mccullough,6.922119365068467,0.3013292260581308,4.984186009354302,0.5385758475043403
aaron-michie,5.623688265269885,0.3819613048395922,4.420794493629906,0.5459208311241835
aaron-myers,6.619411063444432,0.27817098481280067,4.954145597073536,0.5050225986350948
aaron-nakama,7.45965442464168,0.19461463463366868,5.545722000938228,0.4568694712974296
aaron-palmer,6.751782078455324,0.2851232432581709,5.004180852718432,0.5138940053796558
aaron-prather,7.146213250839623,0.22957430474169047,5.380195987538936,0.46982731493924196
