Included,userid,userid_y,category,USLR,SLR
1,4sq-seoul,4280,SW-24H-MFN,0.1810344827586207,0.3492957746478873
2,4sq-seoul,siegfrid,SW-24H-MFN,0.13793103448275862,0.35492957746478876
3,4sq-seoul,angie-k,SW-24H-MFN,0.04310344827586207,0.28732394366197184
4,4sq-seoul,golee,SW-24H-MFN,0.15517241379310345,0.3408450704225352
5,4sq-seoul,wungjae-hyun,SW-24H-MFN,0.27586206896551724,0.38873239436619716
6,4sq-seoul,yuina-azu,SW-24H-MFN,0.16379310344827586,0.3352112676056338
7,4sq-seoul,onepiece-chopper,SW-24H-MFN,0.16379310344827586,0.3323943661971831
8,4sq-seoul,jihoon-yeo,SW-24H-MFN,0.06896551724137931,0.29014084507042254
9,4sq-seoul,mrblues,SW-24H-MFN,0.05172413793103448,0.19718309859154928
10,4sq-seoul,leeclo,SW-24H-MFN,0.07758620689655173,0.28169014084507044
1,aaron-cruz,brandon-chesnutt,SW-24H-MFN,0.0749185667752443,0.058381984987489574
2,aaron-cruz,mike-mcclure,SW-24H-MFN,0.04723127035830619,0.03753127606338615
3,aaron-cruz,hubert-sawyers-iii,SW-24H-MFN,0.043973941368078175,0.030859049207673062
4,aaron-cruz,heather-macdonald,SW-24H-MFN,0.03420195439739414,0.021684737281067557
5,aaron-cruz,henry-balanon,SW-24H-MFN,0.0749185667752443,0.05504587155963303
6,aaron-cruz,charlie-wollborg,SW-24H-MFN,0.048859934853420196,0.03586321934945788
7,aaron-cruz,hadi-kadri,SW-24H-MFN,0.024429967426710098,0.015012510425354461
8,aaron-cruz,david-murray,SW-24H-MFN,0.04071661237785016,0.026688907422852376
9,aaron-cruz,randy-christenhusz,SW-24H-MFN,0.014657980456026058,0.007506255212677231
10,aaron-cruz,chris-kaufman,SW-24H-MFN,0.048859934853420196,0.03919933277731443
1,aaron-landry,ed-kohler,SW-24H-MFN,0.2983425414364641,0.2891120507399577
2,aaron-landry,ang-dezelske,SW-24H-MFN,0.15193370165745856,0.10570824524312897
3,aaron-landry,brian-moen,SW-24H-MFN,0.21961325966850828,0.18340380549682875
4,aaron-landry,taylor-carik,SW-24H-MFN,0.15883977900552487,0.10676532769556026
5,aaron-landry,conner-mccall,SW-24H-MFN,0.18093922651933703,0.12790697674418605
6,aaron-landry,gretchen-wolf,SW-24H-MFN,0.08977900552486189,0.07610993657505286
7,aaron-landry,erik-hess,SW-24H-MFN,0.143646408839779,0.1178646934460888
8,aaron-landry,james-l,SW-24H-MFN,0.1270718232044199,0.09302325581395349
9,aaron-landry,marcos-lopez-carlson,SW-24H-MFN,0.13397790055248618,0.1109936575052854
10,aaron-landry,m-k,SW-24H-MFN,0.14226519337016574,0.09143763213530655
1,aaron-rutledge,marci-ikeler,SW-24H-MFN,0.7086614173228346,0.583969465648855
2,aaron-rutledge,danny-nathan,SW-24H-MFN,0.22440944881889763,0.22519083969465647
3,aaron-rutledge,michael-kantrow,SW-24H-MFN,0.2440944881889764,0.25572519083969464
4,aaron-rutledge,chuck-masucci,SW-24H-MFN,0.24015748031496062,0.2385496183206107
5,aaron-rutledge,andrew-hess,SW-24H-MFN,0.16929133858267717,0.1316793893129771
6,aaron-rutledge,beep-iams,SW-24H-MFN,0.17716535433070865,0.1431297709923664
7,aaron-rutledge,thais-lima,SW-24H-MFN,0.2125984251968504,0.18893129770992367
8,aaron-rutledge,richard-whitesell,SW-24H-MFN,0.1141732283464567,0.07442748091603053
9,aaron-rutledge,ben-malbon,SW-24H-MFN,0.08661417322834646,0.061068702290076333
10,aaron-rutledge,hanna-kim,SW-24H-MFN,0.14566929133858267,0.08587786259541985
1,adam-cohen,tom-cummings,SW-24H-MFN,0.07901907356948229,0.07989690721649484
2,adam-cohen,jennifer-escalona,SW-24H-MFN,0.01907356948228883,0.015463917525773196
3,adam-cohen,kimberly-turner,SW-24H-MFN,0.02452316076294278,0.013745704467353952
4,adam-cohen,chris-hutchins,SW-24H-MFN,0.04632152588555858,0.029209621993127148
5,adam-cohen,aaron-bailey2,SW-24H-MFN,0.0326975476839237,0.02147766323024055
6,adam-cohen,tyler-hayes,SW-24H-MFN,0.027247956403269755,0.01804123711340206
7,adam-cohen,patrice-callender,SW-24H-MFN,0.02452316076294278,0.014604810996563574
8,adam-cohen,virginia-ivey,SW-24H-MFN,0.013623978201634877,0.009450171821305841
9,adam-cohen,boris-wertz,SW-24H-MFN,0.02452316076294278,0.012027491408934709
10,adam-cohen,jason-long,SW-24H-MFN,0.01907356948228883,0.012027491408934709
1,adam-fullerton,christian-rodriguez,SW-24H-MFN,0.12289562289562289,0.11219946571682991
2,adam-fullerton,tara-c,SW-24H-MFN,0.11784511784511785,0.09528049866429207
3,adam-fullerton,jameel-khalfan,SW-24H-MFN,0.10942760942760943,0.09349955476402494
4,adam-fullerton,james-oconnor,SW-24H-MFN,0.07744107744107744,0.06144256455921639
5,adam-fullerton,clair-wyant,SW-24H-MFN,0.11616161616161616,0.08993766696349065
6,adam-fullerton,max-silver,SW-24H-MFN,0.09764309764309764,0.07123775601068566
7,adam-fullerton,shane-solar-doherty,SW-24H-MFN,0.09259259259259259,0.07569011576135352
8,adam-fullerton,colin-steele,SW-24H-MFN,0.04713804713804714,0.041852181656277826
9,adam-fullerton,michelle-crum,SW-24H-MFN,0.006734006734006734,0.005342831700801425
10,adam-fullerton,karen-monahan,SW-24H-MFN,0.015151515151515152,0.01068566340160285
1,adam-jackson,sam-houston,SW-24H-MFN,0.06395348837209303,0.12448132780082988
2,adam-jackson,mario-anima,SW-24H-MFN,0.03488372093023256,0.1037344398340249
3,adam-jackson,scott-mucci,SW-24H-MFN,0.02131782945736434,0.08417308832246592
4,adam-jackson,christyn-tannenbaum,SW-24H-MFN,0.011627906976744186,0.06698280972139893
5,adam-jackson,jason-lee,SW-24H-MFN,0.046511627906976744,0.04742145820983995
6,adam-jackson,johan-lieu,SW-24H-MFN,0.027131782945736434,0.03023117960877297
7,adam-jackson,rachel-levy3,SW-24H-MFN,0.07170542635658915,0.08061647895672792
8,adam-jackson,himanshu-shah,SW-24H-MFN,0.044573643410852716,0.05868405453467694
9,adam-jackson,lauren-hannah,SW-24H-MFN,0.05426356589147287,0.06283343212803794
10,adam-jackson,maria-ogneva,SW-24H-MFN,0.08333333333333333,0.06224066390041494
1,adam-ostrow,nina-kjarval,SW-24H-MFN,0.0528169014084507,0.164850136239782
2,adam-ostrow,benjamin-bloom,SW-24H-MFN,0.08450704225352113,0.17983651226158037
3,adam-ostrow,rachel-rothman,SW-24H-MFN,0.02464788732394366,0.14168937329700274
4,adam-ostrow,orli-sharaby,SW-24H-MFN,0.035211267605633804,0.12534059945504086
5,adam-ostrow,jim-hord,SW-24H-MFN,0.03169014084507042,0.12534059945504086
6,adam-ostrow,sriram-venkitachalam,SW-24H-MFN,0.05985915492957746,0.1008174386920981
7,adam-ostrow,theodora-blanchfield,SW-24H-MFN,0.09859154929577464,0.12534059945504086
8,adam-ostrow,burt-herman,SW-24H-MFN,0.06338028169014084,0.0340599455040872
9,adam-ostrow,carla-blumenthal,SW-24H-MFN,0.07042253521126761,0.10490463215258855
10,adam-ostrow,jesse-thomas,SW-24H-MFN,0.04225352112676056,0.027247956403269755
1,akshay-dodeja,namita-b,SW-24H-MFN,0.328804347826087,0.23255813953488372
2,akshay-dodeja,scott-andreas,SW-24H-MFN,0.23097826086956522,0.27596899224806204
3,akshay-dodeja,brett-carter,SW-24H-MFN,0.17119565217391305,0.17674418604651163
