,userid_x,ego_info,LZ_entropy,Pi,CCE_alters_sr,CCE_ego_alters_sr,Pi_alters_sr,Pi_ego_alters_sr
0,00-a,6.357552004618084,3.9650209507318586,0.643259966531244,4.355894007421945,3.568350203752709,0.6007685730323684,0.6851709820502714
1,0046aki,4.392317422778761,2.5781151623489427,0.7470265882332833,3.663840994159351,2.615019409249091,0.6123121702019015,0.7426907628113549
2,01,7.6865005271832185,4.857714703064107,0.569149343604891,8.640229937874233,4.843634578202359,0.08524675494356912,0.5706485254399843
3,0403,6.918863237274595,4.9587970940351305,0.4853548114977795,,4.9587970940351305,,0.4853548114977795
4,062,4.523561956057013,2.261323759791876,0.7978185303376691,5.70981214806095,2.242385262851499,0.3735268481920608,0.7997950525268188
5,08,9.124121311829187,3.8424867936339755,0.7438462254511166,8.439242446621638,3.7222139332123527,0.3648179580063344,0.7528430544573723
6,1-2-punch,5.754887502163468,4.4068244161814984,0.4775430863680115,,4.4068244161814984,,0.4775430863680115
7,12,6.6865005271832185,2.1073350234207875,0.8510194771915829,4.979381043346599,2.0038706268218327,0.6017900966950218,0.859211315960043
8,13,2.321928094887362,2.220957037866936,0.6517970234841438,,2.220957037866936,,0.6517970234841437
9,172,4.087462841250339,3.0796793746159112,0.6102245331337385,,3.0796793746159112,,0.6102245331337385
10,1od,7.417852514885898,3.84477829100394,0.7038393166082259,6.698339950547768,3.5826583251314297,0.4300233719287389,0.7269287000389762
11,26,8.184875342908283,2.982026926489936,0.8053113046829158,4.895044381397336,2.580901452340032,0.6596462116579361,0.8342711940132608
12,29,5.044394119358453,1.7301683197923765,0.869322127224893,4.082368171956482,1.5054136668931584,0.6487512154647561,0.8883369003469203
13,3,3.321928094887362,2.3645892043025296,0.673995058776533,,2.3645892043025296,,0.673995058776533
14,30,4.857980995127572,2.268580669901389,0.7803526253707131,7.869943502540366,2.267961584247973,-0.14487233403449434,0.7804237879034853
15,337,5.954196310386875,4.230698274690834,0.5285704610004575,5.119329806912625,3.988889186438455,0.3946313924793285,0.5625245002711063
16,3373,4.807354922057604,2.194267687256543,0.8059794857363302,,2.1942676872565428,,0.8059794857363303
17,344,5.426264754702098,3.3878372539073127,0.6524303112651598,4.303568914293709,3.3852891910316183,0.5320557381967886,0.6527497924578012
18,357,2.0,1.5969925537438645,0.7904761513018399,,1.5969925537438645,,0.7904761513018399
19,36_104k2,6.459431618637297,4.165145400172158,0.5927300532968495,5.171675164018704,3.945098813090812,0.4670144903617372,0.6187629614302913
20,38,4.169925001442312,3.7944517247347513,0.37161256249600494,5.14324992443336,3.7967635019147687,-0.05797867028954608,0.3709983503761999
21,4,4.584962500721156,2.8240140451497613,0.7069252086654055,3.650029334017201,2.5949732892560946,0.5978174685643707,0.7354489691492551
22,4280,7.294620748891627,1.880479592070216,0.8762455763593513,8.747906817578013,1.8705129871261177,0.2700438573149197,0.8769751947602498
23,456,5.700439718141092,3.8758207651531222,0.584839653180016,5.518669546564689,3.7594738135944,0.3418508737603241,0.6003158389108921
24,46,4.700439718141092,2.8630104715203677,0.6980254172577686,8.143518312891933,3.2933215494905568,-0.2259589522036001,0.6412199559280817
25,4sq-seoul,6.857980995127572,4.119787261793392,0.6260858943531245,10.531915450264188,4.192322705038517,-0.26112233895076303,0.6181904490258421
26,4sqchicago,3.700439718141092,3.553531260587097,0.2652197926607629,10.410614774004822,9.31866928103464,-0.8272262598330419,-0.6923891929696943
27,53,4.459431618637297,2.7594463176385835,0.7123986942038228,5.844983600455822,2.728005679803639,0.2307118861076893,0.7163746895775563
28,547,7.076815597050831,3.7857606652156455,0.6887853394466588,4.96532201826952,3.519873438923244,0.5715669230280239,0.7140537152509937
29,57,3.584962500721156,2.6862324927699497,0.6746651054208225,,2.6862324927699497,,0.6746651054208225
30,5roo,4.700439718141092,2.8310526527928768,0.7128059914350967,3.8385161006610966,3.0317667445659984,0.5824654940639804,0.6879367394600174
31,6,5.169925001442312,4.006049310430796,0.495126177440533,,4.006049310430796,,0.495126177440533
32,6-rokutan,5.954196310386875,2.319842745998837,0.8067552089898913,7.103396690054022,2.2882356227553893,0.2444707789227578,0.8097897893782335
33,60,6.266786540694901,4.222138091501568,0.5698497539061204,5.6559038208430295,4.176937266163192,0.3751114500332253,0.5755382104339358
34,625,6.965784284662087,4.281654185761466,0.6277067760864311,6.891949610098761,4.2023246456687104,0.3318243860380297,0.6358670499041205
35,6260,4.584962500721156,1.9471503688360343,0.8217369319242559,,1.9471503688360343,,0.8217369319242559
36,626024,5.285402218862249,2.2436619496477404,0.8162238986988672,0.9971830985915492,2.2407761109840245,0.9268082802985652,0.8164957412011836
37,72,5.129283016944966,3.7369072275922623,0.5717843519197296,,3.7369072275922615,,0.5717843519197296
38,735,6.554588851677638,4.083584916417899,0.6323921697480694,5.954173503428351,3.98120779047712,0.4166737345090509,0.6433483086680252
39,750,2.807354922057604,2.5369165203340183,0.5362026306193571,,2.5369165203340183,,0.5362026306193572
40,750277,6.426264754702098,3.53785686311397,0.7050455220137816,7.491471005572885,3.60219871328945,0.2621158766584307,0.6987765084942145
41,752,4.247927513443585,3.2636554075945576,0.5498305773584683,8.818442807217112,5.509684872642626,-0.5157407967342191,-0.04776471971017622
42,754,5.044394119358453,3.9746848030482034,0.4829572177771746,5.543837935390219,4.110471197320108,0.13666355569546373,0.4586496388575639
43,81,3.4594316186372973,2.241424818258586,0.7354538717686997,8.739281007049836,3.199726759644064,-0.4710167465773213,0.5829220504927876
44,826,7.118941072723508,2.7271105669739217,0.8031594660948166,3.7647891459135057,2.431917851029338,0.7158527376529544,0.8270416794925094
45,87,5.584962500721156,3.6194991915366583,0.6328981914481625,4.2131639096298015,3.2663538233706815,0.5571004573426779,0.6759746756054461
46,88,4.700439718141092,4.3243243243243255,0.3066331154725252,,4.3243243243243255,,0.3066331154725252
47,890,6.022367813028454,3.0706371245081625,0.7196821947344412,6.890103522858678,3.0375924571798922,0.22536957120158566,0.7232453703885596
48,8con,4.523561956057013,2.7966679639695933,0.6807904262623545,,2.796667963969593,,0.6807904262623545
49,9,5.169925001442312,3.7712413313173485,0.5563252747288641,,3.7712413313173485,,0.5563252747288641
50,916,3.9068905956085187,2.3958607787505697,0.7354963531127701,,2.3958607787505697,,0.7354963531127701
51,__nicolasr__-r,6.768184324776926,3.2042522159600404,0.7436141938678266,10.23774288486674,3.2043320034617113,-0.12202401163316168,0.7436068271659348
52,a-michael-d,7.787902559391432,3.921089698155485,0.6835973027433785,7.608373802287803,3.913276897956665,0.2946717974031036,0.6843301610275383
53,a-t,5.754887502163468,1.9299975208928797,0.8269637340233225,,1.92999752089288,,0.8269637340233225
54,a_evrard,4.807354922057604,2.6546247988886567,0.7317357494840767,,2.6546247988886567,,0.7317357494840767
55,aalia-walker,6.149747119504682,3.8774615816696967,0.6083706522592464,,3.8774615816696967,,0.6083706522592464
56,aarlo-stone-fish,5.087462841250339,4.188721875540868,0.42282377034452057,9.44527512776618,4.885433306323431,-0.5320512574801745,0.2726351329015099
57,aaron-azza-sylvester,7.357552004618084,5.197549137313847,0.500849555965636,,5.197549137313847,,0.500849555965636
58,aaron-bailey2,7.467605550082998,5.215544376497117,0.508934984806041,7.123406748374538,5.308516173728953,0.2679111288542101,0.4981310341012203
59,aaron-balazs,6.022367813028454,3.968386976124167,0.587896469728557,,3.9683869761241657,,0.5878964697285571
60,aaron-berlin,8.523561956057012,5.516518366195063,0.5369895007054497,9.544259942342462,5.493452227172068,0.05309076309575197,0.539299865279671
61,aaron-booth,5.954196310386875,3.3209916701147795,0.6951241467118806,,3.320991670114779,,0.6951241467118807
62,aaron-c,7.936637939002571,4.872384127875164,0.597522834679525,8.191133319627758,4.824608626155376,0.23604377910856256,0.6021729481767889
63,aaron-chronister,7.257387842692652,3.8709875551038126,0.6711122288403281,9.046875275717703,3.863887496048136,-0.00772502122069577,0.6718206198622347
