userid_x,ego_info,LZ_entropy,Pi,CCE_alters_sr,CCE_ego_alters_sr,Pi_alters_sr,Pi_ego_alters_sr
00-a,82,3.9650209507318586,0.643259966531244,4.355894007421945,3.5683502037527095,0.6007685730323684,0.6851709820502714
0046aki,21,2.5781151623489427,0.7470265882332833,3.663840994159351,2.615019409249091,0.6123121702019015,0.7426907628113549
01,206,4.857714703064106,0.569149343604891,8.640229937874233,4.843634578202359,0.08524675494356913,0.5706485254399843
0403,121,4.9587970940351305,0.4853548114977795,,4.9587970940351305,,0.4853548114977795
062,23,2.2613237597918756,0.7978185303376691,5.70981214806095,2.242385262851499,0.3735268481920608,0.7997950525268188
08,558,3.842486793633975,0.7438462254511166,8.439242446621638,3.7222139332123527,0.36481795800633443,0.7528430544573723
1-2-punch,54,4.406824416181499,0.4775430863680115,,4.406824416181499,,0.4775430863680115
12,103,2.1073350234207875,0.8510194771915829,4.9793810433466,2.0038706268218327,0.6017900966950218,0.859211315960043
13,5,2.2209570378669357,0.6517970234841438,,2.220957037866936,,0.6517970234841437
172,17,3.0796793746159112,0.6102245331337385,,3.0796793746159112,,0.6102245331337385
1od,171,3.8447782910039403,0.7038393166082259,6.698339950547767,3.5826583251314297,0.43002337192873885,0.7269287000389762
26,291,2.9820269264899357,0.8053113046829158,4.895044381397336,2.580901452340032,0.6596462116579361,0.8342711940132608
29,33,1.7301683197923765,0.869322127224893,4.082368171956482,1.5054136668931584,0.6487512154647561,0.8883369003469203
3,10,2.3645892043025296,0.673995058776533,,2.3645892043025296,,0.673995058776533
30,29,2.268580669901389,0.7803526253707131,7.869943502540365,2.2679615842479732,-0.14487233403449437,0.7804237879034853
337,62,4.230698274690834,0.5285704610004575,5.119329806912625,3.988889186438455,0.39463139247932844,0.5625245002711063
3373,28,2.194267687256543,0.8059794857363302,,2.1942676872565428,,0.8059794857363303
344,43,3.387837253907313,0.6524303112651598,4.303568914293708,3.3852891910316183,0.5320557381967886,0.6527497924578012
357,4,1.5969925537438643,0.7904761513018399,,1.5969925537438643,,0.7904761513018399
36_104k2,88,4.165145400172158,0.5927300532968495,5.171675164018704,3.945098813090812,0.4670144903617372,0.6187629614302913
38,18,3.7944517247347505,0.37161256249600494,5.14324992443336,3.7967635019147687,-0.05797867028954608,0.3709983503761999
4,24,2.8240140451497613,0.7069252086654055,3.6500293340172005,2.5949732892560946,0.5978174685643707,0.735448969149255
4280,157,1.8804795920702162,0.8762455763593513,8.747906817578013,1.8705129871261177,0.2700438573149197,0.8769751947602498
456,52,3.8758207651531227,0.584839653180016,5.518669546564689,3.7594738135943997,0.34185087376032414,0.600315838910892
46,26,2.8630104715203673,0.6980254172577686,8.143518312891933,3.293321549490557,-0.22595895220360007,0.6412199559280817
4sq-seoul,116,4.119787261793392,0.6260858943531245,10.531915450264187,4.192322705038517,-0.261122338950763,0.6181904490258421
4sqchicago,13,3.553531260587097,0.26521979266076295,10.410614774004822,9.31866928103464,-0.8272262598330419,-0.6923891929696943
53,22,2.7594463176385835,0.7123986942038228,5.844983600455821,2.728005679803639,0.23071188610768933,0.7163746895775563
