,NumPlaceid,NumUniqPlaceid,NumFriends,ShannonEntropy,LZ_entropy,LZ_entropy2,LZ_entropy10,LZ_entropy100,Predictability2,Predictability10,Predictability100,CrossEntropy,CrossPredictability2
linus-oura,202,100,3,5.658225081876249,4.38231931874182,4.38231931874182,4.38231931874182,4.38231931874182,0.5567119929178287,0.5567119929178287,0.5567119929178287,5.847955772979502,0.3587385258029757
carlos-granier-phelps,488,156,8,5.924540274849883,4.438085357159561,4.438085357159561,4.438085357159561,4.438085357159561,0.6108926228990639,0.6108926228990639,0.6108926228990639,6.493165057290893,0.3800120781936515
brian-niedfeldt,80,46,2,5.140111376837555,4.250035694041924,4.250035694041924,4.250035694041924,,0.4843181389678829,0.4843181389678829,,8.039259993698359,-0.24673960955952476
horacio-garay,282,76,12,3.544559030406585,2.8836099012267082,2.8836099012267082,2.8836099012267082,2.8836099012267082,0.7460093943867521,0.7460093943867521,0.7460093943867521,3.3435343335156906,0.6976557858711239
ben-samples,228,115,2,6.238941466091382,5.016570009071801,5.016570009071801,5.016570009071801,5.016570009071801,0.4867370163639769,0.4867370163639769,0.4867370163639769,7.091018890688481,0.1812095888616346
brian-skahan,169,80,7,5.51520695150756,4.388591665725225,4.388591665725225,4.388591665725225,4.388591665725225,0.5409510100249058,0.5409510100249058,0.5409510100249058,5.178084337295077,0.4330525568904599
mr_tanshin,21,10,2,3.1182751607709758,2.6353904536672563,2.6353904536672563,2.6353904536672563,,0.6130064080711936,0.6130064080711936,,4.955177577907754,-0.05246664318118393
alex-popescu6,93,78,5,6.208461096031005,5.63094230956525,5.63094230956525,5.63094230956525,,0.2646186090036257,0.2646186090036257,,6.77082904603249,-0.03194044389379
gijsbregt-brouwer,828,311,32,6.92443895253289,5.089541661895651,5.089541661895651,5.089541661895651,5.089541661895651,0.5762986592756545,0.5762986592756545,0.5762986592756545,4.8937269541017425,0.5955102867525353
ronsho,48,37,22,4.996115365169276,4.6220379316313025,4.6220379316313025,4.6220379316313025,,0.33318338870928743,0.33318338870928743,,5.223876798140954,0.1832409074553535
andrea-madrucci,183,95,3,5.891497167838811,4.36626371557454,4.36626371557454,4.36626371557454,4.36626371557454,0.5506434431040965,0.5506434431040965,0.5506434431040965,6.333915741504897,0.2680610779401712
travis-roe,802,352,2,7.554663242045436,5.61892640378856,5.61892640378856,5.61892640378856,5.61892640378856,0.5210072851848088,0.5210072851848088,0.5210072851848088,7.622695169519809,0.30125263132716557
