,NumPlaceid,NumUniqPlaceid,NumFriends,ShannonEntropy,entropy,ego predictability,ego+alters entropy,alters entropy,ego+alters predictability,alters predictability
eric-pakurar,490,161,6,5.436017422580144,4.1744066635951,0.5274591386301934,3.947834504681074,6.8082303147449075,0.6614591775794483,0.34160665883092095
sean-weller,427,250,4,7.271466596162324,5.87585101552433,0.5168498171247621,4.813548931713739,5.294403173016401,0.5621246704964271,0.5083290074503969
david-mckinney,353,105,4,4.980373312727211,2.319583931494353,0.5012239948418323,2.7540768101162443,10.230040321314855,0.7670172116785007,-0.22747280610184614
uwe-r,297,97,7,5.348942152594702,4.272596810644182,0.485967550623105,4.942619771836016,9.526082886928691,0.519611161047484,-0.17669538709346644
markus-windisch,310,126,7,5.196615027839348,4.24767974442883,0.48985394468839266,4.216728360047198,4.653283895492283,0.607074717411268,0.5571835751870894
joe-greenstein,56,29,7,4.122274065332601,2.929836717434467,0.23254444056832488,4.322575207946603,5.921580388615818,0.4222672677421064,-0.0049860387326255765
klim-andreev,481,165,2,6.557243005687217,4.663393442103798,0.5260615587639464,4.957032197329722,9.547573335997525,0.5547602270323887,-0.08811821904567763
mossy_13,285,67,19,4.705143985558563,3.5054647980088234,0.4821586761299669,3.1958790250373754,4.101434579108916,0.7138359528500156,0.6147410687249675
fred-zelders,9,8,4,2.94770277922009,3.1699250014423126,-0.18433116640734493,8.851124362886752,9.167418145831737,-0.6267883333789842,-0.663638132219414
arnold-valentino,1149,404,1,7.138670251238206,5.219357185862549,0.58294733742579,5.230870680839027,10.20179249913885,0.5818657334854177,-0.005446982541892209
rick-baucom,281,62,1,4.4487094527300135,3.437253828544482,0.4808377406394399,3.326974128747099,7.554588851677638,0.6992621435889705,0.14376545017869966
tim-lettany,62,2,6,0.11911602665564837,0.40746155766444403,0.2591252156380183,0.5129223047541466,1.8959743678761505,0.956805960199698,0.8015245361730924
simon-vreeman,1066,141,27,4.918576629617535,3.0520407561802685,0.5786580139235715,2.7921604538277096,4.911016311704246,0.7951054205173826,0.6077440163597396
judith-vega,952,194,2,5.3104275691952605,3.327398979395677,0.5719966910575491,3.129438132588328,7.44972985239206,0.7634567480530312,0.340522246313775
josh9,676,128,5,5.338959689733258,3.453801358112368,0.5502943438583866,3.377772130051174,9.148730779173189,0.730124910997759,0.062478421291473595
bec-purser,222,114,4,6.218005134138345,4.860562703173381,0.45754798642511474,4.92155085541266,6.5233144835072805,0.49645143096868277,0.2705222794227713
mozart-petter,61,25,1,3.7749240543678164,2.9412599804173665,0.25508794618403796,3.7194357651388255,8.233619676759702,0.5388773102794223,-0.32707689204730644
derek73,339,161,2,6.719904199540002,5.2863505677239715,0.4977464119289495,4.991393449923331,5.9528042419879315,0.5246746568532727,0.40748548700731657
kyle-rickhoff,533,127,2,5.107207928917408,3.9187577826547413,0.533682877800373,3.956519310500026,6.401310255931402,0.6646966988456159,0.4003316839523917
