userid_x,userid_y,group,CE_alter,Pi_alter,N_previous,LZ,Pi,meetup
0.0,2.0,useful,7.0277914633305265,0.34249760377595106,2098,5.136027486253858,0.5533462292191736,106
0.0,30.0,useful,7.273597742722727,0.31266882517858835,2077,5.136027486253858,0.5533462292191736,51
0.0,35.0,useful,8.11097858207581,0.20461821881672912,2089,5.136027486253858,0.5533462292191736,46
0.0,7.0,useless,9.954590430078037,,1614,5.136027486253858,0.5533462292191736,21
0.0,29.0,useful,8.48462310067751,0.1517535406692702,1783,5.136027486253858,0.5533462292191736,19
0.0,40.0,useful,7.846641004725058,0.2400027395338405,553,5.136027486253858,0.5533462292191736,13
0.0,167.0,useless,10.016303262462174,,2084,5.136027486253858,0.5533462292191736,13
0.0,11.0,useless,10.055123137942044,,2097,5.136027486253858,0.5533462292191736,12
0.0,61.0,useful,7.8947751932197265,0.2336611777514551,959,5.136027486253858,0.5533462292191736,12
0.0,42.0,useful,8.13318729394314,0.2015785169563551,620,5.136027486253858,0.5533462292191736,11
0.0,23.0,useless,9.76364104341836,,1317,5.136027486253858,0.5533462292191736,10
0.0,55.0,useful,7.06871219624656,0.3375802862551833,241,5.136027486253858,0.5533462292191736,10
0.0,1087.0,useful,8.812877051770974,0.10109902231371584,2100,5.136027486253858,0.5533462292191736,9
0.0,34.0,useful,7.713223078500089,0.2573678733601573,569,5.136027486253858,0.5533462292191736,7
0.0,124.0,useful,9.251764554761829,0.014959520577844554,809,5.136027486253858,0.5533462292191736,6
0.0,54.0,useful,6.49418781801646,0.4050332408280777,194,5.136027486253858,0.5533462292191736,5
0.0,900.0,useful,8.89437055359984,0.08754819983761844,847,5.136027486253858,0.5533462292191736,5
0.0,1.0,useless,10.040409025987598,,1164,5.136027486253858,0.5533462292191736,4
0.0,21.0,useless,10.111950311299156,,2096,5.136027486253858,0.5533462292191736,4
0.0,45.0,useless,9.991872133826654,,2066,5.136027486253858,0.5533462292191736,4
0.0,49.0,useful,8.767558260260724,0.10842856533723816,1927,5.136027486253858,0.5533462292191736,4
0.0,39235.0,useful,8.868894775133867,0.0918406268632098,755,5.136027486253858,0.5533462292191736,4
0.0,13.0,useful,8.464982953704926,0.1546368068902885,1018,5.136027486253858,0.5533462292191736,3
0.0,26.0,useful,9.075822406707212,0.054918966521402976,794,5.136027486253858,0.5533462292191736,3
0.0,1083.0,useless,9.52844208423434,,1361,5.136027486253858,0.5533462292191736,3
0.0,1504.0,useful,7.038116072097735,0.3412586868534129,192,5.136027486253858,0.5533462292191736,3
0.0,3384.0,useless,10.033197444226511,,2097,5.136027486253858,0.5533462292191736,3
0.0,10.0,useful,7.631495695807028,0.2678606863937956,520,5.136027486253858,0.5533462292191736,2
0.0,12.0,useful,8.353374472927568,0.1707781952317775,1755,5.136027486253858,0.5533462292191736,2
0.0,25.0,useless,9.989399734674366,,1879,5.136027486253858,0.5533462292191736,2
0.0,66.0,useful,8.351208348033463,0.17108762437893044,1585,5.136027486253858,0.5533462292191736,2
0.0,68.0,useful,7.8779407615753305,0.2358838913380732,372,5.136027486253858,0.5533462292191736,2
0.0,88.0,useful,7.6233014296388175,0.2689069864994244,542,5.136027486253858,0.5533462292191736,2
0.0,836.0,useless,10.141941137445093,,2073,5.136027486253858,0.5533462292191736,2
0.0,882.0,useful,8.234635285400268,0.18754427634736687,489,5.136027486253858,0.5533462292191736,2
0.0,974.0,useful,7.5115627587802365,0.2830745684565482,294,5.136027486253858,0.5533462292191736,2
0.0,988.0,useful,8.062087440562506,0.21127098892394447,473,5.136027486253858,0.5533462292191736,2
0.0,1944.0,useful,9.224692469044571,0.022564596019672117,1115,5.136027486253858,0.5533462292191736,2
1.0,206.0,useless,7.4860758071167,,2100,2.3729373296928022,0.7658610559690519,88
1.0,7.0,useful,4.009075158647492,0.5549836508379937,1611,2.3729373296928022,0.7658610559690519,50
1.0,3.0,useless,8.990626066607922,,1785,2.3729373296928022,0.7658610559690519,22
1.0,5.0,useful,3.645086661535284,0.6052029133289577,405,2.3729373296928022,0.7658610559690519,22
1.0,11.0,useless,7.564019654921338,,2097,2.3729373296928022,0.7658610559690519,21
1.0,123.0,useless,7.751060215841166,,595,2.3729373296928022,0.7658610559690519,14
1.0,124.0,useful,5.259230691669081,0.3639443720978138,809,2.3729373296928022,0.7658610559690519,13
1.0,23.0,useful,6.141842224856712,0.2010809435894271,1317,2.3729373296928022,0.7658610559690519,6
1.0,26.0,useful,6.191499950013474,0.19061225305853946,794,2.3729373296928022,0.7658610559690519,6
1.0,42.0,useful,4.293204297311815,0.5142871794821005,620,2.3729373296928022,0.7658610559690519,5
1.0,0.0,useless,8.306840169539468,,2082,2.3729373296928022,0.7658610559690519,4
1.0,4.0,useless,7.3898071110533925,,778,2.3729373296928022,0.7658610559690519,4
1.0,74.0,useful,5.6090639940393485,0.3034427401558531,269,2.3729373296928022,0.7658610559690519,3
1.0,51951.0,useless,7.951998903741697,,606,2.3729373296928022,0.7658610559690519,3
1.0,40.0,useless,7.752457543971637,,553,2.3729373296928022,0.7658610559690519,2
1.0,56.0,useful,4.779048956082153,0.4412583275401096,199,2.3729373296928022,0.7658610559690519,2
1.0,17208.0,useless,9.457838003850425,,805,2.3729373296928022,0.7658610559690519,2
2.0,0.0,useless,9.839804707410256,,2085,4.5525719460027965,0.5996386083257209,106
2.0,1087.0,useless,9.462797554227842,,2100,4.5525719460027965,0.5996386083257209,40
2.0,167.0,useless,10.013746404683076,,2084,4.5525719460027965,0.5996386083257209,19
2.0,3384.0,useless,9.64221452775052,,2097,4.5525719460027965,0.5996386083257209,13
2.0,947.0,useful,8.081936952360433,0.17007302388305756,422,4.5525719460027965,0.5996386083257209,12
2.0,30.0,useless,9.468513821642617,,2077,4.5525719460027965,0.5996386083257209,11
2.0,969.0,useful,8.94795270211606,0.003193377143262209,1414,4.5525719460027965,0.5996386083257209,11
2.0,66.0,useful,8.939475438874677,0.00878922184767094,1585,4.5525719460027965,0.5996386083257209,10
2.0,86.0,useful,7.54394261275906,0.2467907876993021,407,4.5525719460027965,0.5996386083257209,10
2.0,987.0,useful,7.106875492073794,0.3046809282685228,286,4.5525719460027965,0.5996386083257209,10
2.0,180.0,useless,9.319800107022607,,1865,4.5525719460027965,0.5996386083257209,8
2.0,21.0,useless,10.503018086270798,,2096,4.5525719460027965,0.5996386083257209,7
2.0,25.0,useless,9.624029464009569,,1879,4.5525719460027965,0.5996386083257209,7
2.0,41.0,useful,7.931071644501347,0.19236130742781926,554,4.5525719460027965,0.5996386083257209,7
2.0,900.0,useful,8.429121352782117,0.11540173169747885,847,4.5525719460027965,0.5996386083257209,7
2.0,1309.0,useful,7.581770745303283,0.2416198452541633,394,4.5525719460027965,0.5996386083257209,7
2.0,958.0,useful,7.9035874915271345,0.1963480038807984,487,4.5525719460027965,0.5996386083257209,6
2.0,1500.0,useful,8.04551832037061,0.17551984499002538,577,4.5525719460027965,0.5996386083257209,6
2.0,39235.0,useful,8.401484658200095,0.11997805621076962,755,4.5525719460027965,0.5996386083257209,6
2.0,12.0,useless,9.143677811878675,,1755,4.5525719460027965,0.5996386083257209,5
2.0,29.0,useless,9.775502795612272,,1783,4.5525719460027965,0.5996386083257209,5
2.0,52.0,useful,8.294173563309652,0.13732934110695935,750,4.5525719460027965,0.5996386083257209,5
2.0,588.0,useful,6.848138974257357,0.3375782460111489,218,4.5525719460027965,0.5996386083257209,5
2.0,988.0,useful,7.923142178266519,0.1935136962125176,473,4.5525719460027965,0.5996386083257209,5
2.0,1720.0,useful,8.296504861107561,0.13695882428745831,641,4.5525719460027965,0.5996386083257209,5
2.0,2988.0,useful,8.426800450506372,0.1157879171683776,748,4.5525719460027965,0.5996386083257209,5
2.0,1944.0,useless,9.553874083228996,,1115,4.5525719460027965,0.5996386083257209,4
2.0,19552.0,useful,6.537584558816093,0.3759440361089781,158,4.5525719460027965,0.5996386083257209,4
2.0,71.0,useful,7.2431470830808875,0.2869696985986601,318,4.5525719460027965,0.5996386083257209,3
2.0,974.0,useful,7.794887795204496,0.21191636056582072,294,4.5525719460027965,0.5996386083257209,3
2.0,3410.0,useful,7.515457196951266,0.2506660025507248,323,4.5525719460027965,0.5996386083257209,3
2.0,13.0,useful,8.574081911248111,0.09048857096475987,1018,4.5525719460027965,0.5996386083257209,2
2.0,47.0,useful,8.851722916695802,0.03488169546442105,1545,4.5525719460027965,0.5996386083257209,2
2.0,68.0,useful,7.452679561129212,0.2591518176473577,372,4.5525719460027965,0.5996386083257209,2
2.0,882.0,useful,8.124703936197893,0.1636179085944297,489,4.5525719460027965,0.5996386083257209,2
2.0,903.0,useful,7.891619700042647,0.1980774099765236,503,4.5525719460027965,0.5996386083257209,2
2.0,906.0,useful,6.612867808745159,0.3667473558741024,180,4.5525719460027965,0.5996386083257209,2
2.0,909.0,useful,7.232362754819438,0.2883817493114159,290,4.5525719460027965,0.5996386083257209,2
2.0,914.0,useful,7.519431321657294,0.2501262986321092,365,4.5525719460027965,0.5996386083257209,2
2.0,1014.0,useful,7.1980932402866005,0.2928567434901823,309,4.5525719460027965,0.5996386083257209,2
2.0,1083.0,useless,9.089657814811515,,1361,4.5525719460027965,0.5996386083257209,2
2.0,1430.0,useful,8.120205603126756,0.16429996988402895,388,4.5525719460027965,0.5996386083257209,2
2.0,1504.0,useful,7.240034692593772,0.28737740957583324,192,4.5525719460027965,0.5996386083257209,2
2.0,1717.0,useful,7.020966381624075,0.31570571714184026,248,4.5525719460027965,0.5996386083257209,2
2.0,2306.0,useful,8.2485295496475,0.14453155298993073,478,4.5525719460027965,0.5996386083257209,2
2.0,2772.0,useful,8.661258899501034,0.07454633112839165,542,4.5525719460027965,0.5996386083257209,2
2.0,2998.0,useless,9.545190086494863,,1852,4.5525719460027965,0.5996386083257209,2
2.0,3019.0,useful,7.559771876269075,0.244630469065932,244,4.5525719460027965,0.5996386083257209,2
2.0,7666.0,useful,8.560030732981495,0.09298087530825942,580,4.5525719460027965,0.5996386083257209,2
2.0,16595.0,useful,8.572898807591148,0.09069916242086992,775,4.5525719460027965,0.5996386083257209,2
2.0,45237.0,useful,6.4332528596571095,0.3885857247373424,159,4.5525719460027965,0.5996386083257209,2
3.0,123.0,useful,8.092249340920779,0.2484985085862998,601,5.969839978750431,0.4871597934788418,33
3.0,1.0,useful,8.785988850026904,0.15854424973240688,1164,5.969839978750431,0.4871597934788418,22
3.0,11.0,useful,9.039386247831992,0.12273688250878395,2097,5.969839978750431,0.4871597934788418,17
3.0,7.0,useful,8.835109080716641,0.15176592006827594,1614,5.969839978750431,0.4871597934788418,14
3.0,46.0,useful,6.582815843392146,0.4221499501167928,179,5.969839978750431,0.4871597934788418,11
3.0,23.0,useful,8.708845510872846,0.16905483154475334,1317,5.969839978750431,0.4871597934788418,9
3.0,42.0,useful,8.159342842968494,0.24017716105654285,620,5.969839978750431,0.4871597934788418,3
3.0,124.0,useful,8.393879925946436,0.21052427414283995,809,5.969839978750431,0.4871597934788418,3
3.0,4.0,useful,8.383134245407307,0.21190355022854648,779,5.969839978750431,0.4871597934788418,2
3.0,5.0,useful,8.092162210340218,0.2485092717647283,405,5.969839978750431,0.4871597934788418,2
3.0,30.0,useless,9.982950934469594,,2077,5.969839978750431,0.4871597934788418,2
3.0,40.0,useful,8.84432367121482,0.1504864610994893,553,5.969839978750431,0.4871597934788418,2
3.0,9722.0,useful,9.140859831004672,0.1077033362170692,681,5.969839978750431,0.4871597934788418,2
4.0,26.0,useful,7.2433429136818175,0.1545656956038806,794,3.691499035308357,0.6481744121098761,8
4.0,123.0,useless,8.742229715054881,,599,3.691499035308357,0.6481744121098761,8
4.0,11.0,useless,10.124349331930793,,2097,3.691499035308357,0.6481744121098761,6
4.0,38.0,useful,6.381387818179357,0.29741367064765384,281,3.691499035308357,0.6481744121098761,6
4.0,97.0,useful,7.147339480232695,0.17209934972258914,322,3.691499035308357,0.6481744121098761,5
4.0,1.0,useless,9.40049513285018,,1164,3.691499035308357,0.6481744121098761,4
4.0,30.0,useless,9.83367973099425,,2077,3.691499035308357,0.6481744121098761,4
4.0,42.0,useful,7.786746672099818,0.03193666465831012,620,3.691499035308357,0.6481744121098761,3
4.0,3.0,useless,10.068988608141279,,1786,3.691499035308357,0.6481744121098761,2
4.0,93.0,useful,7.648449380752876,0.07050210988803984,209,3.691499035308357,0.6481744121098761,2
4.0,124.0,useless,8.937217102378803,,809,3.691499035308357,0.6481744121098761,2
5.0,124.0,useful,3.8659074470693087,0.5444608792322377,771,2.505728663998325,0.734867695920156,24
5.0,1.0,useful,4.5985223120154455,0.4266789531996797,1115,2.505728663998325,0.734867695920156,22
5.0,17208.0,useful,5.715500312961698,0.21135719280363388,805,2.505728663998325,0.734867695920156,15
5.0,125.0,useful,4.413402574769441,0.4576948423086492,201,2.505728663998325,0.734867695920156,13
5.0,42.0,useful,5.029224075148684,0.3504252490400037,618,2.505728663998325,0.734867695920156,6
5.0,7.0,useful,3.5317938376657128,0.5942762771798137,1570,2.505728663998325,0.734867695920156,5
5.0,557.0,useful,5.429986790190619,0.2727133555683932,694,2.505728663998325,0.734867695920156,5
5.0,1695.0,useful,4.782325024569571,0.3948967833481041,270,2.505728663998325,0.734867695920156,5
5.0,2989.0,useful,4.890208220004554,0.3757341885516799,2051,2.505728663998325,0.734867695920156,4
5.0,74.0,useful,6.2265566796865395,0.07072986010383672,269,2.505728663998325,0.734867695920156,3
5.0,389.0,useful,5.925534445310622,0.16100869822499211,1019,2.505728663998325,0.734867695920156,3
