userid_x,userid_y,meetup,N_previous
0.0,2.0,106,2098.0
0.0,30.0,51,2077.0
0.0,35.0,46,2089.0
0.0,7.0,21,1614.0
0.0,29.0,19,1783.0
0.0,40.0,13,553.0
0.0,167.0,13,2084.0
0.0,11.0,12,2097.0
0.0,61.0,12,959.0
0.0,42.0,11,620.0
0.0,23.0,10,1317.0
0.0,55.0,10,241.0
0.0,1087.0,9,2100.0
0.0,34.0,7,569.0
0.0,124.0,6,809.0
0.0,54.0,5,194.0
0.0,900.0,5,847.0
0.0,1.0,4,1164.0
0.0,21.0,4,2096.0
0.0,45.0,4,2066.0
0.0,49.0,4,1927.0
0.0,39235.0,4,755.0
0.0,13.0,3,1018.0
0.0,26.0,3,794.0
0.0,1083.0,3,1361.0
0.0,1504.0,3,192.0
0.0,3384.0,3,2097.0
0.0,10.0,2,520.0
0.0,12.0,2,1755.0
0.0,25.0,2,1879.0
0.0,66.0,2,1585.0
0.0,68.0,2,372.0
0.0,88.0,2,542.0
0.0,836.0,2,2073.0
0.0,882.0,2,489.0
0.0,974.0,2,294.0
0.0,988.0,2,473.0
0.0,1944.0,2,1115.0
0.0,3.0,1,1787.0
0.0,4.0,1,779.0
0.0,15.0,1,2087.0
0.0,17.0,1,1577.0
0.0,41.0,1,554.0
0.0,46.0,1,179.0
0.0,47.0,1,1545.0
0.0,52.0,1,750.0
0.0,56.0,1,199.0
0.0,71.0,1,318.0
0.0,74.0,1,269.0
0.0,75.0,1,431.0
0.0,80.0,1,201.0
0.0,123.0,1,601.0
0.0,132.0,1,186.0
0.0,153.0,1,1474.0
0.0,180.0,1,1865.0
0.0,208.0,1,2094.0
0.0,387.0,1,272.0
0.0,634.0,1,2098.0
0.0,881.0,1,922.0
0.0,906.0,1,180.0
0.0,958.0,1,487.0
0.0,1092.0,1,511.0
0.0,1095.0,1,1084.0
0.0,1156.0,1,533.0
0.0,1309.0,1,394.0
0.0,1697.0,1,1180.0
0.0,1708.0,1,318.0
0.0,1924.0,1,717.0
0.0,2988.0,1,748.0
0.0,2998.0,1,1852.0
0.0,3410.0,1,323.0
0.0,4844.0,1,302.0
0.0,6121.0,1,205.0
0.0,6617.0,1,554.0
0.0,6907.0,1,2056.0
0.0,8311.0,1,271.0
0.0,22767.0,1,529.0
1.0,206.0,88,2100.0
1.0,7.0,50,1611.0
1.0,3.0,22,1785.0
1.0,5.0,22,405.0
1.0,11.0,21,2097.0
1.0,123.0,14,595.0
1.0,124.0,13,809.0
1.0,23.0,6,1317.0
1.0,26.0,6,794.0
1.0,42.0,5,620.0
1.0,0.0,4,2082.0
1.0,4.0,4,778.0
1.0,74.0,3,269.0
1.0,51951.0,3,606.0
1.0,40.0,2,553.0
1.0,56.0,2,199.0
1.0,17208.0,2,805.0
1.0,30.0,1,2077.0
1.0,46.0,1,179.0
1.0,132.0,1,186.0
1.0,389.0,1,1019.0
1.0,557.0,1,694.0
1.0,1695.0,1,270.0
1.0,2989.0,1,2100.0
1.0,43797.0,1,562.0
2.0,0.0,106,2085.0
2.0,1087.0,40,2100.0
2.0,167.0,19,2084.0
2.0,3384.0,13,2097.0
2.0,947.0,12,422.0
2.0,30.0,11,2077.0
2.0,969.0,11,1414.0
2.0,66.0,10,1585.0
2.0,86.0,10,407.0
2.0,987.0,10,286.0
2.0,180.0,8,1865.0
2.0,21.0,7,2096.0
2.0,25.0,7,1879.0
2.0,41.0,7,554.0
2.0,900.0,7,847.0
2.0,1309.0,7,394.0
2.0,958.0,6,487.0
2.0,1500.0,6,577.0
2.0,39235.0,6,755.0
2.0,12.0,5,1755.0
2.0,29.0,5,1783.0
2.0,52.0,5,750.0
2.0,588.0,5,218.0
2.0,988.0,5,473.0
2.0,1720.0,5,641.0
2.0,2988.0,5,748.0
2.0,1944.0,4,1115.0
2.0,19552.0,4,158.0
2.0,71.0,3,318.0
2.0,974.0,3,294.0
2.0,3410.0,3,323.0
2.0,13.0,2,1018.0
2.0,47.0,2,1545.0
2.0,68.0,2,372.0
2.0,882.0,2,489.0
2.0,903.0,2,503.0
2.0,906.0,2,180.0
2.0,909.0,2,290.0
2.0,914.0,2,365.0
2.0,1014.0,2,309.0
2.0,1083.0,2,1361.0
2.0,1430.0,2,388.0
2.0,1504.0,2,192.0
2.0,1717.0,2,248.0
2.0,2306.0,2,478.0
2.0,2772.0,2,542.0
2.0,2998.0,2,1852.0
2.0,3019.0,2,244.0
2.0,7666.0,2,580.0
2.0,16595.0,2,775.0
2.0,45237.0,2,159.0
2.0,15.0,1,2087.0
2.0,40.0,1,553.0
2.0,43.0,1,664.0
2.0,67.0,1,1824.0
2.0,76.0,1,539.0
2.0,88.0,1,542.0
2.0,115.0,1,469.0
2.0,169.0,1,332.0
2.0,193.0,1,618.0
2.0,279.0,1,2099.0
2.0,352.0,1,215.0
2.0,836.0,1,2073.0
2.0,878.0,1,1733.0
2.0,985.0,1,235.0
2.0,1033.0,1,397.0
2.0,1079.0,1,585.0
2.0,1140.0,1,1370.0
2.0,1253.0,1,309.0
2.0,1323.0,1,226.0
2.0,1387.0,1,241.0
2.0,1521.0,1,1608.0
2.0,1697.0,1,1180.0
2.0,1708.0,1,318.0
2.0,1714.0,1,535.0
2.0,1794.0,1,737.0
2.0,1904.0,1,501.0
2.0,1924.0,1,717.0
2.0,2024.0,1,1473.0
2.0,2453.0,1,166.0
2.0,4693.0,1,296.0
2.0,4871.0,1,743.0
2.0,4936.0,1,318.0
2.0,6100.0,1,518.0
2.0,6115.0,1,270.0
2.0,7018.0,1,442.0
2.0,7438.0,1,530.0
2.0,8404.0,1,479.0
2.0,12490.0,1,179.0
2.0,14410.0,1,273.0
2.0,15081.0,1,1317.0
2.0,17796.0,1,213.0
3.0,123.0,33,601.0
3.0,1.0,22,1164.0
3.0,11.0,17,2097.0
3.0,7.0,14,1614.0
3.0,46.0,11,179.0
3.0,23.0,9,1317.0
3.0,42.0,3,620.0
3.0,124.0,3,809.0
3.0,4.0,2,779.0
3.0,5.0,2,405.0
3.0,30.0,2,2077.0
3.0,40.0,2,553.0
3.0,9722.0,2,681.0
3.0,0.0,1,2085.0
3.0,26.0,1,794.0
3.0,125.0,1,207.0
3.0,210.0,1,2010.0
3.0,1070.0,1,1883.0
3.0,2805.0,1,1347.0
3.0,3644.0,1,257.0
3.0,8210.0,1,2073.0
4.0,26.0,8,794.0
4.0,123.0,8,599.0
4.0,11.0,6,2097.0
4.0,38.0,6,281.0
4.0,97.0,5,322.0
4.0,1.0,4,1164.0
4.0,30.0,4,2077.0
4.0,42.0,3,620.0
4.0,3.0,2,1786.0
4.0,93.0,2,209.0
4.0,124.0,2,809.0
4.0,0.0,1,2084.0
4.0,7.0,1,1614.0
4.0,23.0,1,1317.0
4.0,40.0,1,553.0
4.0,46.0,1,179.0
5.0,124.0,24,771.0
5.0,1.0,22,1115.0
5.0,17208.0,15,805.0
5.0,125.0,13,201.0
5.0,42.0,6,618.0
5.0,7.0,5,1570.0
5.0,557.0,5,694.0
5.0,1695.0,5,270.0
5.0,2989.0,4,2051.0
5.0,74.0,3,269.0
5.0,389.0,3,1019.0
5.0,3.0,2,1537.0
5.0,206.0,2,1874.0
5.0,1720.0,2,641.0
5.0,7001.0,2,294.0
5.0,8210.0,2,1939.0
5.0,10145.0,2,201.0
5.0,11.0,1,2009.0
5.0,23.0,1,1248.0
5.0,26.0,1,774.0
5.0,29.0,1,1772.0
5.0,30.0,1,2037.0
5.0,35.0,1,2070.0
5.0,69.0,1,1598.0
5.0,696.0,1,150.0
5.0,981.0,1,499.0
5.0,1156.0,1,533.0
5.0,1521.0,1,1608.0
5.0,2057.0,1,273.0
5.0,2066.0,1,1731.0
5.0,2276.0,1,718.0
5.0,2949.0,1,2013.0
5.0,3084.0,1,1647.0
5.0,7404.0,1,2100.0
5.0,7927.0,1,1062.0
5.0,11523.0,1,1327.0
5.0,15115.0,1,492.0
5.0,15554.0,1,194.0
5.0,19384.0,1,222.0
5.0,28454.0,1,496.0
5.0,54079.0,1,504.0
6.0,7555.0,4,2099.0
6.0,577.0,3,235.0
6.0,193.0,2,618.0
6.0,560.0,2,928.0
6.0,67.0,1,1824.0
6.0,86.0,1,407.0
6.0,553.0,1,751.0
6.0,563.0,1,219.0
6.0,572.0,1,459.0
6.0,1087.0,1,2100.0
6.0,1253.0,1,309.0
6.0,4902.0,1,1070.0
6.0,11565.0,1,453.0
6.0,12404.0,1,460.0
7.0,1.0,50,1164.0
7.0,42.0,34,620.0
7.0,11.0,31,2097.0
7.0,123.0,23,599.0
7.0,0.0,21,2084.0
7.0,23.0,21,1317.0
7.0,124.0,21,809.0
7.0,3.0,14,1786.0
7.0,30.0,14,2077.0
7.0,35.0,6,2089.0
7.0,5.0,5,405.0
7.0,74.0,5,269.0
7.0,721.0,4,2096.0
7.0,29.0,3,1783.0
7.0,40.0,3,553.0
7.0,26.0,2,794.0
7.0,125.0,2,207.0
7.0,207.0,2,1461.0
7.0,557.0,2,694.0
7.0,1714.0,2,535.0
7.0,2989.0,2,2100.0
7.0,7111.0,2,243.0
7.0,10145.0,2,201.0
7.0,17208.0,2,805.0
7.0,25318.0,2,1187.0
7.0,43797.0,2,562.0
7.0,4.0,1,778.0
7.0,31.0,1,530.0
7.0,46.0,1,179.0
7.0,54.0,1,194.0
7.0,56.0,1,199.0
7.0,132.0,1,186.0
7.0,206.0,1,2100.0
7.0,215.0,1,834.0
7.0,387.0,1,272.0
7.0,644.0,1,2064.0
7.0,1139.0,1,743.0
7.0,1510.0,1,511.0
7.0,1997.0,1,1612.0
7.0,6776.0,1,1748.0
7.0,7377.0,1,240.0
7.0,8210.0,1,2073.0
7.0,9448.0,1,365.0
7.0,9505.0,1,162.0
7.0,10344.0,1,528.0
7.0,13652.0,1,286.0
7.0,15034.0,1,160.0
7.0,19378.0,1,227.0
7.0,35355.0,1,253.0
7.0,36555.0,1,693.0
10.0,0.0,2,2082.0
10.0,29.0,2,1783.0
10.0,1087.0,2,2100.0
10.0,2988.0,2,748.0
10.0,12.0,1,1755.0
10.0,41.0,1,554.0
10.0,62.0,1,2100.0
10.0,1714.0,1,535.0
10.0,7666.0,1,580.0
10.0,19552.0,1,158.0
10.0,39235.0,1,755.0
11.0,7.0,31,1611.0
11.0,42.0,30,620.0
11.0,23.0,23,1317.0
11.0,124.0,23,809.0
11.0,1.0,21,1163.0
11.0,3.0,17,1785.0
11.0,123.0,16,593.0
11.0,30.0,14,2077.0
11.0,26.0,13,794.0
11.0,0.0,12,2082.0
11.0,46.0,8,179.0
11.0,40.0,7,553.0
11.0,4.0,6,778.0
11.0,35.0,3,2089.0
11.0,56.0,3,199.0
11.0,74.0,3,269.0
11.0,5.0,1,405.0
11.0,29.0,1,1783.0
11.0,125.0,1,207.0
11.0,132.0,1,186.0
11.0,721.0,1,2096.0
11.0,969.0,1,1414.0
11.0,6589.0,1,1797.0
11.0,9722.0,1,678.0
12.0,30.0,48,2077.0
12.0,61.0,15,959.0
12.0,1087.0,15,2100.0
12.0,1083.0,13,1361.0
12.0,900.0,12,847.0
