userid_x,userid_y,meetup,N_previous
0.0,267.0,18,1747.0
0.0,66.0,9,274.0
0.0,256.0,9,541.0
0.0,515.0,9,974.0
0.0,547.0,9,323.0
0.0,535.0,8,560.0
0.0,257.0,6,150.0
0.0,573.0,6,1715.0
0.0,327.0,5,197.0
0.0,557.0,5,173.0
0.0,138.0,4,960.0
0.0,335.0,4,725.0
0.0,52.0,3,340.0
0.0,88.0,3,225.0
0.0,282.0,3,524.0
0.0,375.0,3,581.0
0.0,456.0,3,268.0
0.0,583.0,3,564.0
0.0,10300.0,3,229.0
0.0,135.0,2,724.0
0.0,172.0,2,372.0
0.0,312.0,2,699.0
0.0,350.0,2,1848.0
0.0,392.0,2,747.0
0.0,510.0,2,916.0
0.0,4216.0,2,870.0
0.0,6031.0,2,166.0
0.0,6150.0,2,785.0
0.0,4.0,1,225.0
0.0,15.0,1,150.0
0.0,97.0,1,144.0
0.0,98.0,1,950.0
0.0,103.0,1,205.0
0.0,111.0,1,1282.0
0.0,116.0,1,962.0
0.0,131.0,1,697.0
0.0,156.0,1,275.0
0.0,197.0,1,623.0
0.0,203.0,1,355.0
0.0,212.0,1,300.0
0.0,304.0,1,399.0
0.0,413.0,1,672.0
0.0,457.0,1,1328.0
0.0,468.0,1,676.0
0.0,471.0,1,404.0
0.0,472.0,1,1997.0
0.0,486.0,1,1424.0
0.0,539.0,1,531.0
0.0,559.0,1,501.0
0.0,578.0,1,2017.0
0.0,588.0,1,1975.0
0.0,590.0,1,397.0
0.0,1522.0,1,300.0
0.0,1773.0,1,1075.0
0.0,3002.0,1,345.0
0.0,3070.0,1,225.0
0.0,3165.0,1,1365.0
0.0,3295.0,1,1850.0
0.0,3469.0,1,301.0
0.0,3574.0,1,1150.0
0.0,3742.0,1,503.0
0.0,4078.0,1,647.0
0.0,4185.0,1,198.0
0.0,4262.0,1,207.0
0.0,4398.0,1,668.0
0.0,4473.0,1,440.0
0.0,4620.0,1,762.0
0.0,4756.0,1,351.0
0.0,4864.0,1,1169.0
0.0,4904.0,1,607.0
0.0,5143.0,1,199.0
0.0,5159.0,1,155.0
0.0,5228.0,1,151.0
0.0,5235.0,1,420.0
0.0,5236.0,1,1067.0
0.0,5468.0,1,261.0
0.0,5533.0,1,158.0
0.0,5689.0,1,185.0
0.0,5717.0,1,888.0
0.0,5722.0,1,176.0
0.0,5732.0,1,285.0
0.0,5739.0,1,898.0
0.0,5743.0,1,205.0
0.0,5808.0,1,1089.0
0.0,5812.0,1,748.0
0.0,6112.0,1,449.0
0.0,6122.0,1,559.0
0.0,6133.0,1,356.0
0.0,6142.0,1,275.0
0.0,6155.0,1,1524.0
0.0,6425.0,1,1875.0
0.0,6827.0,1,375.0
0.0,7292.0,1,208.0
0.0,7867.0,1,225.0
0.0,7971.0,1,225.0
0.0,8493.0,1,200.0
0.0,8738.0,1,323.0
0.0,10467.0,1,1703.0
0.0,10569.0,1,199.0
0.0,10811.0,1,169.0
0.0,10837.0,1,1582.0
0.0,11143.0,1,413.0
0.0,12876.0,1,774.0
0.0,15094.0,1,462.0
0.0,15249.0,1,736.0
0.0,16510.0,1,150.0
0.0,18190.0,1,925.0
0.0,23506.0,1,175.0
0.0,29115.0,1,777.0
0.0,33428.0,1,185.0
0.0,36101.0,1,173.0
0.0,38557.0,1,392.0
0.0,39374.0,1,218.0
0.0,40004.0,1,271.0
0.0,43985.0,1,300.0
0.0,56307.0,1,270.0
2.0,1171.0,2,149.0
2.0,1174.0,2,1997.0
2.0,590.0,1,400.0
2.0,2184.0,1,150.0
2.0,2755.0,1,362.0
2.0,3113.0,1,208.0
2.0,5468.0,1,261.0
2.0,6566.0,1,400.0
2.0,6766.0,1,150.0
2.0,10446.0,1,325.0
2.0,33023.0,1,250.0
2.0,33277.0,1,180.0
2.0,151364.0,1,153.0
4.0,3539.0,11,309.0
4.0,191.0,8,553.0
4.0,234.0,6,695.0
4.0,3531.0,4,243.0
4.0,3542.0,4,473.0
4.0,158.0,2,1357.0
4.0,3540.0,2,263.0
4.0,3541.0,2,214.0
4.0,56996.0,2,199.0
4.0,78033.0,2,140.0
4.0,0.0,1,214.0
4.0,304.0,1,394.0
4.0,331.0,1,180.0
4.0,376.0,1,484.0
4.0,413.0,1,626.0
4.0,523.0,1,238.0
4.0,2697.0,1,152.0
4.0,3328.0,1,1731.0
4.0,3528.0,1,308.0
4.0,3538.0,1,378.0
4.0,4855.0,1,1119.0
4.0,5447.0,1,234.0
4.0,5496.0,1,570.0
4.0,5808.0,1,1089.0
4.0,7867.0,1,225.0
4.0,8683.0,1,175.0
4.0,10859.0,1,518.0
4.0,18190.0,1,919.0
4.0,25300.0,1,223.0
4.0,29671.0,1,154.0
4.0,32435.0,1,204.0
4.0,45567.0,1,164.0
4.0,69263.0,1,171.0
4.0,127119.0,1,402.0
4.0,166873.0,1,150.0
4.0,176197.0,1,160.0
9.0,256.0,2,541.0
9.0,257.0,1,150.0
13.0,4318.0,6,1302.0
13.0,2905.0,3,219.0
13.0,241.0,1,1582.0
13.0,2505.0,1,235.0
13.0,3233.0,1,357.0
13.0,3236.0,1,1717.0
13.0,4319.0,1,928.0
13.0,4874.0,1,579.0
13.0,14710.0,1,149.0
13.0,34061.0,1,221.0
13.0,129928.0,1,308.0
15.0,510.0,3,912.0
15.0,557.0,2,155.0
15.0,10393.0,2,1662.0
15.0,0.0,1,220.0
15.0,138.0,1,955.0
15.0,267.0,1,1719.0
15.0,419.0,1,477.0
15.0,605.0,1,272.0
15.0,1768.0,1,257.0
15.0,2964.0,1,1134.0
15.0,3279.0,1,1818.0
15.0,3394.0,1,334.0
15.0,3806.0,1,395.0
15.0,3978.0,1,217.0
15.0,4234.0,1,297.0
15.0,4260.0,1,162.0
15.0,5655.0,1,262.0
15.0,5670.0,1,240.0
15.0,5692.0,1,375.0
15.0,7956.0,1,225.0
15.0,11298.0,1,388.0
15.0,12044.0,1,259.0
15.0,12052.0,1,328.0
15.0,16787.0,1,141.0
15.0,22531.0,1,248.0
15.0,34211.0,1,167.0
15.0,40248.0,1,163.0
15.0,140704.0,1,220.0
18.0,39456.0,1,332.0
19.0,436.0,31,799.0
19.0,135.0,18,723.0
19.0,486.0,9,1421.0
19.0,490.0,6,1115.0
19.0,4620.0,6,758.0
19.0,4678.0,6,1437.0
19.0,19096.0,6,2081.0
19.0,116.0,5,960.0
19.0,531.0,5,1133.0
19.0,4743.0,5,508.0
19.0,4879.0,5,1589.0
19.0,203.0,4,354.0
19.0,211.0,4,1097.0
19.0,337.0,4,1925.0
19.0,510.0,4,915.0
19.0,4165.0,4,773.0
19.0,4627.0,4,908.0
19.0,5837.0,4,246.0
19.0,19061.0,4,320.0
19.0,54.0,3,550.0
19.0,77.0,3,208.0
19.0,125.0,3,580.0
19.0,197.0,3,611.0
19.0,355.0,3,174.0
19.0,428.0,3,562.0
19.0,1388.0,3,1154.0
19.0,1405.0,3,450.0
19.0,2389.0,3,342.0
19.0,2810.0,3,1880.0
19.0,3383.0,3,644.0
19.0,3587.0,3,228.0
19.0,3675.0,3,366.0
19.0,3756.0,3,1920.0
19.0,4210.0,3,535.0
